genome,taxId,species,familyId,familyName,orderId,orderName,bioproject,biosample
GCF_002217835.1,7282,Drosophila obscura,7214,Drosophilidae,7147,Diptera,PRJDB4578,SAMD00047210
GCF_002204515.2,7159,Aedes aegypti,7157,Culicidae,7147,Diptera,PRJNA318737,SAMN07177802
GCF_002156985.1,29058,Helicoverpa armigera,7100,Noctuidae,7088,Lepidoptera,PRJNA378437,SAMN06608624
GCF_000754195.2,7240,Drosophila simulans,7214,Drosophilidae,7147,Diptera,PRJNA170244,SAMN01086904
GCF_002093755.1,7274,Drosophila serrata,7214,Drosophilidae,7147,Diptera,PRJNA355616,SAMN06092698
GCF_002006095.1,219809,Pseudomyrmex gracilis,36668,Formicidae,7399,Hymenoptera,PRJNA268384,SAMN03219222
GCF_001876365.2,7160,Aedes albopictus,7157,Culicidae,7147,Diptera,PRJNA345486,SAMN05908721
GCF_001937115.1,116153,Aethina tumida,116151,Nitidulidae,7041,Coleoptera,PRJNA256171,SAMN06036204
GCF_000184785.2,7463,Apis florea,7458,Apidae,7399,Hymenoptera,PRJNA45871,SAMN00009081
GCF_001856805.1,64459,Pieris rapae,7114,Pieridae,7088,Lepidoptera,PRJNA318727,SAMN04866668
GCF_001856785.1,13164,Myzus persicae,27482,Aphididae,7524,Hemiptera,PRJNA319804,SAMN04909046
GCF_001854935.1,7038,Bemisia tabaci,7036,Aleyrodidae,7524,Hemiptera,PRJNA312470,SAMN04500967
GCF_001853355.1,174628,Bactrocera latifrons,7211,Tephritidae,7147,Diptera,PRJNA338810,SAMN05727007
GCF_001687245.1,28612,Rhagoletis zephyria,7211,Tephritidae,7147,Diptera,PRJNA321204,SAMN04977950
GCF_001654015.1,7232,Drosophila navojoa,7214,Drosophilidae,7147,Diptera,PRJNA309833,SAMN04440794
GCF_001654025.1,7263,Drosophila arizonae,7214,Drosophilidae,7147,Diptera,PRJNA309836,SAMN04440796
GCF_001652005.1,156304,Ceratina calcarata,7458,Apidae,7399,Hymenoptera,PRJNA299559,SAMN04252592
GCF_001483705.1,516756,Eufriesea mexicana,7458,Apidae,7399,Hymenoptera,PRJNA279814,SAMN03801430
GCF_001594055.1,64791,Trachymyrmex zeteki,36668,Formicidae,7399,Hymenoptera,PRJNA292628,SAMN03982884
GCF_001594115.1,34720,Trachymyrmex septentrionalis,36668,Formicidae,7399,Hymenoptera,PRJNA292625,SAMN03982881
GCF_001594075.1,471704,Trachymyrmex cornetzi,36668,Formicidae,7399,Hymenoptera,PRJNA292627,SAMN03982882
GCF_001594065.1,456900,Cyphomyrmex costatus,36668,Formicidae,7399,Hymenoptera,PRJNA292630,SAMN03982885
GCF_001594045.1,520822,Atta colombica,36668,Formicidae,7399,Hymenoptera,PRJNA292624,SAMN03982875
GCF_000390285.1,217634,Anoplophora glabripennis,34667,Cerambycidae,7041,Coleoptera,PRJNA167479,SAMN02222868
GCF_000001765.3,46245,Drosophila pseudoobscura,7214,Drosophilidae,7147,Diptera,PRJNA10626,SAMN00779672
GCF_000002335.3,7070,Tribolium castaneum,7065,Tenebrionidae,7041,Coleoptera,PRJNA12540,SAMN02953634
GCF_000371365.1,7370,Musca domestica,7366,Muscidae,7147,Diptera,PRJNA176013,SAMN02953849
GCF_000269505.1,7229,Drosophila miranda,7214,Drosophilidae,7147,Diptera,PRJNA77213,SAMN02953815
GCF_001465965.1,743375,Polistes dominula,7438,Vespidae,7399,Hymenoptera,PRJNA234105,SAMN02584905
GCF_001442555.1,7461,Apis cerana,7458,Apidae,7399,Hymenoptera,PRJNA235974,SAMN02592885
GCF_000355655.1,77166,Dendroctonus ponderosae,7042,Curculionidae,7041,Coleoptera,PRJNA162621,SAMN01121785
GCF_000347755.2,7213,Ceratitis capitata,7211,Tephritidae,7147,Diptera,PRJNA168120,SAMN02953830
GCF_001412515.1,454923,Diachasma alloeum,7402,Braconidae,7399,Hymenoptera,PRJNA284396,SAMN03701895
GCF_001412225.1,110193,Nicrophorus vespilloides,57514,Silphidae,7041,Coleoptera,PRJNA284849,SAMN03733533
GCF_000344095.1,37344,Athalia rosae,27532,Tenthredinidae,7399,Hymenoptera,PRJNA167403,SAMN02953829
GCF_000236325.1,29029,Drosophila eugracilis,7214,Drosophilidae,7147,Diptera,PRJNA67709,SAMN00715289
GCF_000236305.1,1041015,Drosophila rhopaloa,7214,Drosophilidae,7147,Diptera,PRJNA67665,SAMN00715129
GCF_000236285.1,42026,Drosophila bipectinata,7214,Drosophilidae,7147,Diptera,PRJNA62313,SAMN00714473
GCF_000224235.1,29030,Drosophila takahashii,7214,Drosophilidae,7147,Diptera,PRJNA62321,SAMN00715130
GCF_000224215.1,30033,Drosophila kikkawai,7214,Drosophilidae,7147,Diptera,PRJNA62319,SAMN00715127
GCF_000224195.1,30023,Drosophila elegans,7214,Drosophilidae,7147,Diptera,PRJNA62315,SAMN00715014
GCF_000233415.1,125945,Drosophila biarmipes,7214,Drosophilidae,7147,Diptera,PRJNA62307,SAMN00714466
GCF_000220665.1,30025,Drosophila ficusphila,7214,Drosophilidae,7147,Diptera,PRJNA62317,SAMN00715126
GCF_000599845.1,7493,Trichogramma pretiosum,7489,Trichogrammatidae,7399,Hymenoptera,PRJNA168121,SAMN02439301
GCF_000330985.1,51655,Plutella xylostella,51653,Plutellidae,7088,Lepidoptera,PRJNA78271,SAMN02953808
GCF_001313825.1,609295,Dinoponera quadriceps,36668,Formicidae,7399,Hymenoptera,PRJNA253275,SAMN02869781
GCF_001313835.1,91411,Polistes canadensis,7438,Vespidae,7399,Hymenoptera,PRJNA253269,SAMN02869711
