genome_id,tax_id,species,family_id,family_name,order_id,order_name,bioproject,biosample
GCF_003789085.1,6689,Penaeus vannamei,6685,Penaeidae,6683,Decapoda,PRJNA438564,SAMN08721527
GCF_000591075.1,88015,Eurytemora affinis,88013,Temoridae,6833,Calanoida,PRJNA203087,SAMN02302763
GCF_000764305.1,294128,Hyalella azteca,199477,Hyalellidae,6821,Amphipoda,PRJNA243935,SAMN02978968
GCA_008373055.1,210409,Portunus trituberculatus,6757,Portunidae,6683,Decapoda,PRJNA526559,SAMN11104290
GCA_007890405.1,6687,Penaeus monodon,6685,Penaeidae,6683,Decapoda,PRJNA548012,SAMN11997630
GCA_900659605.1,2056173,Tisbe holothuriae,291241,Tisbidae,41212,Harpacticoida,PRJEB30601,SAMEA5209067
GCA_007210705.1,6832,Tigriopus californicus,512265,Harpacticidae,41212,Harpacticoida,PRJNA237968,SAMN02640207
GCA_006783055.1,1923959,Trinorchestia longiramus,92169,Talitridae,6821,Amphipoda,PRJNA543945,SAMN11791816
GCA_005815305.1,263425,Pandalus platyceros,6701,Pandalidae,6683,Decapoda,PRJNA492798,SAMN10106038
GCA_900607525.1,298420,Apocyclops royi,84315,Cyclopidae,84308,Cyclopoida,PRJEB28764,SAMEA4938043
GCA_004104545.1,13347,Armadillidium vulgare,37810,Armadillidiidae,29979,Isopoda,PRJNA501402,SAMN10345417
GCA_004011675.1,392227,Palaemon carinicauda,6695,Palaemonidae,6683,Decapoda,PRJNA471201,SAMN08969226
GCA_003990815.1,35525,Daphnia magna,77658,Daphniidae,84337,Diplostraca,PRJNA490418,SAMN10036042
GCA_003723985.1,217954,Lepidurus apus,63729,Triopsidae,58774,Notostraca,PRJNA417576,SAMN07999712
GCA_003724045.1,77708,Lepidurus arcticus,63729,Triopsidae,58774,Notostraca,PRJNA417576,SAMN07999711
GCA_003709985.1,94630,Semibalanus balanoides,1072554,Archaeobalanidae,116167,Sessilia,PRJNA407210,SAMN07638780
GCA_003336515.1,95602,Eriocheir sinensis,72876,Varunidae,6683,Decapoda,PRJNA238496,SAMN04364134
GCA_001587735.2,317513,Parhyale hawaiensis,199478,Hyalidae,6821,Amphipoda,PRJNA306836,SAMN09470240
GCA_900241095.1,136180,Acartia tonsa,121147,Acartiidae,6833,Calanoida,PRJEB20069,SAMEA104176089
GCA_002872375.1,117534,Eulimnadia texana,77702,Limnadiidae,84337,Diplostraca,PRJNA352082,SAMN05965515
GCA_002838885.1,2065263,Procambarus virginalis,6725,Cambaridae,6683,Decapoda,PRJNA356499,SAMN06115385
GCA_002740975.1,6837,Calanus finmarchicus,6835,Calanidae,6833,Calanoida,PRJNA411907,SAMN07690443
GCA_002740985.1,113644,Calanus glacialis,6835,Calanidae,6833,Calanoida,PRJNA411905,SAMN07690442
GCA_002291165.1,27405,Penaeus japonicus,6685,Penaeidae,6683,Decapoda,PRJNA387410,SAMN07156123
GCA_900092285.1,6669,Daphnia pulex,77658,Daphniidae,84337,Diplostraca,PRJEB14656,SAMEA4059181
GCA_002091895.1,293153,Caridina multidentata,96235,Atyidae,6683,Decapoda,PRJDB4543,SAMD00046539
GCA_002091915.1,142080,Ligia exotica,96854,Ligiidae,29979,Isopoda,PRJDB4544,SAMD00046536
GCA_900157175.1,136191,Oithona nana,136189,Oithonidae,84308,Cyclopoida,PRJEB18938,SAMEA48328918
GCA_001005385.1,217165,Caligus rogercresseyi,72034,Caligidae,72033,Siphonostomatoida,PRJNA280098,SAMN03453213
GCA_001005235.1,72036,Lepeophtheirus salmonis,72034,Caligidae,72033,Siphonostomatoida,PRJNA280127,SAMN03457013
GCA_000981345.1,194544,Triops cancriformis,63729,Triopsidae,58774,Notostraca,PRJDB1662,SAMD00000484
