Unnamed: 0,TaxId,Species,FamilyId,FamilyName,OrderId,OrderName,TSA,BioProject_id,Publication(PMID/DOI),lotus_hits,osk_hits,oskar_hits
0,764486,Melita plumulosa,190426,Melitidae,6821,Amphipoda,GAKD,PRJNA200979,24434169;24434169,None,None,None
1,6728,Procambarus clarkii,6725,Cambaridae,6683,Decapoda,GARH,PRJNA205889,25278476;25479010,GARH01029958.1_3,None,None
2,1435206,Echinogammarus veneris,36939,Gammaridae,6821,Amphipoda,GARO,PRJNA231037,None,None,GARO01030635.1_6,None
3,84317,Eucyclops serrulatus,84315,Cyclopidae,84308,Cyclopoida,GARW,PRJNA231234,None,"GARW01006688.1_3,GARW01000258.1_2,GARW01002584.1_6,GARW01016342.1_2,GARW01001240.1_2",GARW01012303.1_1,None
4,6837,Calanus finmarchicus,6835,Calanidae,6833,Calanoida,GAXK,PRJNA236528,10.1371/journal.pone.0088589;24586345,"GAXK01131543.1_3,GAXK01131541.1_3,GAXK01131539.1_3,GAXK01131542.1_3,GAXK01131540.1_3,GAXK01056189.1_2,GAXK01056187.1_3,GAXK01006894.1_3,GAXK01056188.1_2,GAXK01114401.1_5,GAXK01114399.1_5,GAXK01114397.1_4,GAXK01114396.1_4,GAXK01131544.1_3,GAXK01158201.1_3,GAXK01056190.1_2,GAXK01056191.1_2,GAXK01006895.1_3,GAXK01177054.1_1,GAXK01177053.1_2,GAXK01053627.1_4,GAXK01053625.1_6,GAXK01053644.1_3,GAXK01053639.1_1,GAXK01091982.1_1,GAXK01006896.1_3,GAXK01091981.1_1,GAXK01114421.1_2,GAXK01097202.1_3,GAXK01011168.1_6,GAXK01011170.1_6,GAXK01011164.1_6,GAXK01011165.1_6,GAXK01011193.1_1,GAXK01011192.1_1,GAXK01011174.1_4,GAXK01011169.1_4",GAXK01134627.1_3,None
5,217165,Caligus rogercresseyi,72034,Caligidae,72033,Siphonostomatoida,GAZX,PRJNA234316,24561831,"GAZX01014369.1_2,GAZX01038482.1_6,GAZX01038481.1_6,GAZX01038534.1_5,GAZX01025382.1_3,GAZX01025381.1_1",None,None
6,6717,Astacus leptodactylus,6713,Astacidae,6683,Decapoda,GBEI,PRJNA183420,23840318;24055302,GBEI01016199.1_5,None,None
7,6728,Procambarus clarkii,6725,Cambaridae,6683,Decapoda,GBEV,PRJNA205889,25278476;25479010,"GBEV01153472.1_4,GBEV01002580.1_5",GBEV01106855.1_1,None
8,6837,Calanus finmarchicus,6835,Calanidae,6833,Calanoida,GBFB,PRJNA231164,25568661,"GBFB01146669.1_3,GBFB01146667.1_3,GBFB01149139.1_1,GBFB01119403.1_1,GBFB01149140.1_1,GBFB01182303.1_1,GBFB01182302.1_1,GBFB01146668.1_3,GBFB01113094.1_3,GBFB01153589.1_6,GBFB01153575.1_6,GBFB01133478.1_6,GBFB01133477.1_6,GBFB01049976.1_1,GBFB01153580.1_6,GBFB01150095.1_1,GBFB01119406.1_2,GBFB01150093.1_2,GBFB01119404.1_1,GBFB01150090.1_2,GBFB01150083.1_1,GBFB01186987.1_1,GBFB01186986.1_1,GBFB01150082.1_2,GBFB01150097.1_1,GBFB01150084.1_1,GBFB01162697.1_2,GBFB01059484.1_1,GBFB01066173.1_3,GBFB01149141.1_3,GBFB01150089.1_1,GBFB01191062.1_1,GBFB01150079.1_3","GBFB01106499.1_6,GBFB01106497.1_6",None
9,88015,Eurytemora affinis,88013,Temoridae,6833,Calanoida,GBGO,PRJNA242763,None,"GBGO01046505.1_3,GBGO01096321.1_1,GBGO01096322.1_1,GBGO01093653.1_1,GBGO01093646.1_1,GBGO01093645.1_1,GBGO01093658.1_1,GBGO01093655.1_1,GBGO01093654.1_1,GBGO01114862.1_4,GBGO01054810.1_1,GBGO01129495.1_5,GBGO01070525.1_1,GBGO01070524.1_2",None,None
