Run,AGE,Assay Type,AvgSpotLen,Bases,Biomaterial_provider,BioProject,BioSample,BioSampleModel,bloodfeeding_state,Bytes,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,mating_state,Organism,Platform,ReleaseDate,replicate,Sample Name,SAMPLE_TYPE,sex,SRA Study,Strain,tissue,treatment
SRR1166463,10-16 days,RNA-Seq,101,12695054206,MR4 stock # MRA-735,PRJNA236239,SAMN02628834,Model organism or animal,not bloodfed,8761087391,ROCKEFELLER UNIVERSITY,2011-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468789,Illumina HiSeq 2000,Fe_Br_SF_5,SINGLE,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,5,Fe_Br_SF_5,dissected tissue,female,SRP037535,LVPIB12,brains,not bloodfed
SRR1166466,10-16 days,RNA-Seq,101,5787003868,MR4 stock # MRA-735,PRJNA236239,SAMN02628837,Model organism or animal,not bloodfed,4073710379,ROCKEFELLER UNIVERSITY,2011-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468792,Illumina HiSeq 2000,Fe_Br_SF_8,SINGLE,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,8,Fe_Br_SF_8,dissected tissue,female,SRP037535,LVPIB12,brains,not bloodfed
SRR1166498,10-16 days,RNA-Seq,101,9510882251,MR4 stock # MRA-735,PRJNA236239,SAMN02628880,Model organism or animal,48h post blood-meal,6621194926,ROCKEFELLER UNIVERSITY,2011-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468824,Illumina HiSeq 2000,Fe_Br_BF_2,SINGLE,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,2,Fe_Br_BF_2,dissected tissue,female,SRP037535,LVPIB12,brains,48h post blood-meal
SRR1166500,10-16 days,RNA-Seq,101,7583762861,MR4 stock # MRA-735,PRJNA236239,SAMN02628882,Model organism or animal,48h post blood-meal,5341410945,ROCKEFELLER UNIVERSITY,2011-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468826,Illumina HiSeq 2000,Fe_Br_BF_4,SINGLE,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,4,Fe_Br_BF_4,dissected tissue,female,SRP037535,LVPIB12,brains,48h post blood-meal
SRR1167481,10-16 days,RNA-Seq,101,9071425999,MR4 stock # MRA-735,PRJNA236239,SAMN02628916,Model organism or animal,96h post blood-meal,5949678996,ROCKEFELLER UNIVERSITY,2011-11,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468843,Illumina HiSeq 2000,Fe_Br_O_1,SINGLE,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,1,Fe_Br_O_1,dissected tissue,female,SRP037535,LVPIB12,brains,96h post blood-meal
SRR1167482,10-16 days,RNA-Seq,101,7625826129,MR4 stock # MRA-735,PRJNA236239,SAMN02628917,Model organism or animal,96h post blood-meal,5000802750,ROCKEFELLER UNIVERSITY,2011-11,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468844,Illumina HiSeq 2000,Fe_Br_O_2,SINGLE,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,2,Fe_Br_O_2,dissected tissue,female,SRP037535,LVPIB12,brains,96h post blood-meal
SRR1167483,10-16 days,RNA-Seq,101,7616835715,MR4 stock # MRA-735,PRJNA236239,SAMN02628918,Model organism or animal,96h post blood-meal,5050739046,ROCKEFELLER UNIVERSITY,2011-11,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468845,Illumina HiSeq 2000,Fe_Br_O_3,SINGLE,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,3,Fe_Br_O_3,dissected tissue,female,SRP037535,LVPIB12,brains,96h post blood-meal
SRR1167503,10-16 days,RNA-Seq,202,31201378540,MR4 stock # MRA-735,PRJNA236239,SAMN02628831,Model organism or animal,not bloodfed,20378913202,ROCKEFELLER UNIVERSITY,2011-09,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468716,Illumina HiSeq 2000,Fe_Br_SF_2,PAIRED,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,2,Fe_Br_SF_2,dissected tissue,female,SRP037535,LVPIB12,brains,not bloodfed
SRR1167504,10-16 days,RNA-Seq,202,35455585602,MR4 stock # MRA-735,PRJNA236239,SAMN02628832,Model organism or animal,not bloodfed,23562989647,ROCKEFELLER UNIVERSITY,2011-09,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468717,Illumina HiSeq 2000,Fe_Br_SF_3,PAIRED,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,3,Fe_Br_SF_3,dissected tissue,female,SRP037535,LVPIB12,brains,not bloodfed
SRR1167505,10-16 days,RNA-Seq,202,7454172690,MR4 stock # MRA-735,PRJNA236239,SAMN02628833,Model organism or animal,not bloodfed,4385848106,ROCKEFELLER UNIVERSITY,2011-09,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468718,Illumina HiSeq 2000,Fe_Br_SF_4,PAIRED,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,4,Fe_Br_SF_4,dissected tissue,female,SRP037535,LVPIB12,brains,not bloodfed
