TSA,tsa_id,tax_id,species,family_id,family_name,order_id,order_name,bioproject,biosample,keywords,raw_tissue,raw_sex,raw_stage,clean_tissue,clean_sex,clean_stage,brain,germline,egg,larvae,pupae,juvenil,adult
GHUW,GHUW00000000.1,1100831,Bactericera trigonica,38124.0,Triozidae,7524,Hemiptera,PRJNA561752,SAMN12627590,"['adults, nymphs, guts']","adults, nymphs, guts",None,None,gut,None,None,0,0,0,0,0,0,0
GDXR,GDXR00000000.1,1390046,Ramulus artemis,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286448,SAMN04005234,"['head and thorax', 'female']",head and thorax,female,None,head & thorax,female,None,1,0,0,0,0,0,0
GDYI,GDYI00000000.1,1661478,Paranisacantha sp. AD-2015,523865.0,Anisacanthidae,7020,Phasmatodea,PRJNA286427,SAMN04005212,"['head and thorax', 'nymph', 'female']",head and thorax,female,nymph,head & thorax,female,nymph,1,0,0,0,0,1,0
GDZR,GDZR00000000.1,614211,Medauroidea extradentata,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286403,SAMN04005188,"['head and thorax', 'female']",head and thorax,female,None,head & thorax,female,None,1,0,0,0,0,0,0
GDWN,GDWN00000000.1,614109,Megacrania phelaus,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286404,SAMN04005189,"['head and thorax', 'not determined']",head and thorax,not determined,None,head & thorax,undetermined sex,None,1,0,0,0,0,0,0
GDWM,GDWM00000000.1,173814,Oreophoetes peruana,409189.0,Diapheromeridae,7020,Phasmatodea,PRJNA286419,SAMN04005204,"['head and thorax', 'male']",head and thorax,male,male,head & thorax,male,None,1,0,0,0,0,0,0
GDXM,GDXM00000000.1,1661835,Metriophasma diocles,58556.0,Pseudophasmatidae,7020,Phasmatodea,PRJNA286406,SAMN04005191,"['head and thorax', 'not determined']",head and thorax,not determined,None,head & thorax,undetermined sex,None,1,0,0,0,0,0,0
GDUS,GDUS00000000.1,173795,Heteropteryx dilatata,262140.0,Heteropterygidae,7020,Phasmatodea,PRJNA286390,SAMN04005175,"['head and thorax', 'nymph', 'not determined']",head and thorax,not determined,nymph,head & thorax,undetermined sex,nymph,1,0,0,0,0,1,0
GDZP,GDZP00000000.1,1661858,Xenophasmina simile,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286473,SAMN04005259,"['head and thorax', 'not determined']",head and thorax,not determined,None,head & thorax,undetermined sex,None,1,0,0,0,0,0,0
GDZO,GDZO00000000.1,1661467,Dimorphodes sp. AD-2015,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286361,SAMN04005146,"['head and thorax', 'not determined']",head and thorax,not determined,None,head & thorax,undetermined sex,None,1,0,0,0,0,0,0
GDXC,GDXC00000000.1,614140,Pseudophasma velutinum,58556.0,Pseudophasmatidae,7020,Phasmatodea,PRJNA286445,SAMN04005231,"['head and thorax', 'not determined']",head and thorax,not determined,None,head & thorax,undetermined sex,None,1,0,0,0,0,0,0
GDXB,GDXB00000000.1,7022,Carausius morosus,2506049.0,Lonchodidae,7020,Phasmatodea,PRJNA286347,SAMN04005132,"['head and thorax', 'adult', 'female']",head and thorax,female,adult,head & thorax,female,adult,1,0,0,0,0,0,1
GDWL,GDWL00000000.1,1661841,Orxines xiphias,2506049.0,Lonchodidae,7020,Phasmatodea,PRJNA286422,SAMN04005207,"['head and thorax', 'not determined']",head and thorax,not determined,None,head & thorax,undetermined sex,None,1,0,0,0,0,0,0
GDVJ,GDVJ00000000.1,1661838,Neohirasea fruhstorferi,2506049.0,Lonchodidae,7020,Phasmatodea,PRJNA286411,SAMN04005196,"['head and thorax', 'male']",head and thorax,male,male,head & thorax,male,None,1,0,0,0,0,0,0
GDVF,GDVF00000000.1,1603952,Achrioptera fallax,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286331,SAMN04005114,"['head and thorax', 'larva', 'not determined']",head and thorax,not determined,larva,head & thorax,undetermined sex,larvae,1,0,0,1,0,0,0
GDVD,GDVD00000000.1,93610,Eurycantha calcarata,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286372,SAMN04005157,"['head and thorax', 'nymph', 'not determined']",head and thorax,not determined,nymph,head & thorax,undetermined sex,nymph,1,0,0,0,0,1,0
GEAD,GEAD00000000.1,614142,Pseudosermyle phalangiphora,409189.0,Diapheromeridae,7020,Phasmatodea,PRJNA286446,SAMN04005232,"['head and thorax', 'male']",head and thorax,male,male,head & thorax,male,None,1,0,0,0,0,0,0
GDYR,GDYR00000000.1,1661803,Antongilia madagassa,55086.0,Bacillidae,7020,Phasmatodea,PRJNA286380,SAMN04005165,"['head and thorax', 'adult', 'male']",head and thorax,male,adult,head & thorax,male,adult,1,0,0,0,0,0,1
GDZN,GDZN00000000.1,590986,Orestes mouhotii,262140.0,Heteropterygidae,7020,Phasmatodea,PRJNA286420,SAMN04005205,"['head and thorax', 'adult', 'female']",head and thorax,female,adult,head & thorax,female,adult,1,0,0,0,0,0,1
GDCD,GDCD00000000.1,1603015,Diapherodes gigantea,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA273031,SAMN03339334,"['head and thorax', 'nymph', 'female']",head and thorax,female,nymph,head & thorax,female,nymph,1,0,0,0,0,1,0
GDCE,GDCE00000000.1,614091,Agamemnon cornutus,58556.0,Pseudophasmatidae,7020,Phasmatodea,PRJNA273019,SAMN03339322,"['head and thorax', 'adult', 'female']",head and thorax,female,adult,head & thorax,female,adult,1,0,0,0,0,0,1
GCPP,GCPP00000000.1,1603008,Orthomeria sp. AD-2014,262154.0,Aschiphasmatidae,7020,Phasmatodea,PRJNA273045,SAMN03339348,"['head and thorax', 'adult', 'missing']",head and thorax,missing,adult,head & thorax,undetermined sex,adult,1,0,0,0,0,0,1
GDCT,GDCT00000000.1,1603014,Creoxylus spinosus,58556.0,Pseudophasmatidae,7020,Phasmatodea,PRJNA273030,SAMN03339333,"['head and thorax', 'adult', 'female']",head and thorax,female,adult,head & thorax,female,adult,1,0,0,0,0,0,1
GDCC,GDCC00000000.1,1603018,Sipyloidea biplagiata,2506049.0,Lonchodidae,7020,Phasmatodea,PRJNA273056,SAMN03339359,"['head and thorax', 'adult', 'female']",head and thorax,female,adult,head & thorax,female,adult,1,0,0,0,0,0,1
GEOS,GEOS00000000.1,753379,Neopseustis meyricki,128171.0,Neopseustidae,7088,Lepidoptera,PRJNA298054,SAMN04329923,"['head and thorax', 'adult']",head and thorax,None,adult,head & thorax,None,adult,1,0,0,0,0,0,1
GDXF,GDXF00000000.1,629903,Libethra strigiventris,409189.0,Diapheromeridae,7020,Phasmatodea,PRJNA286397,SAMN04005182,"['head and 6 legs', 'female']",head and 6 legs,female,None,head,female,None,1,0,0,0,0,0,0
GDXL,GDXL00000000.1,262147,Epidares nolimetangere,262140.0,Heteropterygidae,7020,Phasmatodea,PRJNA286367,SAMN04005152,"['head and forelegs', 'nymph', 'female']",head and forelegs,female,nymph,head,female,nymph,1,0,0,0,0,1,0
GDZM,GDZM00000000.1,7024,Extatosoma tiaratum,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286376,SAMN04005161,"['head and forelegs', 'nymph', 'female']",head and forelegs,female,nymph,head,female,nymph,1,0,0,0,0,1,0
GDYH,GDYH00000000.1,1661914,Spathomorpha lancettifer,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286455,SAMN04005241,"['1 leg', 'nymph', 'male']",1 leg,male,nymph,leg,male,nymph,0,0,0,0,0,1,0
GDWZ,GDWZ00000000.1,1661800,Abrosoma johorense,262154.0,Aschiphasmatidae,7020,Phasmatodea,PRJNA286328,SAMN04005111,"['whole organism', 'not determined']",whole organism,not determined,None,whole organism,undetermined sex,None,0,0,0,0,0,0,0
GDTQ,GDTQ00000000.1,75184,Bacillus rossius,55086.0,Bacillidae,7020,Phasmatodea,PRJNA286345,SAMN04005130,"['whole organism', 'adult', 'not determined']",whole organism,not determined,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GHRK,GHRK00000000.1,50390,Diabrotica virgifera virgifera,27439.0,Chrysomelidae,7041,Coleoptera,PRJNA490283,SAMN10032278,"['whole organism', 'adult', 'male']",whole organism,male,adult,whole organism,male,adult,0,0,0,0,0,0,1
GHRK,GHRK00000000.1,50390,Diabrotica virgifera virgifera,27439.0,Chrysomelidae,7041,Coleoptera,PRJNA490283,SAMN10032279,"['whole organism', 'adult', 'female']",whole organism,female,adult,whole organism,female,adult,0,0,0,0,0,0,1
GHRK,GHRK00000000.1,50390,Diabrotica virgifera virgifera,27439.0,Chrysomelidae,7041,Coleoptera,PRJNA490283,SAMN10032280,"['whole organism', 'juvenile', 'pooled male and female']",whole organism,pooled male and female,juvenile,whole organism,pooled sex,adult,0,0,0,0,0,0,1
GHRK,GHRK00000000.1,50390,Diabrotica virgifera virgifera,27439.0,Chrysomelidae,7041,Coleoptera,PRJNA490283,SAMN10032302,"['whole organism', 'developmental; pre-hatch', 'pooled male and female']",whole organism,pooled male and female,developmental; pre-hatch,whole organism,pooled sex,,0,0,0,0,0,0,0
GHRK,GHRK00000000.1,50390,Diabrotica virgifera virgifera,27439.0,Chrysomelidae,7041,Coleoptera,PRJNA490283,SAMN10032278,"['whole organism', 'adult', 'male']",whole organism,male,adult,whole organism,male,adult,0,0,0,0,0,0,1
GHRK,GHRK00000000.1,50390,Diabrotica virgifera virgifera,27439.0,Chrysomelidae,7041,Coleoptera,PRJNA490283,SAMN10032279,"['whole organism', 'adult', 'female']",whole organism,female,adult,whole organism,female,adult,0,0,0,0,0,0,1
GHRK,GHRK00000000.1,50390,Diabrotica virgifera virgifera,27439.0,Chrysomelidae,7041,Coleoptera,PRJNA490283,SAMN10032280,"['whole organism', 'juvenile', 'pooled male and female']",whole organism,pooled male and female,juvenile,whole organism,pooled sex,adult,0,0,0,0,0,0,1
GHRK,GHRK00000000.1,50390,Diabrotica virgifera virgifera,27439.0,Chrysomelidae,7041,Coleoptera,PRJNA490283,SAMN10032302,"['whole organism', 'developmental; pre-hatch', 'pooled male and female']",whole organism,pooled male and female,developmental; pre-hatch,whole organism,pooled sex,,0,0,0,0,0,0,0
GDPI,GDPI00000000.1,795051,Elaphrus aureus,41073.0,Carabidae,7041,Coleoptera,PRJNA286520,SAMN03799564,"['whole organism', 'adult', 'not determined']",whole organism,not determined,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GDMH,GDMH00000000.1,247075,Cicindela hybrida,41073.0,Carabidae,7041,Coleoptera,PRJNA286505,SAMN03799549,"['whole organism', 'adult', 'not determined']",whole organism,not determined,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
