tsa_id,tax_id,species,family_id,family_name,order_id,order_name,bioproject,biosample,TSA
GHUW00000000.1,1100831,Bactericera trigonica,38124.0,Triozidae,7524,Hemiptera,PRJNA561752,SAMN12627590,GHUW
GDXR00000000.1,1390046,Ramulus artemis,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286448,SAMN04005234,GDXR
GDYI00000000.1,1661478,Paranisacantha sp. AD-2015,523865.0,Anisacanthidae,7020,Phasmatodea,PRJNA286427,SAMN04005212,GDYI
GDZR00000000.1,614211,Medauroidea extradentata,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286403,SAMN04005188,GDZR
GDWN00000000.1,614109,Megacrania phelaus,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286404,SAMN04005189,GDWN
GDWM00000000.1,173814,Oreophoetes peruana,409189.0,Diapheromeridae,7020,Phasmatodea,PRJNA286419,SAMN04005204,GDWM
GDXF00000000.1,629903,Libethra strigiventris,409189.0,Diapheromeridae,7020,Phasmatodea,PRJNA286397,SAMN04005182,GDXF
GDXM00000000.1,1661835,Metriophasma diocles,58556.0,Pseudophasmatidae,7020,Phasmatodea,PRJNA286406,SAMN04005191,GDXM
GDXL00000000.1,262147,Epidares nolimetangere,262140.0,Heteropterygidae,7020,Phasmatodea,PRJNA286367,SAMN04005152,GDXL
GDUS00000000.1,173795,Heteropteryx dilatata,262140.0,Heteropterygidae,7020,Phasmatodea,PRJNA286390,SAMN04005175,GDUS
GDYH00000000.1,1661914,Spathomorpha lancettifer,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286455,SAMN04005241,GDYH
GDZP00000000.1,1661858,Xenophasmina simile,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286473,SAMN04005259,GDZP
GDZO00000000.1,1661467,Dimorphodes sp. AD-2015,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286361,SAMN04005146,GDZO
GDZM00000000.1,7024,Extatosoma tiaratum,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286376,SAMN04005161,GDZM
GDXC00000000.1,614140,Pseudophasma velutinum,58556.0,Pseudophasmatidae,7020,Phasmatodea,PRJNA286445,SAMN04005231,GDXC
GDXB00000000.1,7022,Carausius morosus,2506049.0,Lonchodidae,7020,Phasmatodea,PRJNA286347,SAMN04005132,GDXB
GDWZ00000000.1,1661800,Abrosoma johorense,262154.0,Aschiphasmatidae,7020,Phasmatodea,PRJNA286328,SAMN04005111,GDWZ
GDWL00000000.1,1661841,Orxines xiphias,2506049.0,Lonchodidae,7020,Phasmatodea,PRJNA286422,SAMN04005207,GDWL
GDTQ00000000.1,75184,Bacillus rossius,55086.0,Bacillidae,7020,Phasmatodea,PRJNA286345,SAMN04005130,GDTQ
