	"rsem_out/AK-1_S27.R1.cutadapt.genes.results"	"rsem_out/AK-23_S1.R1.cutadapt.genes.results"	"rsem_out/AK-24_S2.R1.cutadapt.genes.results"	"rsem_out/AK-25_S3.R1.cutadapt.genes.results"	"rsem_out/AK-26_S4.R1.cutadapt.genes.results"	"rsem_out/AK-27_S5.R1.cutadapt.genes.results"	"rsem_out/AK-28_S6.R1.cutadapt.genes.results"	"rsem_out/AK-29_S7.R1.cutadapt.genes.results"	"rsem_out/AK-2_S28.R1.cutadapt.genes.results"	"rsem_out/AK-30_S8.R1.cutadapt.genes.results"	"rsem_out/AK-31_S9.R1.cutadapt.genes.results"	"rsem_out/AK-32_S10.R1.cutadapt.genes.results"	"rsem_out/AK-33_S11.R1.cutadapt.genes.results"	"rsem_out/AK-34_S12.R1.cutadapt.genes.results"	"rsem_out/AK-35_S13.R1.cutadapt.genes.results"	"rsem_out/AK-36_S14.R1.cutadapt.genes.results"	"rsem_out/AK-37_S15.R1.cutadapt.genes.results"	"rsem_out/AK-38_S16.R1.cutadapt.genes.results"	"rsem_out/AK-39_S17.R1.cutadapt.genes.results"	"rsem_out/AK-40_S18.R1.cutadapt.genes.results"	"rsem_out/AK-41_S19.R1.cutadapt.genes.results"	"rsem_out/AK-42_S20.R1.cutadapt.genes.results"	"rsem_out/AK-43_S21.R1.cutadapt.genes.results"	"rsem_out/AK-44_S22.R1.cutadapt.genes.results"	"rsem_out/AK-45_S23.R1.cutadapt.genes.results"	"rsem_out/AK-46_S24.R1.cutadapt.genes.results"	"rsem_out/AK-47_S25.R1.cutadapt.genes.results"	"rsem_out/AK-48_S26.R1.cutadapt.genes.results"	"rsem_out/AK-4_S29.R1.cutadapt.genes.results"	"rsem_out/AK-5_S30.R1.cutadapt.genes.results"	"rsem_out/SHC-17_S13.R1.cutadapt.genes.results"	"rsem_out/SHC-18_S14.R1.cutadapt.genes.results"	"rsem_out/Undetermined_S0.R1.cutadapt.genes.results"
"GBI_00001"	0.00	0.00	0.00	0.00	0.00	43.80	0.00	0.00	0.00	0.00	25.67	0.00	1.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.17	0.00	0.00	16.09	1.66
"GBI_00002"	8.40	0.00	0.00	0.23	0.00	0.00	0.00	0.00	0.61	5.21	1.07	0.00	0.20	0.00	0.00	0.00	12.08	0.00	0.19	0.35	0.00	2.12	19.28	0.00	0.88	0.00	1.19	0.62	0.44	0.00	2.82	0.20	3.69
"GBI_00003"	0.00	0.00	0.00	0.58	1.69	0.00	0.00	1.34	0.00	13.37	0.00	0.00	0.00	0.00	0.00	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.44	0.09	0.43
"GBI_00004"	282.05	132.53	220.32	452.10	283.33	455.20	149.68	26.54	86.43	462.80	142.81	416.68	377.48	436.09	114.67	5.33	472.58	105.00	438.81	297.75	298.44	136.92	446.39	70.09	435.05	278.00	201.49	160.66	401.19	0.00	336.54	108.30	283.52
"GBI_00005"	0.00	0.00	0.00	0.00	0.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.67	0.00	0.00	0.00	0.00	0.00	0.00	2.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_00006"	0.84	0.00	0.00	1.97	2.17	1.70	0.56	0.40	3.18	37.77	0.35	3.20	0.69	0.00	0.00	0.46	0.57	0.00	1.97	0.00	0.00	0.38	0.30	1.04	2.37	0.77	0.00	1.07	2.52	0.00	23.35	0.81	2.52
"GBI_00007"	134.74	0.00	149.81	21.19	40.59	68.66	143.76	113.59	296.60	32.45	207.18	15.15	22.60	62.80	122.47	36.69	76.99	219.73	18.57	82.24	89.41	352.44	98.27	102.54	30.48	64.88	59.41	258.46	26.02	0.00	23.69	112.60	86.08
"GBI_00008"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_00009"	173.06	204.78	2096.13	4906.34	6331.33	435.81	460.23	212.76	282.54	505.09	2215.68	4900.33	4898.13	210.83	462.74	209.00	258.34	583.56	4749.82	6188.72	265.67	397.30	252.96	640.69	2904.21	5190.68	36.77	464.33	3340.57	4916.03	172.23	492.82	2301.00
"GBI_00010"	0.00	0.00	0.00	0.76	3.16	0.00	0.00	0.00	0.00	0.00	0.00	1.35	3.62	0.00	0.00	0.00	0.00	0.00	0.85	0.58	0.00	0.00	0.00	0.61	0.66	0.00	0.00	0.00	1.98	0.00	0.00	0.00	0.56
