TSA,tsa_id,order,family,species,bioproject,biosample,clean_stage,clean_sex,oskar
GEOJ00000000.1,GEOJ,Lepidoptera,Lophocoronidae,lophocorona_astiptica,PRJNA298054,SAMN04329921,larvae,None,not found
GBGB00000000.1,GBGB,Hemiptera,Anthocoridae,orius_laevigatus,PRJNA191591,SAMN02767604,undetermined stage,undetermined sex,not found
GBAS00000000.1,GBAS,Lepidoptera,Castniidae,telchin_licus,PRJNA241452,SAMN02687895,undetermined stage,female,not found
GAZA00000000.2,GAZA,Embioptera,Oligotomidae,haploembia_palaui,PRJNA219565,SAMN02047140,adult,None,not found
GBLE00000000.1,GBLE,Hymenoptera,Chalcididae,brachymeria_minuta,PRJNA252236,SAMN02870225,adult,undetermined sex,found
GBMX00000000.1,GBMX,Hymenoptera,Apidae,ammobates_syriacus,PRJNA252137,SAMN02870204,adult,male,not found
GFMC00000000.1,GFMC,Hemiptera,Reduviidae,triatoma_infestans,PRJNA304741,SAMN04317638,all stages,pooled sex,not found
GEOF00000000.1,GEOF,Lepidoptera,Tineidae,eudarcia_simulatricella,PRJNA298054,SAMN04155512,larvae,None,not found
GBNO00000000.1,GBNO,Hymenoptera,Ampulicidae,dolichurus_corniculus,PRJNA252204,SAMN02870285,adult,male,found
GBOQ00000000.1,GBOQ,Hymenoptera,Mutillidae,dasymutilla_gloriosa,PRJNA252348,SAMN02870273,adult,female,found
GENM00000000.1,GENM,Lepidoptera,Psychidae,thyridopteryx_ephemeraeformis,PRJNA298054,SAMN04155515,adult,None,not found
GBQB00000000.1,GBQB,Hymenoptera,Tenthredinidae,nematus_ribesii,PRJNA252314,SAMN02870345,adult,undetermined sex,found
GBNG00000000.1,GBNG,Hymenoptera,Vespidae,vespula_germanica,PRJNA252254,SAMN02870439,adult,female,found
GAUW00000000.2,GAUW,Dermaptera,Apachyidae,apachyus_charteceus,PRJNA219524,SAMN02047175,undetermined stage,female,not found
GBQN00000000.1,GBQN,Hymenoptera,Megachilidae,megachile_willughbiella,PRJNA252282,SAMN02870335,adult,undetermined sex,not found
GEVJ00000000.1,GEVJ,Diptera,Calliphoridae,cochliomyia_hominivorax,PRJNA324578,SAMN02776973,all stages,undetermined sex,not found
GBQA00000000.1,GBQA,Hymenoptera,Torymidae,torymus_bedeguaris,PRJNA252313,SAMN02870430,adult,undetermined sex,found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628822,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628823,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628824,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628825,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628826,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628827,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628828,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628829,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628830,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628831,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628832,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628833,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628834,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628835,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628836,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628837,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628838,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628839,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628840,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628841,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628842,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628843,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628844,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628845,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628846,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628847,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628848,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628849,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628850,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628851,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628852,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628853,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628854,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628855,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628856,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628857,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628858,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628859,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628860,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628861,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628862,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628863,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628864,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628865,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628866,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628867,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628868,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628869,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628870,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628871,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628872,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628873,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628874,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628875,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628876,adult,female,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628877,adult,female,not found
