tsa_id,species,order,family,oskar,TSA,bioproject,biosample,sex,stage,tissue,raw_tissue,brain,germline,clean_tissue,clean_stage,clean_sex
GEOJ,lophocorona_astiptica,Lepidoptera,Lophocoronidae,not found,GEOJ00000000.1,PRJNA298054,SAMN04329921,None,larva,None,None,0,0,None,larvae,None
GEOJ,lophocorona_astiptica,Lepidoptera,Lophocoronidae,not found,GEOJ00000000.1,PRJNA298054,SAMN04329921,None,None,entire organism,entire organism,0,0,whole organism,None,None
GBGB,orius_laevigatus,Hemiptera,Anthocoridae,not found,GBGB00000000.1,PRJNA191591,SAMN02767604,not determined,None,None,None,0,0,None,None,undetermined sex
GBGB,orius_laevigatus,Hemiptera,Anthocoridae,not found,GBGB00000000.1,PRJNA191591,SAMN02767604,None,None,salivary gland,salivary gland,0,0,salivary glands,None,None
GAXQ,pseudomasaris_vespoides,Hymenoptera,Vespidae,not found,GAXQ00000000.1,PRJNA195615,SAMN01995840,None,None,None,None,0,0,None,None,None
GBAS,telchin_licus,Lepidoptera,Castniidae,not found,GBAS00000000.1,PRJNA241452,SAMN02687895,female,None,None,None,0,0,None,None,female
GBAS,telchin_licus,Lepidoptera,Castniidae,not found,GBAS00000000.1,PRJNA241452,SAMN02687895,None,None,head,head,1,0,head,None,None
GAZA,haploembia_palaui,Embioptera,Oligotomidae,not found,GAZA00000000.2,PRJNA219565,SAMN02047140,None,adult,None,None,0,0,None,adult,None
GBLE,brachymeria_minuta,Hymenoptera,Chalcididae,found,GBLE00000000.1,PRJNA252236,SAMN02870225,missing,None,None,None,0,0,None,None,undetermined sex
GBLE,brachymeria_minuta,Hymenoptera,Chalcididae,found,GBLE00000000.1,PRJNA252236,SAMN02870225,None,adult,None,None,0,0,None,adult,None
GBLE,brachymeria_minuta,Hymenoptera,Chalcididae,found,GBLE00000000.1,PRJNA252236,SAMN02870225,None,None,whole organism,whole organism,0,0,whole organism,None,None
GBMX,ammobates_syriacus,Hymenoptera,Apidae,not found,GBMX00000000.1,PRJNA252137,SAMN02870204,male,None,None,None,0,0,None,None,male
GBMX,ammobates_syriacus,Hymenoptera,Apidae,not found,GBMX00000000.1,PRJNA252137,SAMN02870204,None,adult,None,None,0,0,None,adult,None
GBMX,ammobates_syriacus,Hymenoptera,Apidae,not found,GBMX00000000.1,PRJNA252137,SAMN02870204,None,None,whole organism,whole organism,0,0,whole organism,None,None
GFMC,triatoma_infestans,Hemiptera,Reduviidae,not found,GFMC00000000.1,PRJNA304741,SAMN04317638,None,"eggs, larva 1 to 5 and adusts",None,None,0,0,None,all stages,None
GFMC,triatoma_infestans,Hemiptera,Reduviidae,not found,GFMC00000000.1,PRJNA304741,SAMN04317638,pooled male and female,None,None,None,0,0,None,None,pooled sex
GFMC,triatoma_infestans,Hemiptera,Reduviidae,not found,GFMC00000000.1,PRJNA304741,SAMN04317638,None,None,not applicable,not applicable,0,0,undetermined tissue,None,None
GEOF,eudarcia_simulatricella,Lepidoptera,Tineidae,not found,GEOF00000000.1,PRJNA298054,SAMN04155512,None,larva,None,None,0,0,None,larvae,None
GEOF,eudarcia_simulatricella,Lepidoptera,Tineidae,not found,GEOF00000000.1,PRJNA298054,SAMN04155512,None,None,entire organism,entire organism,0,0,whole organism,None,None
GBNO,dolichurus_corniculus,Hymenoptera,Ampulicidae,found,GBNO00000000.1,PRJNA252204,SAMN02870285,male,None,None,None,0,0,None,None,male
GBNO,dolichurus_corniculus,Hymenoptera,Ampulicidae,found,GBNO00000000.1,PRJNA252204,SAMN02870285,None,adult,None,None,0,0,None,adult,None
GBNO,dolichurus_corniculus,Hymenoptera,Ampulicidae,found,GBNO00000000.1,PRJNA252204,SAMN02870285,None,None,whole organism,whole organism,0,0,whole organism,None,None
GBOQ,dasymutilla_gloriosa,Hymenoptera,Mutillidae,found,GBOQ00000000.1,PRJNA252348,SAMN02870273,female,None,None,None,0,0,None,None,female
GBOQ,dasymutilla_gloriosa,Hymenoptera,Mutillidae,found,GBOQ00000000.1,PRJNA252348,SAMN02870273,None,adult,None,None,0,0,None,adult,None
GBOQ,dasymutilla_gloriosa,Hymenoptera,Mutillidae,found,GBOQ00000000.1,PRJNA252348,SAMN02870273,None,None,whole organism,whole organism,0,0,whole organism,None,None
GAXR,stigmatomma_oregonense,Hymenoptera,Formicidae,not found,GAXR00000000.1,PRJNA195615,SAMN01995841,None,None,None,None,0,0,None,None,None
GENM,thyridopteryx_ephemeraeformis,Lepidoptera,Psychidae,not found,GENM00000000.1,PRJNA298054,SAMN04155515,None,adult,None,None,0,0,None,adult,None
GENM,thyridopteryx_ephemeraeformis,Lepidoptera,Psychidae,not found,GENM00000000.1,PRJNA298054,SAMN04155515,None,None,abdomen,abdomen,0,0,abdomen,None,None
GBXH,cadra_cautella,Lepidoptera,Pyralidae,not found,GBXH00000000.1,PRJNA254197,SAMN02044402,None,None,None,None,0,0,None,None,None
GBQB,nematus_ribesii,Hymenoptera,Tenthredinidae,found,GBQB00000000.1,PRJNA252314,SAMN02870345,missing,None,None,None,0,0,None,None,undetermined sex
GBQB,nematus_ribesii,Hymenoptera,Tenthredinidae,found,GBQB00000000.1,PRJNA252314,SAMN02870345,None,adult,None,None,0,0,None,adult,None
GBQB,nematus_ribesii,Hymenoptera,Tenthredinidae,found,GBQB00000000.1,PRJNA252314,SAMN02870345,None,None,whole organism,whole organism,0,0,whole organism,None,None
GAYZ,ranatra_linearis,Hemiptera,Nepidae,not found,GAYZ00000000.2,PRJNA219599,SAMN02047138,None,None,None,None,0,0,None,None,None
GATY,chrysis_viridula,Hymenoptera,Chrysididae,found,GATY00000000.2,PRJNA219540,SAMN02047164,None,None,None,None,0,0,None,None,None
GCET,coptotermes_gestroi,Blattodea,Rhinotermitidae,not found,GCET00000000.1,PRJNA260184,SAMN03301663,None,None,whole,whole,0,0,whole organism,None,None
GACX,raphidia_ariadne,Raphidioptera,Raphidiidae,not found,GACX00000000.1,PRJNA181033,SAMN01774152,None,None,whole organism,whole organism,0,0,whole organism,None,None
GBNG,vespula_germanica,Hymenoptera,Vespidae,found,GBNG00000000.1,PRJNA252254,SAMN02870439,female,None,None,None,0,0,None,None,female
GBNG,vespula_germanica,Hymenoptera,Vespidae,found,GBNG00000000.1,PRJNA252254,SAMN02870439,None,adult,None,None,0,0,None,adult,None
GBNG,vespula_germanica,Hymenoptera,Vespidae,found,GBNG00000000.1,PRJNA252254,SAMN02870439,None,None,whole organism,whole organism,0,0,whole organism,None,None
GAQV,trypoxylus_dichotomus,Coleoptera,Scarabaeidae,not found,GAQV00000000.1,PRJNA231720,SAMN02404638,None,None,None,None,0,0,None,None,None
GAQV,trypoxylus_dichotomus,Coleoptera,Scarabaeidae,not found,GAQV00000000.1,PRJNA231720,SAMN02404617,None,None,None,None,0,0,None,None,None
GAUW,apachyus_charteceus,Dermaptera,Apachyidae,not found,GAUW00000000.2,PRJNA219524,SAMN02047175,female,None,None,None,0,0,None,None,female
