TSA,tsa_id_x,bioproject_x,biosample_x,sex,stage,tissue,raw_tissue,brain,germline,clean_tissue,clean_stage,clean_sex,egg,larvae,pupae,juvenil,adult,tsa_id_y,tax_id,species,family_id,family_name,order_id,order_name,bioproject_y,biosample_y,sequence_read_archive,download_status
GHUW00000000.1,GHUW,PRJNA561752,SAMN12627590,None,None,"adults, nymphs, guts","adults, nymphs, guts",0,0,gut,None,None,0,0,0,0,0,GHUW00000000.1,1100831,Bactericera trigonica,38124.0,Triozidae,7524,Hemiptera,PRJNA561752,SAMN12627590,SRR10019128,False
GDXR00000000.1,GDXR,PRJNA286448,SAMN04005234,None,None,head and thorax,head and thorax,1,0,head & thorax,None,None,0,0,0,0,0,GDXR00000000.1,1390046,Ramulus artemis,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286448,SAMN04005234,SRR2230619,False
GDXR00000000.1,GDXR,PRJNA286448,SAMN04005234,female,None,None,None,0,0,None,None,female,0,0,0,0,0,GDXR00000000.1,1390046,Ramulus artemis,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286448,SAMN04005234,SRR2230619,False
GDYI00000000.1,GDYI,PRJNA286427,SAMN04005212,None,None,head and thorax,head and thorax,1,0,head & thorax,None,None,0,0,0,0,0,GDYI00000000.1,1661478,Paranisacantha sp. AD-2015,523865.0,Anisacanthidae,7020,Phasmatodea,PRJNA286427,SAMN04005212,SRR2230597,False
GDYI00000000.1,GDYI,PRJNA286427,SAMN04005212,None,nymph,None,None,0,0,None,nymph,None,0,0,0,1,0,GDYI00000000.1,1661478,Paranisacantha sp. AD-2015,523865.0,Anisacanthidae,7020,Phasmatodea,PRJNA286427,SAMN04005212,SRR2230597,False
GDYI00000000.1,GDYI,PRJNA286427,SAMN04005212,female,None,None,None,0,0,None,None,female,0,0,0,0,0,GDYI00000000.1,1661478,Paranisacantha sp. AD-2015,523865.0,Anisacanthidae,7020,Phasmatodea,PRJNA286427,SAMN04005212,SRR2230597,False
GDZR00000000.1,GDZR,PRJNA286403,SAMN04005188,None,None,head and thorax,head and thorax,1,0,head & thorax,None,None,0,0,0,0,0,GDZR00000000.1,614211,Medauroidea extradentata,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286403,SAMN04005188,SRR2230573,False
GDZR00000000.1,GDZR,PRJNA286403,SAMN04005188,female,None,None,None,0,0,None,None,female,0,0,0,0,0,GDZR00000000.1,614211,Medauroidea extradentata,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286403,SAMN04005188,SRR2230573,False
GDWN00000000.1,GDWN,PRJNA286404,SAMN04005189,None,None,head and thorax,head and thorax,1,0,head & thorax,None,None,0,0,0,0,0,GDWN00000000.1,614109,Megacrania phelaus,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286404,SAMN04005189,SRR2230574,False
GDWN00000000.1,GDWN,PRJNA286404,SAMN04005189,not determined,None,None,None,0,0,None,None,undetermined sex,0,0,0,0,0,GDWN00000000.1,614109,Megacrania phelaus,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286404,SAMN04005189,SRR2230574,False
GDWM00000000.1,GDWM,PRJNA286419,SAMN04005204,None,None,head and thorax,head and thorax,1,0,head & thorax,None,None,0,0,0,0,0,GDWM00000000.1,173814,Oreophoetes peruana,409189.0,Diapheromeridae,7020,Phasmatodea,PRJNA286419,SAMN04005204,SRR2230589,False
GDWM00000000.1,GDWM,PRJNA286419,SAMN04005204,male,None,None,None,0,0,None,None,male,0,0,0,0,0,GDWM00000000.1,173814,Oreophoetes peruana,409189.0,Diapheromeridae,7020,Phasmatodea,PRJNA286419,SAMN04005204,SRR2230589,False
GDXM00000000.1,GDXM,PRJNA286406,SAMN04005191,None,None,head and thorax,head and thorax,1,0,head & thorax,None,None,0,0,0,0,0,GDXM00000000.1,1661835,Metriophasma diocles,58556.0,Pseudophasmatidae,7020,Phasmatodea,PRJNA286406,SAMN04005191,SRR2230576,False
GDXM00000000.1,GDXM,PRJNA286406,SAMN04005191,not determined,None,None,None,0,0,None,None,undetermined sex,0,0,0,0,0,GDXM00000000.1,1661835,Metriophasma diocles,58556.0,Pseudophasmatidae,7020,Phasmatodea,PRJNA286406,SAMN04005191,SRR2230576,False
GDUS00000000.1,GDUS,PRJNA286390,SAMN04005175,None,None,head and thorax,head and thorax,1,0,head & thorax,None,None,0,0,0,0,0,GDUS00000000.1,173795,Heteropteryx dilatata,262140.0,Heteropterygidae,7020,Phasmatodea,PRJNA286390,SAMN04005175,SRR2230560,False
GDUS00000000.1,GDUS,PRJNA286390,SAMN04005175,None,nymph,None,None,0,0,None,nymph,None,0,0,0,1,0,GDUS00000000.1,173795,Heteropteryx dilatata,262140.0,Heteropterygidae,7020,Phasmatodea,PRJNA286390,SAMN04005175,SRR2230560,False
GDUS00000000.1,GDUS,PRJNA286390,SAMN04005175,not determined,None,None,None,0,0,None,None,undetermined sex,0,0,0,0,0,GDUS00000000.1,173795,Heteropteryx dilatata,262140.0,Heteropterygidae,7020,Phasmatodea,PRJNA286390,SAMN04005175,SRR2230560,False
