#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
IADJ01071650.1_1     -          LOTUS_CONSENSUS      -            1.4e-16   65.8   0.0   1.1e-15   63.0   0.0   2.6   2   0   0   2   2   1   1 TSA: Trypoxylus dichotomus mRNA, comp65044_c0_seq4, transcribed RNA sequence
IADJ01071649.1_1     -          LOTUS_CONSENSUS      -            1.4e-16   65.8   0.0   1.1e-15   63.0   0.0   2.6   2   0   0   2   2   1   1 TSA: Trypoxylus dichotomus mRNA, comp65044_c0_seq3, transcribed RNA sequence
IADJ01071648.1_1     -          LOTUS_CONSENSUS      -            1.4e-16   65.8   0.0     1e-15   63.0   0.0   2.6   2   0   0   2   2   1   1 TSA: Trypoxylus dichotomus mRNA, comp65044_c0_seq2, transcribed RNA sequence
IADJ01071647.1_1     -          LOTUS_CONSENSUS      -            1.5e-16   65.8   0.0     1e-15   63.0   0.0   2.6   2   0   0   2   2   1   1 TSA: Trypoxylus dichotomus mRNA, comp65044_c0_seq1, transcribed RNA sequence
IADJ01053662.1_6     -          LOTUS_CONSENSUS      -            1.1e-15   62.9   4.9   3.7e-11   48.4   1.2   2.6   2   0   0   2   2   2   2 TSA: Trypoxylus dichotomus mRNA, comp62787_c0_seq3, transcribed RNA sequence
IADJ01039118.1_1     -          LOTUS_CONSENSUS      -            2.7e-05   29.7   1.6       6.1   12.5   0.7   5.1   4   2   2   6   6   5   2 TSA: Trypoxylus dichotomus mRNA, comp58944_c0_seq23, transcribed RNA sequence
IADJ01039117.1_1     -          LOTUS_CONSENSUS      -            8.2e-05   28.1   0.8       9.3   11.9   0.7   4.8   5   1   0   5   5   3   2 TSA: Trypoxylus dichotomus mRNA, comp58944_c0_seq22, transcribed RNA sequence
IADJ01039116.1_1     -          LOTUS_CONSENSUS      -              9e-05   28.0   0.8       9.5   11.9   0.7   4.8   5   1   0   5   5   3   2 TSA: Trypoxylus dichotomus mRNA, comp58944_c0_seq21, transcribed RNA sequence
IADJ01039115.1_1     -          LOTUS_CONSENSUS      -            9.9e-05   27.8   0.8       9.6   11.8   0.7   4.8   5   1   0   5   5   3   2 TSA: Trypoxylus dichotomus mRNA, comp58944_c0_seq20, transcribed RNA sequence
IADJ01039113.1_1     -          LOTUS_CONSENSUS      -            0.00013   27.5   1.0       9.8   11.8   0.7   4.8   5   1   0   5   5   3   2 TSA: Trypoxylus dichotomus mRNA, comp58944_c0_seq18, transcribed RNA sequence
IADJ01039112.1_1     -          LOTUS_CONSENSUS      -            0.00014   27.3   1.0        10   11.8   0.7   4.7   5   1   0   5   5   3   2 TSA: Trypoxylus dichotomus mRNA, comp58944_c0_seq17, transcribed RNA sequence
IADJ01039114.1_1     -          LOTUS_CONSENSUS      -            0.00029   26.3   3.8       9.7   11.8   0.7   5.5   6   1   0   6   6   4   2 TSA: Trypoxylus dichotomus mRNA, comp58944_c0_seq19, transcribed RNA sequence
IADJ01039111.1_2     -          LOTUS_CONSENSUS      -            0.00088   24.8   2.0        14   11.3   0.7   4.6   5   1   1   6   6   4   1 TSA: Trypoxylus dichotomus mRNA, comp58944_c0_seq16, transcribed RNA sequence
