#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GHJE01032141.1_5     -          LOTUS_CONSENSUS      -            4.1e-21   80.1   0.1   1.3e-20   78.5   0.1   1.9   1   0   0   1   1   1   1 TSA: Harmonia axyridis strain Hx-2018 TRINITY_DN20548_c0_g1_i3, transcribed RNA sequence
GHJE01034763.1_6     -          LOTUS_CONSENSUS      -            2.1e-19   74.6   1.4   9.1e-14   56.5   0.0   3.6   3   0   0   3   3   3   2 TSA: Harmonia axyridis strain Hx-2018 TRINITY_DN23932_c0_g1_i3, transcribed RNA sequence
GHJE01043070.1_5     -          LOTUS_CONSENSUS      -            6.3e-19   73.0   0.2     3e-16   64.4   0.2   2.9   2   0   0   2   2   2   1 TSA: Harmonia axyridis strain Hx-2018 TRINITY_DN25932_c2_g12_i3, transcribed RNA sequence
GHJE01008696.1_1     -          LOTUS_CONSENSUS      -            2.4e-18   71.2   0.1   2.3e-13   55.2   0.0   3.2   2   0   0   2   2   2   2 TSA: Harmonia axyridis strain Hx-2018 TRINITY_DN20070_c0_g1_i1, transcribed RNA sequence
GHJE01017382.1_2     -          LOTUS_CONSENSUS      -            3.6e-12   51.4   0.0   3.9e-12   51.3   0.0   1.0   1   0   0   1   1   1   1 TSA: Harmonia axyridis strain Hx-2018 TRINITY_DN35320_c0_g1_i1, transcribed RNA sequence
GHJE01018848.1_1     -          LOTUS_CONSENSUS      -            9.8e-05   27.5   0.1   0.00014   27.0   0.1   1.3   1   0   0   1   1   1   1 TSA: Harmonia axyridis strain Hx-2018 TRINITY_DN42530_c0_g1_i1, transcribed RNA sequence
GHJE01077833.1_3     -          LOTUS_CONSENSUS      -             0.0021   23.3   0.7    0.0053   22.0   0.0   2.1   2   1   1   3   3   2   1 TSA: Harmonia axyridis strain Hx-2018 TRINITY_DN14214_c0_g1_i1, transcribed RNA sequence
GHJE01004270.1_5     -          LOTUS_CONSENSUS      -               0.48   15.7   2.2        26   10.1   0.3   2.5   2   0   0   2   2   2   0 TSA: Harmonia axyridis strain Hx-2018 TRINITY_DN12559_c0_g1_i1, transcribed RNA sequence
GHJE01071012.1_1     -          LOTUS_CONSENSUS      -               0.51   15.6   4.8        34    9.8   0.4   2.5   2   1   0   2   2   2   0 TSA: Harmonia axyridis strain Hx-2018 TRINITY_DN6197_c0_g1_i1, transcribed RNA sequence
GHJE01055078.1_3     -          LOTUS_CONSENSUS      -               0.66   15.3   0.1       1.6   14.0   0.1   1.7   1   1   0   1   1   1   0 TSA: Harmonia axyridis strain Hx-2018 TRINITY_DN17494_c0_g1_i2, transcribed RNA sequence
GHJE01094456.1_3     -          LOTUS_CONSENSUS      -               0.79   15.0   0.0      0.95   14.8   0.0   1.2   1   1   0   1   1   1   0 TSA: Harmonia axyridis strain Hx-2018 TRINITY_DN12710_c0_g1_i1, transcribed RNA sequence
GHJE01099933.1_6     -          LOTUS_CONSENSUS      -                1.2   14.4   0.4       1.5   14.1   0.4   1.1   1   0   0   1   1   1   0 TSA: Harmonia axyridis strain Hx-2018 TRINITY_DN53848_c0_g1_i1, transcribed RNA sequence
GHJE01024929.1_5     -          LOTUS_CONSENSUS      -                2.5   13.4   0.1       4.1   12.7   0.1   1.4   1   0   0   1   1   1   0 TSA: Harmonia axyridis strain Hx-2018 TRINITY_DN22497_c6_g1_i1, transcribed RNA sequence
GHJE01032609.1_4     -          LOTUS_CONSENSUS      -                2.9   13.2   1.1       6.6   12.1   1.1   1.5   1   0   0   1   1   1   0 TSA: Harmonia axyridis strain Hx-2018 TRINITY_DN17763_c0_g1_i3, transcribed RNA sequence
GHJE01003447.1_5     -          LOTUS_CONSENSUS      -                3.4   13.0   0.1         6   12.2   0.1   1.4   1   0   0   1   1   1   0 TSA: Harmonia axyridis strain Hx-2018 TRINITY_DN9130_c0_g1_i1, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GHJE01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GHJE01_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GHJE01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Sun Oct  6 01:05:20 2019
# [ok]
