#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GCZK01053245.1_6     -          OSK_CONSENSUS        -            2.1e-31  113.0   1.6   3.3e-18   70.1   0.2   2.2   1   1   1   2   2   2   2 TSA: Stictocephala bisonia breed wildtype s24321_L_70644_0_20_1_LINEAR, transcribed RNA sequence
GCZK01039477.1_5     -          OSK_CONSENSUS        -              2e-25   93.5   0.1   3.8e-25   92.7   0.1   1.4   1   0   0   1   1   1   1 TSA: Stictocephala bisonia breed wildtype s118_L_102_2_60_3_COMPLEX, transcribed RNA sequence
GCZK01039256.1_5     -          OSK_CONSENSUS        -            2.6e-25   93.2   0.1   4.8e-25   92.3   0.1   1.4   1   0   0   1   1   1   1 TSA: Stictocephala bisonia breed wildtype s116_L_102_0_60_6_COMPLEX, transcribed RNA sequence
GCZK01039366.1_5     -          OSK_CONSENSUS        -            2.6e-25   93.2   0.1   4.8e-25   92.3   0.1   1.4   1   0   0   1   1   1   1 TSA: Stictocephala bisonia breed wildtype s117_L_102_1_60_4_COMPLEX, transcribed RNA sequence
GCZK01049846.1_3     -          OSK_CONSENSUS        -            0.00094   23.1   0.1    0.0016   22.4   0.1   1.4   1   0   0   1   1   1   1 TSA: Stictocephala bisonia breed wildtype s21254_L_53067_0_2_6_LINEAR, transcribed RNA sequence
GCZK01026782.1_6     -          OSK_CONSENSUS        -               0.36   14.7   0.0       0.5   14.3   0.0   1.2   1   0   0   1   1   1   0 TSA: Stictocephala bisonia breed wildtype C251956_2_0, transcribed RNA sequence
GCZK01025473.1_5     -          OSK_CONSENSUS        -               0.79   13.6   1.7      0.96   13.4   1.7   1.0   1   0   0   1   1   1   0 TSA: Stictocephala bisonia breed wildtype C246312_2_0, transcribed RNA sequence
GCZK01001710.1_6     -          OSK_CONSENSUS        -                  1   13.3   0.1       1.2   13.1   0.1   1.0   1   0   0   1   1   1   0 TSA: Stictocephala bisonia breed wildtype C159118_3_0, transcribed RNA sequence
GCZK01027612.1_1     -          OSK_CONSENSUS        -                1.4   12.8   0.3       7.1   10.5   0.3   1.9   1   1   1   2   2   2   0 TSA: Stictocephala bisonia breed wildtype C255696_5_0_a, transcribed RNA sequence
GCZK01016614.1_2     -          OSK_CONSENSUS        -                1.5   12.7   0.9       1.7   12.6   0.9   1.1   1   0   0   1   1   1   0 TSA: Stictocephala bisonia breed wildtype C211820_2_0, transcribed RNA sequence
GCZK01039456.1_4     -          OSK_CONSENSUS        -                2.8   11.9   0.0       4.1   11.3   0.0   1.2   1   0   0   1   1   1   0 TSA: Stictocephala bisonia breed wildtype s11881_L_20042_0_4_5_FORK, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/OSK_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCZK01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GCZK01_osk_search.txt --cpu 8 ../Data/Oskar_hmm/OSK_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCZK01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Sun Oct  6 01:01:50 2019
# [ok]
