#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GCPO01000928.1_2     -          OSK_CONSENSUS        -            0.00093   23.1   0.1    0.0011   22.9   0.1   1.0   1   0   0   1   1   1   1 TSA: Popa spurca breed breeding C118890_a_3_0_l_205, transcribed RNA sequence
GCPO01042438.1_1     -          OSK_CONSENSUS        -               0.01   19.7   0.5     0.016   19.1   0.5   1.3   1   0   0   1   1   1   0 TSA: Popa spurca breed breeding C224417_a_5_0_l_714, transcribed RNA sequence
GCPO01047213.1_1     -          OSK_CONSENSUS        -              0.048   17.5   1.5   1.2e+02    6.5   0.0   3.6   4   0   0   4   4   4   0 TSA: Popa spurca breed breeding C238028_a_52_0_l_1393, transcribed RNA sequence
GCPO01049262.1_3     -          OSK_CONSENSUS        -               0.13   16.1   0.2      0.21   15.4   0.2   1.3   1   0   0   1   1   1   0 TSA: Popa spurca breed breeding s10335_L_56051_0_a_7_7_l_963, transcribed RNA sequence
GCPO01039079.1_2     -          OSK_CONSENSUS        -               0.17   15.8   0.0      0.25   15.2   0.0   1.3   1   0   0   1   1   1   0 TSA: Popa spurca breed breeding C215111_a_4_0_l_560, transcribed RNA sequence
GCPO01020875.1_1     -          OSK_CONSENSUS        -               0.41   14.5   0.0      0.45   14.4   0.0   1.1   1   0   0   1   1   1   0 TSA: Popa spurca breed breeding C167177_a_3_0_l_285, transcribed RNA sequence
GCPO01049047.1_6     -          OSK_CONSENSUS        -               0.67   13.8   0.6       1.2   13.0   0.6   1.4   1   0   0   1   1   1   0 TSA: Popa spurca breed breeding s10140_L_52871_0_a_4_6_l_1169, transcribed RNA sequence
GCPO01017428.1_5     -          OSK_CONSENSUS        -                  1   13.2   0.0       1.3   12.8   0.0   1.2   1   0   0   1   1   1   0 TSA: Popa spurca breed breeding C158976_a_5_0_l_269, transcribed RNA sequence
GCPO01008112.1_5     -          OSK_CONSENSUS        -                  1   13.2   0.0       1.2   13.0   0.0   1.1   1   0   0   1   1   1   0 TSA: Popa spurca breed breeding C137621_a_12_0_l_241, transcribed RNA sequence
GCPO01001900.1_6     -          OSK_CONSENSUS        -                1.3   12.9   0.2       1.3   12.9   0.2   1.1   1   0   0   1   1   1   0 TSA: Popa spurca breed breeding C121552_a_9_0_l_211, transcribed RNA sequence
GCPO01036616.1_6     -          OSK_CONSENSUS        -                1.3   12.8   0.3       1.6   12.5   0.3   1.2   1   0   0   1   1   1   0 TSA: Popa spurca breed breeding C208441_a_9_0_l_491, transcribed RNA sequence
GCPO01013905.1_4     -          OSK_CONSENSUS        -                1.8   12.4   0.1       2.1   12.2   0.1   1.1   1   0   0   1   1   1   0 TSA: Popa spurca breed breeding C150946_a_5_0_l_258, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/OSK_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCPO01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GCPO01_osk_search.txt --cpu 8 ../Data/Oskar_hmm/OSK_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCPO01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Sun Oct  6 00:45:02 2019
# [ok]
