#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
IAAD01020537.1_6     -          LOTUS_CONSENSUS      -            7.1e-27   99.5   0.1   7.1e-27   99.5   0.1   2.0   2   0   0   2   2   1   1 TSA: Pogonomyrmex californicus RNA, : comp27888_c0_seq1, isolate: PCALIFOR, transcribed RNA sequence
IAAD01077953.1_6     -          LOTUS_CONSENSUS      -            5.3e-18   71.1   1.8   6.4e-16   64.4   0.0   3.7   3   0   0   3   3   3   1 TSA: Pogonomyrmex californicus RNA, : comp53639_c0_seq6, isolate: PCALIFOR, transcribed RNA sequence
IAAD01077956.1_6     -          LOTUS_CONSENSUS      -            5.9e-18   71.0   1.4   7.4e-16   64.2   0.0   3.6   3   0   0   3   3   3   1 TSA: Pogonomyrmex californicus RNA, : comp53639_c0_seq9, isolate: PCALIFOR, transcribed RNA sequence
IAAD01077952.1_6     -          LOTUS_CONSENSUS      -            6.1e-18   70.9   1.8   6.8e-16   64.3   0.0   3.7   3   0   0   3   3   3   1 TSA: Pogonomyrmex californicus RNA, : comp53639_c0_seq5, isolate: PCALIFOR, transcribed RNA sequence
IAAD01077958.1_6     -          LOTUS_CONSENSUS      -            6.6e-18   70.8   1.4   7.8e-16   64.1   0.0   3.6   3   0   0   3   3   3   1 TSA: Pogonomyrmex californicus RNA, : comp53639_c0_seq11, isolate: PCALIFOR, transcribed RNA sequence
IAAD01077951.1_6     -          LOTUS_CONSENSUS      -            7.1e-18   70.7   1.6   7.6e-16   64.2   0.0   3.6   3   0   0   3   3   3   1 TSA: Pogonomyrmex californicus RNA, : comp53639_c0_seq4, isolate: PCALIFOR, transcribed RNA sequence
IAAD01077957.1_6     -          LOTUS_CONSENSUS      -            7.4e-18   70.6   1.5   7.9e-16   64.1   0.0   3.6   3   0   0   3   3   3   1 TSA: Pogonomyrmex californicus RNA, : comp53639_c0_seq10, isolate: PCALIFOR, transcribed RNA sequence
IAAD01077949.1_6     -          LOTUS_CONSENSUS      -            7.9e-18   70.5   1.6   8.1e-16   64.1   0.0   3.7   3   0   0   3   3   3   1 TSA: Pogonomyrmex californicus RNA, : comp53639_c0_seq2, isolate: PCALIFOR, transcribed RNA sequence
IAAD01077959.1_6     -          LOTUS_CONSENSUS      -            8.2e-18   70.5   1.5   8.4e-16   64.1   0.0   3.6   3   0   0   3   3   3   1 TSA: Pogonomyrmex californicus RNA, : comp53639_c0_seq12, isolate: PCALIFOR, transcribed RNA sequence
IAAD01077948.1_6     -          LOTUS_CONSENSUS      -            1.2e-17   69.9   0.0   2.1e-17   69.2   0.0   1.3   1   0   0   1   1   1   1 TSA: Pogonomyrmex californicus RNA, : comp53639_c0_seq1, isolate: PCALIFOR, transcribed RNA sequence
IAAD01077955.1_6     -          LOTUS_CONSENSUS      -            3.7e-17   68.4   0.0   6.7e-17   67.6   0.0   1.4   1   0   0   1   1   1   1 TSA: Pogonomyrmex californicus RNA, : comp53639_c0_seq8, isolate: PCALIFOR, transcribed RNA sequence
IAAD01077954.1_6     -          LOTUS_CONSENSUS      -              4e-17   68.3   0.0   7.3e-17   67.5   0.0   1.4   1   0   0   1   1   1   1 TSA: Pogonomyrmex californicus RNA, : comp53639_c0_seq7, isolate: PCALIFOR, transcribed RNA sequence
IAAD01124502.1_4     -          LOTUS_CONSENSUS      -            9.7e-13   54.2   1.5   4.7e-09   42.4   0.0   3.6   3   0   0   3   3   2   2 TSA: Pogonomyrmex californicus RNA, : comp58050_c3_seq3, isolate: PCALIFOR, transcribed RNA sequence
IAAD01124500.1_4     -          LOTUS_CONSENSUS      -            9.9e-13   54.2   2.5   5.2e-09   42.3   0.0   4.2   3   0   0   3   3   3   2 TSA: Pogonomyrmex californicus RNA, : comp58050_c3_seq1, isolate: PCALIFOR, transcribed RNA sequence
IAAD01189229.1_4     -          LOTUS_CONSENSUS      -               0.29   17.4   0.3      0.78   16.1   0.3   1.7   1   0   0   1   1   1   0 TSA: Pogonomyrmex californicus RNA, : comp60222_c6_seq30, isolate: PCALIFOR, transcribed RNA sequence
