#                                                                              --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                          accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------                -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GDCH01039505.1_3     -          oskar_filtered.aligned.LOTUS_domain -              9e-07   33.0   0.0        13   10.0   0.0   5.2   2   1   3   5   5   5   2 TSA: Phyllocrania paradoxa breed breeding s11213_L_50224_0_a_5_8_l_3945, transcribed RNA sequence
GDCH01040946.1_4     -          oskar_filtered.aligned.LOTUS_domain -             0.0012   22.9   0.0    0.0026   21.9   0.0   1.7   1   0   0   1   1   1   1 TSA: Phyllocrania paradoxa breed breeding s2340_L_2968_0_a_13_2_l_704, transcribed RNA sequence
GDCH01008391.1_1     -          oskar_filtered.aligned.LOTUS_domain -               0.22   15.7   0.3      0.29   15.4   0.3   1.1   1   0   0   1   1   1   0 TSA: Phyllocrania paradoxa breed breeding C121535_a_3_0_l_291, transcribed RNA sequence
GDCH01022392.1_6     -          oskar_filtered.aligned.LOTUS_domain -               0.56   14.4   0.0      0.97   13.7   0.0   1.3   1   0   0   1   1   1   0 TSA: Phyllocrania paradoxa breed breeding C162811_a_4_0_l_640, transcribed RNA sequence
GDCH01016446.1_2     -          oskar_filtered.aligned.LOTUS_domain -               0.64   14.2   0.1        19    9.5   0.0   2.2   2   0   0   2   2   2   0 TSA: Phyllocrania paradoxa breed breeding C145184_a_3_0_l_435, transcribed RNA sequence
GDCH01016956.1_3     -          oskar_filtered.aligned.LOTUS_domain -                0.9   13.8   2.1       1.8   12.8   0.2   2.1   1   1   1   2   2   2   0 TSA: Phyllocrania paradoxa breed breeding C146673_a_4_0_l_448, transcribed RNA sequence
GDCH01012879.1_6     -          oskar_filtered.aligned.LOTUS_domain -               0.94   13.7   0.0       1.2   13.3   0.0   1.2   1   0   0   1   1   1   0 TSA: Phyllocrania paradoxa breed breeding C134593_a_3_0_l_360, transcribed RNA sequence
GDCH01047055.1_5     -          oskar_filtered.aligned.LOTUS_domain -                1.1   13.5   0.4       1.7   12.9   0.4   1.3   1   0   0   1   1   1   0 TSA: Phyllocrania paradoxa breed breeding s787_L_786_0_a_3_9_l_283, transcribed RNA sequence
GDCH01005190.1_6     -          oskar_filtered.aligned.LOTUS_domain -                1.6   13.0   0.0         2   12.7   0.0   1.2   1   0   0   1   1   1   0 TSA: Phyllocrania paradoxa breed breeding C112628_a_4_0_l_260, transcribed RNA sequence
GDCH01022125.1_6     -          oskar_filtered.aligned.LOTUS_domain -                  2   12.6   0.0       5.2   11.3   0.0   1.6   2   0   0   2   2   2   0 TSA: Phyllocrania paradoxa breed breeding C162055_a_24_0_l_628, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/V3/LOTUS_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDCH01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GDCH01_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/V3/LOTUS_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDCH01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Mon Nov 25 12:52:06 2019
# [ok]
