index,id,species,family_name,order_name,hits,source,filtered_hits
0,GDYR00000000.1,Antongilia madagassa,Bacillidae,Phasmatodea,0,TSA,0.0
1,GDZN00000000.1,Orestes mouhotii,Heteropterygidae,Phasmatodea,0,TSA,0.0
2,GFTR00000000.1,Panstrongylus lignarius,Reduviidae,Hemiptera,0,TSA,0.0
3,GEMB00000000.1,Triatoma infestans,Reduviidae,Hemiptera,0,TSA,0.0
4,GECL00000000.1,Triatoma dimidiata,Reduviidae,Hemiptera,0,TSA,0.0
5,GHKJ00000000.1,Rhodnius prolixus,Reduviidae,Hemiptera,0,TSA,0.0
6,GHKV00000000.1,Gomphocerus sibiricus,Acrididae,Orthoptera,0,TSA,0.0
7,GHKU00000000.1,Spodoptera frugiperda,Noctuidae,Lepidoptera,0,TSA,0.0
8,GFQQ00000000.1,Thrips tabaci,Thripidae,Thysanoptera,3,TSA,1.0
9,GDPI00000000.1,Elaphrus aureus,Carabidae,Coleoptera,1,TSA,1.0
10,GDMH00000000.1,Cicindela hybrida,Carabidae,Coleoptera,0,TSA,0.0
11,GDLF00000000.1,Calosoma frigidum,Carabidae,Coleoptera,0,TSA,0.0
12,HAMG00000000.1,Galerucella pusilla,Chrysomelidae,Coleoptera,0,TSA,0.0
13,HAMF00000000.1,Galerucella calmariensis,Chrysomelidae,Coleoptera,0,TSA,0.0
14,GHJE00000000.1,Harmonia axyridis,Coccinellidae,Coleoptera,1,TSA,0.0
15,GCWI00000000.1,Enchenopa latipes,Membracidae,Hemiptera,0,TSA,0.0
16,GHGZ00000000.1,Achaea janata,Noctuidae,Lepidoptera,0,TSA,0.0
17,GDMW00000000.1,Haliplus fluviatilis,Haliplidae,Coleoptera,0,TSA,0.0
18,GDNH00000000.1,Sinaspidytes wrasei,Aspidytidae,Coleoptera,0,TSA,0.0
19,GDLH00000000.1,Cybister lateralimarginalis,Dytiscidae,Coleoptera,0,TSA,0.0
20,GDNB00000000.1,Dineutus sp. AD-2015,Gyrinidae,Coleoptera,0,TSA,0.0
21,GDNA00000000.1,Noterus clavicornis,Noteridae,Coleoptera,0,TSA,0.0
22,GFUK00000000.1,Hygrobia hermanni,Hygrobiidae,Coleoptera,0,TSA,0.0
23,GFUI00000000.1,Liopterus haemorrhoidalis,Dytiscidae,Coleoptera,0,TSA,0.0
24,GFUO00000000.1,Aspidytes niobe,Aspidytidae,Coleoptera,0,TSA,0.0
25,GFUH00000000.1,Amphizoa lecontei,Amphizoidae,Coleoptera,0,TSA,0.0
26,GFUJ00000000.1,Batrachomatus nannup,Dytiscidae,Coleoptera,0,TSA,0.0
27,GFUN00000000.1,Hygrobia nigra,Hygrobiidae,Coleoptera,0,TSA,0.0
28,GHFS00000000.1,Bombus terrestris,Apidae,Hymenoptera,0,TSA,0.0
29,GHFP00000000.1,Osmia cornuta,Megachilidae,Hymenoptera,0,TSA,0.0
30,GHFU00000000.1,Andrena haemorrhoa,Andrenidae,Hymenoptera,0,TSA,0.0
31,GHGA00000000.1,Andrena haemorrhoa,Andrenidae,Hymenoptera,0,TSA,0.0
32,GHFY00000000.1,Bombus pascuorum,Apidae,Hymenoptera,0,TSA,0.0
33,GHFZ00000000.1,Bombus pascuorum,Apidae,Hymenoptera,0,TSA,0.0
34,GHFQ00000000.1,Bombus pascuorum,Apidae,Hymenoptera,0,TSA,0.0
35,GHFW00000000.1,Andrena cineraria,Andrenidae,Hymenoptera,0,TSA,0.0
36,GHGB00000000.1,Bombus terrestris,Apidae,Hymenoptera,0,TSA,0.0
37,GHFV00000000.1,Bombus pascuorum,Apidae,Hymenoptera,0,TSA,0.0
38,GHGD00000000.1,Bombus cryptarum,Apidae,Hymenoptera,0,TSA,0.0
39,GHGC00000000.1,Osmia bicornis,Megachilidae,Hymenoptera,0,TSA,0.0
40,GHFT00000000.1,Osmia cornuta,Megachilidae,Hymenoptera,0,TSA,0.0
41,GHFR00000000.1,Andrena fulva,Andrenidae,Hymenoptera,0,TSA,0.0
42,GHFO00000000.1,Bombus terrestris,Apidae,Hymenoptera,0,TSA,0.0
43,GHFX00000000.1,Osmia cornuta,Megachilidae,Hymenoptera,0,TSA,0.0
44,GCGW00000000.1,Ortholfersia macleayi,Hippoboscidae,Diptera,0,TSA,0.0
45,GCNB00000000.1,Stomorhina subapicalis,Rhiniidae,Diptera,0,TSA,0.0
46,GCGA00000000.1,Lispe sydneyensis,Muscidae,Diptera,1,TSA,1.0
47,GCFN00000000.1,Mesembrina meridiana,Muscidae,Diptera,2,TSA,1.0
48,GCFF00000000.1,Calliphora vomitoria,Calliphoridae,Diptera,1,TSA,1.0
49,GCGM00000000.1,Penicillidia dufourii,Nycteribiidae,Diptera,0,TSA,0.0
50,GCFC00000000.1,Eustalomyia vittipes,Anthomyiidae,Diptera,0,TSA,0.0
51,GCMA00000000.1,Euthera bicolor,Tachinidae,Diptera,0,TSA,0.0
52,GCLX00000000.1,Cuterebra austeni,Oestridae,Diptera,0,TSA,0.0
53,GGNH00000000.1,Nilaparvata lugens,Delphacidae,Hemiptera,0,TSA,0.0
54,GHEU00000000.1,Coenosia sp. anthr013,Muscidae,Diptera,1,TSA,1.0
55,GHFF00000000.1,Cordilura sp. cordr014,Scathophagidae,Diptera,1,TSA,1.0
56,GHFE00000000.1,Schoenomyza sp. heca017,Muscidae,Diptera,1,TSA,1.0
57,GHEZ00000000.1,Fannia canicularis,Fanniidae,Diptera,0,TSA,0.0
58,GHFA00000000.1,Scathophaga stercoraria,Scathophagidae,Diptera,0,TSA,0.0
59,GHEX00000000.1,Pollenia sp. poln016,Calliphoridae,Diptera,0,TSA,0.0
60,GHEY00000000.1,Gymnoprosopa sp. milt015,Sarcophagidae,Diptera,0,TSA,0.0
61,GHEH00000000.1,Thermobia domestica,Lepismatidae,Zygentoma,0,TSA,0.0
62,GDYJ00000000.1,Balta vilis,Ectobiidae,Blattodea,0,TSA,0.0
63,GDXP00000000.1,Shelfordella lateralis,Blattidae,Blattodea,0,TSA,0.0
64,GDYD00000000.1,Tivia sp. AD-2015,Corydiidae,Blattodea,0,TSA,0.0
65,GDYE00000000.1,Ellipsidion sp. AD-2015,Ectobiidae,Blattodea,1,TSA,1.0
66,GDZF00000000.1,Eucorydia yasumatsui,Corydiidae,Blattodea,0,TSA,0.0
67,GDYK00000000.1,Loboptera decipiens,Ectobiidae,Blattodea,1,TSA,1.0
68,GDVA00000000.1,Reticulitermes santonensis,Rhinotermitidae,Blattodea,0,TSA,0.0
69,GDYC00000000.1,Episymploce sundaica,Ectobiidae,Blattodea,0,TSA,0.0
70,GDZI00000000.1,Paratemnopteryx couloniana,Ectobiidae,Blattodea,0,TSA,0.0
71,GDWW00000000.1,Asiablatta kyotensis,Ectobiidae,Blattodea,0,TSA,0.0
72,GEAA00000000.1,Anallacta methanoides,Ectobiidae,Blattodea,0,TSA,0.0
73,GDZY00000000.1,Euthlastoblatta diaphana,Ectobiidae,Blattodea,0,TSA,0.0
74,GDWU00000000.1,Supella longipalpa,Ectobiidae,Blattodea,0,TSA,0.0
75,GDVQ00000000.1,Therea bernhardti,Corydiidae,Blattodea,0,TSA,0.0
76,GDZE00000000.1,Nyctibora sp. AD-2015,Ectobiidae,Blattodea,0,TSA,0.0
77,GDYS00000000.1,Eurycotis floridana,Blattidae,Blattodea,0,TSA,0.0
78,GDYB00000000.1,Nocticola sp. AD-2015,Nocticolidae,Blattodea,0,TSA,0.0
79,GDZH00000000.1,Deropeltis erythrocephala,Blattidae,Blattodea,0,TSA,0.0
80,GDXG00000000.1,Princisia vanwaerebeki,Blaberidae,Blattodea,0,TSA,0.0
81,GDWV00000000.1,Tryonicus parvus,Tryonicidae,Blattodea,0,TSA,0.0
82,GDWT00000000.1,Methana parva,Blattidae,Blattodea,0,TSA,0.0
83,GDWQ00000000.1,Panchlora nivea,Blaberidae,Blattodea,0,TSA,0.0
84,GDZZ00000000.1,Lobopterella dimidiatipes,Ectobiidae,Blattodea,1,TSA,1.0
85,GDWJ00000000.1,Polyphaga aegyptiaca,Corydiidae,Blattodea,0,TSA,0.0
86,GDEC00000000.1,Ischnoptera deropeltiformis,Ectobiidae,Blattodea,0,TSA,0.0
87,GDYG00000000.1,Diploptera punctata,Blaberidae,Blattodea,0,TSA,0.0
88,GDZJ00000000.1,Gyna lurida,Blaberidae,Blattodea,0,TSA,0.0
89,GDZD00000000.1,Cariblatta sp. AD-2015,Ectobiidae,Blattodea,0,TSA,0.0
90,GDUO00000000.1,Mantoida sp. AD-2015,Mantoididae,Mantodea,0,TSA,0.0
91,GDYP00000000.1,Ectobius sylvestris,Ectobiidae,Blattodea,0,TSA,0.0
92,GDUG00000000.1,Coptotermes sp. AD-2015,Rhinotermitidae,Blattodea,0,TSA,0.0
93,GGRH00000000.1,Lampronia capitella,Prodoxidae,Lepidoptera,0,TSA,0.0
94,GGRG00000000.1,Rhyacophila nubila,Rhyacophilidae,Trichoptera,0,TSA,0.0
95,GDCR00000000.1,Blattella germanica,Ectobiidae,Blattodea,0,TSA,0.0
96,GDCG00000000.1,Symploce sp. AD-2014,Ectobiidae,Blattodea,0,TSA,0.0
97,GDCF00000000.1,Aularches miliaris,Pyrgomorphidae,Orthoptera,0,TSA,0.0
98,GDBO00000000.1,Incisitermes marginipennis,Kalotermitidae,Blattodea,0,TSA,0.0
99,GDCK00000000.1,Antipaluria urichi,Clothodidae,Embioptera,0,TSA,0.0
100,GDCJ00000000.1,Sundablatta sexpunctata,Ectobiidae,Blattodea,1,TSA,1.0
101,GCPS00000000.1,Lamproblatta albipalpus,Lamproblattidae,Blattodea,0,TSA,0.0
102,GCPR00000000.1,Schultesia lampyridiformis,Blaberidae,Blattodea,1,TSA,1.0
103,GCPO00000000.1,Popa spurca,Mantidae,Mantodea,0,TSA,0.0
104,GDBS00000000.1,Ergaula capucina,Corydiidae,Blattodea,0,TSA,0.0
105,GDBT00000000.1,Stagmatoptera biocellata,Mantidae,Mantodea,0,TSA,0.0
106,GDBP00000000.1,Protonemura ausonia,Nemouridae,Plecoptera,0,TSA,0.0
107,GDCU00000000.1,Hemimerus sp. AD-2014,Hemimeridae,Dermaptera,0,TSA,0.0
108,GDCL00000000.1,Brunneria borealis,Mantidae,Mantodea,0,TSA,0.0
109,GDCI00000000.1,Nauphoeta cinerea,Blaberidae,Blattodea,0,TSA,0.0
110,GDCD00000000.1,Diapherodes gigantea,Phasmatidae,Phasmatodea,0,TSA,0.0
111,GDCE00000000.1,Agamemnon cornutus,Pseudophasmatidae,Phasmatodea,0,TSA,0.0
112,GDCB00000000.1,Proreus simulans,Chelisochidae,Dermaptera,0,TSA,0.0
113,GDBY00000000.1,Ptilocerembia catherinae,Ptilocerembiidae,Embioptera,0,TSA,0.0
114,GCPK00000000.1,Hymenopus coronatus,Hymenopodidae,Mantodea,0,TSA,0.0
115,GCPJ00000000.1,Xya variegata,Tridactylidae,Orthoptera,0,TSA,0.0
116,GCPH00000000.1,Tirachoidea westwoodii,Phasmatidae,Phasmatodea,0,TSA,0.0
117,GCPF00000000.1,Cheddikulama straminea,Toxoderidae,Mantodea,0,TSA,0.0
118,GDBR00000000.1,Phaeophilacris bredoides,Phalangopsidae,Orthoptera,0,TSA,0.0
119,GDBN00000000.1,Brachyptera vera,Taeniopterygidae,Plecoptera,0,TSA,0.0
120,GCPE00000000.1,Nippancistroger testaceus,Gryllacrididae,Orthoptera,0,TSA,0.0
121,GDCH00000000.1,Phyllocrania paradoxa,Hymenopodidae,Mantodea,0,TSA,0.0
122,GCPQ00000000.1,Acontista multicolor,Acanthopidae,Mantodea,0,TSA,0.0
123,GCPP00000000.1,Orthomeria sp. AD-2014,Aschiphasmatidae,Phasmatodea,0,TSA,0.0
124,GDCT00000000.1,Creoxylus spinosus,Pseudophasmatidae,Phasmatodea,0,TSA,0.0
125,GDCA00000000.1,Catara rugosicollis,Blattidae,Blattodea,0,TSA,0.0
126,GDBZ00000000.1,Apteroperla tikumana,Capniidae,Plecoptera,2,TSA,2.0
127,GDCS00000000.1,Diplatys sp. AD-2014,Diplatyidae,Dermaptera,0,TSA,0.0
128,GCPN00000000.1,Orthodera novaezealandiae,Mantidae,Mantodea,0,TSA,0.0
129,GCPL00000000.1,Creobroter pictipennis,Hymenopodidae,Mantodea,0,TSA,0.0
130,GCPM00000000.1,Phyllium philippinicum,Phylliidae,Phasmatodea,0,TSA,0.0
131,GDBX00000000.1,Rhagadochir virgo,Scelembiidae,Embioptera,0,TSA,0.0
132,GCPI00000000.1,Gonolabis marginalis,Anisolabididae,Dermaptera,0,TSA,0.0
