#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GCWW01034159.1_2     -          OSK_CONSENSUS        -            8.7e-29  104.0   0.5   1.5e-28  103.2   0.5   1.4   1   0   0   1   1   1   1 TSA: Coccus sp. AD-2014 breed wildtype s18979_L_42926_0_15_2_LINEAR, transcribed RNA sequence
GCWW01043680.1_5     -          OSK_CONSENSUS        -            1.8e-28  103.0   0.0   2.7e-28  102.4   0.0   1.2   1   0   0   1   1   1   1 TSA: Coccus sp. AD-2014 breed wildtype s9356_L_13155_0_7_8_FORK, transcribed RNA sequence
GCWW01043681.1_4     -          OSK_CONSENSUS        -              7e-28  101.1   0.0   1.2e-27  100.3   0.0   1.3   1   0   0   1   1   1   1 TSA: Coccus sp. AD-2014 breed wildtype s9357_L_13155_1_7_3_FORK, transcribed RNA sequence
GCWW01019338.1_3     -          OSK_CONSENSUS        -            1.5e-25   93.5   0.0   1.9e-25   93.1   0.0   1.1   1   0   0   1   1   1   1 TSA: Coccus sp. AD-2014 breed wildtype C202398_5_0, transcribed RNA sequence
GCWW01029181.1_4     -          OSK_CONSENSUS        -              2e-23   86.6   0.6   5.1e-23   85.3   0.1   1.9   2   0   0   2   2   2   1 TSA: Coccus sp. AD-2014 breed wildtype s14488_L_26068_0_14_7_FORK, transcribed RNA sequence
GCWW01027459.1_5     -          OSK_CONSENSUS        -            4.5e-11   46.4   0.0   7.7e-11   45.7   0.0   1.3   1   0   0   1   1   1   1 TSA: Coccus sp. AD-2014 breed wildtype s12936_L_21586_0_5_7_LINEAR, transcribed RNA sequence
GCWW01024908.1_1     -          OSK_CONSENSUS        -            2.2e-10   44.2   0.0   4.1e-10   43.3   0.0   1.3   1   0   0   1   1   1   1 TSA: Coccus sp. AD-2014 breed wildtype s10633_L_15865_1_7_3_COMPLEX, transcribed RNA sequence
GCWW01024908.1_3     -          OSK_CONSENSUS        -            4.3e-07   33.5   0.0     9e-07   32.5   0.0   1.5   1   0   0   1   1   1   1 TSA: Coccus sp. AD-2014 breed wildtype s10633_L_15865_1_7_3_COMPLEX, transcribed RNA sequence
GCWW01028304.1_1     -          OSK_CONSENSUS        -            0.00012   25.6   0.4   0.00021   24.8   0.4   1.4   1   0   0   1   1   1   1 TSA: Coccus sp. AD-2014 breed wildtype s13698_L_23745_0_15_2_LINEAR, transcribed RNA sequence
GCWW01017627.1_3     -          OSK_CONSENSUS        -               0.79   13.1   0.9       1.9   11.9   0.0   1.8   2   0   0   2   2   2   0 TSA: Coccus sp. AD-2014 breed wildtype C190976_2_0, transcribed RNA sequence
GCWW01031443.1_4     -          OSK_CONSENSUS        -                1.7   12.1   0.8   2.1e+02    5.3   0.0   3.0   3   0   0   3   3   3   0 TSA: Coccus sp. AD-2014 breed wildtype s16529_L_33001_0_6_0_LINEAR, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/OSK_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCWW01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GCWW01_osk_search.txt --cpu 8 ../Data/Oskar_hmm/OSK_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCWW01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Sun Oct  6 00:53:11 2019
# [ok]
