#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
IABX01110673.1_4     -          OSK_CONSENSUS        -            8.5e-07   34.1   1.2   8.2e-06   30.9   0.0   2.1   1   1   1   2   2   2   1 TSA: Caridina multidentata mRNA, contig: Cm_tra_AS01_contig_80980, transcribed RNA sequence
IABX01091640.1_2     -          OSK_CONSENSUS        -            0.00053   25.1   0.1   0.00075   24.6   0.1   1.3   1   1   0   1   1   1   1 TSA: Caridina multidentata mRNA, contig: Cm_tra_AS01_contig_106645, transcribed RNA sequence
IABX01016774.1_4     -          OSK_CONSENSUS        -             0.0068   21.5   0.1    0.0069   21.4   0.1   1.0   1   0   0   1   1   1   1 TSA: Caridina multidentata mRNA, contig: Cm_tra_AS01_contig_118281, transcribed RNA sequence
IABX01109201.1_6     -          OSK_CONSENSUS        -              0.062   18.3   0.8      0.14   17.2   0.1   1.9   2   1   0   2   2   2   0 TSA: Caridina multidentata mRNA, contig: Cm_tra_AS01_contig_76318, transcribed RNA sequence
IABX01011439.1_5     -          OSK_CONSENSUS        -               0.95   14.5   0.0         1   14.4   0.0   1.0   1   0   0   1   1   1   0 TSA: Caridina multidentata mRNA, contig: Cm_tra_AS01_contig_88750, transcribed RNA sequence
IABX01090476.1_1     -          OSK_CONSENSUS        -                1.2   14.2   0.0       1.5   13.8   0.0   1.3   1   0   0   1   1   1   0 TSA: Caridina multidentata mRNA, contig: Cm_tra_AS01_contig_81640, transcribed RNA sequence
IABX01085664.1_2     -          OSK_CONSENSUS        -                2.1   13.3   0.1       2.4   13.2   0.1   1.1   1   0   0   1   1   1   0 TSA: Caridina multidentata mRNA, contig: Cm_tra_AS01_contig_25257, transcribed RNA sequence
IABX01054757.1_2     -          OSK_CONSENSUS        -                2.2   13.3   0.2       2.5   13.1   0.2   1.0   1   0   0   1   1   1   0 TSA: Caridina multidentata mRNA, contig: Cm_tra_AS01_contig_113626, transcribed RNA sequence
IABX01104790.1_5     -          OSK_CONSENSUS        -                2.6   13.1   0.0       4.2   12.4   0.0   1.3   1   0   0   1   1   1   0 TSA: Caridina multidentata mRNA, contig: Cm_tra_AS01_contig_16270, transcribed RNA sequence
IABX01038506.1_4     -          OSK_CONSENSUS        -                5.7   12.0   0.1       7.2   11.6   0.1   1.0   1   0   0   1   1   1   0 TSA: Caridina multidentata mRNA, contig: Cm_tra_AS01_contig_89482, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/OSK_CONSENSUS.hmm
# Target file:     /media/lblondel/5D1FA0DA2BE76E76/savy/SOURCES/TSA_PROTEIN/translated_IABX.1.fasta
# Option settings: /home/lblondel/Software/hmmer-3.1b2-linux-intel-x86_64/binaries/hmmsearch --tblout /media/lblondel/5D1FA0DA2BE76E76/savy/SOURCES/TSA_RESULT/IABX.1_osk_search.txt --cpu 8 ../Data/Oskar_hmm/OSK_CONSENSUS.hmm /media/lblondel/5D1FA0DA2BE76E76/savy/SOURCES/TSA_PROTEIN/translated_IABX.1.fasta 
# Current dir:     /home/savy/Oskar_Orthologs/01_Oskar_identification
# Date:            Sat Nov  2 13:00:40 2019
# [ok]
