#                                                                              --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                          accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------                -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GDEN01033472.1_5     -          oskar_filtered.aligned.LOTUS_domain -            2.9e-08   37.5   0.1        22    9.0   0.0   6.4   2   1   3   5   5   5   3 TSA: Aphrophora alni breed wildtype s2855_L_5081_2_a_17_5_l_3141, transcribed RNA sequence
GDEN01005624.1_1     -          oskar_filtered.aligned.LOTUS_domain -            3.7e-08   37.2   0.0   5.1e-08   36.7   0.0   1.2   1   0   0   1   1   1   1 TSA: Aphrophora alni breed wildtype C116181_a_3_0_l_383, transcribed RNA sequence
GDEN01033471.1_6     -          oskar_filtered.aligned.LOTUS_domain -            4.2e-08   37.0   0.1        36    8.3   0.0   6.3   2   1   3   6   6   6   3 TSA: Aphrophora alni breed wildtype s2854_L_5081_1_a_29_0_l_3964, transcribed RNA sequence
GDEN01033470.1_6     -          oskar_filtered.aligned.LOTUS_domain -            4.6e-08   36.9   0.1        36    8.3   0.0   6.2   2   1   3   6   6   6   3 TSA: Aphrophora alni breed wildtype s2853_L_5081_0_a_30_4_l_3970, transcribed RNA sequence
GDEN01025156.1_3     -          oskar_filtered.aligned.LOTUS_domain -               0.31   15.0   0.4      0.37   14.7   0.4   1.1   1   0   0   1   1   1   0 TSA: Aphrophora alni breed wildtype C84149_a_3_0_l_244, transcribed RNA sequence
GDEN01008255.1_3     -          oskar_filtered.aligned.LOTUS_domain -               0.53   14.2   0.1         1   13.3   0.1   1.4   1   0   0   1   1   1   0 TSA: Aphrophora alni breed wildtype C123774_a_6_0_l_451, transcribed RNA sequence
GDEN01019193.1_1     -          oskar_filtered.aligned.LOTUS_domain -               0.59   14.0   0.0        41    8.2   0.0   2.8   1   1   1   2   2   2   0 TSA: Aphrophora alni breed wildtype C155785_a_28_0_l_2051, transcribed RNA sequence
GDEN01014956.1_1     -          oskar_filtered.aligned.LOTUS_domain -                1.3   13.0   4.2       1.4   12.9   2.6   1.8   2   0   0   2   2   2   0 TSA: Aphrophora alni breed wildtype C143764_a_3_0_l_840, transcribed RNA sequence
GDEN01025837.1_2     -          oskar_filtered.aligned.LOTUS_domain -                1.3   12.9   0.0       1.4   12.8   0.0   1.1   1   0   0   1   1   1   0 TSA: Aphrophora alni breed wildtype C85805_a_3_0_l_248, transcribed RNA sequence
GDEN01017233.1_3     -          oskar_filtered.aligned.LOTUS_domain -                3.5   11.6   1.7   2.4e+02    5.7   0.0   3.2   4   0   0   4   4   4   0 TSA: Aphrophora alni breed wildtype C150381_a_6_0_l_1181, transcribed RNA sequence
GDEN01015122.1_4     -          oskar_filtered.aligned.LOTUS_domain -                8.4   10.4   8.6       8.7   10.3   0.1   3.2   3   1   0   3   3   3   0 TSA: Aphrophora alni breed wildtype C144250_a_3_0_l_858, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/V3/LOTUS_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDEN01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GDEN01_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/V3/LOTUS_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDEN01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Mon Nov 25 13:08:58 2019
# [ok]
