#                                                                            --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                        accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------              -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GCVV01044633.1_2     -          oskar_filtered.aligned.OSK_domain -              3e-26   96.3   7.4   1.1e-25   94.5   2.3   3.2   2   0   0   2   2   2   1 TSA: Empoasca fabae breed wildtype s19899_L_73828_0_13_2_LINEAR, transcribed RNA sequence
GCVV01047384.1_5     -          oskar_filtered.aligned.OSK_domain -            2.1e-20   77.2   0.4   5.5e-20   75.9   0.0   1.6   1   1   0   2   2   2   1 TSA: Empoasca fabae breed wildtype s4457_L_8212_2_17_9_COMPLEX, transcribed RNA sequence
GCVV01047385.1_5     -          oskar_filtered.aligned.OSK_domain -            3.8e-20   76.4   0.3   9.9e-20   75.1   0.0   1.7   1   1   0   2   2   2   1 TSA: Empoasca fabae breed wildtype s4458_L_8212_3_15_7_COMPLEX, transcribed RNA sequence
GCVV01047382.1_5     -          oskar_filtered.aligned.OSK_domain -            3.9e-20   76.4   0.7   6.4e-20   75.7   0.1   1.7   1   1   1   2   2   2   1 TSA: Empoasca fabae breed wildtype s4455_L_8212_0_16_4_COMPLEX, transcribed RNA sequence
GCVV01047386.1_5     -          oskar_filtered.aligned.OSK_domain -            3.9e-20   76.4   0.7   6.4e-20   75.7   0.1   1.7   1   1   1   2   2   2   1 TSA: Empoasca fabae breed wildtype s4459_L_8212_4_16_1_COMPLEX, transcribed RNA sequence
GCVV01010053.1_2     -          oskar_filtered.aligned.OSK_domain -            3.4e-12   50.5   0.1   3.7e-12   50.4   0.1   1.0   1   0   0   1   1   1   1 TSA: Empoasca fabae breed wildtype C324093_2_0, transcribed RNA sequence
GCVV01032054.1_1     -          oskar_filtered.aligned.OSK_domain -            8.4e-07   32.9   0.1   1.2e-06   32.4   0.1   1.2   1   0   0   1   1   1   1 TSA: Empoasca fabae breed wildtype C418205_5_0, transcribed RNA sequence
GCVV01014269.1_4     -          oskar_filtered.aligned.OSK_domain -             0.0012   22.6   0.0    0.0013   22.5   0.0   1.0   1   0   0   1   1   1   1 TSA: Empoasca fabae breed wildtype C339371_2_0, transcribed RNA sequence
GCVV01014470.1_4     -          oskar_filtered.aligned.OSK_domain -             0.0024   21.6   0.0    0.0031   21.3   0.0   1.1   1   0   0   1   1   1   1 TSA: Empoasca fabae breed wildtype C340097_2_0, transcribed RNA sequence
GCVV01023015.1_6     -          oskar_filtered.aligned.OSK_domain -               0.32   14.7   0.0      0.36   14.6   0.0   1.1   1   0   0   1   1   1   0 TSA: Empoasca fabae breed wildtype C373587_4_0, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/V3/OSK_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCVV01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GCVV01_osk_search.txt --cpu 8 ../Data/Oskar_hmm/V3/OSK_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCVV01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Mon Nov 25 13:01:35 2019
# [ok]
