#                                                                              --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                          accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------                -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GCWP01006651.1_1     -          oskar_filtered.aligned.LOTUS_domain -            2.7e-20   75.5   0.0   6.6e-20   74.3   0.0   1.7   1   0   0   1   1   1   1 TSA: Dalbulus maidis breed wildtype i06591_g_ig01663_l_1794_nC_3, transcribed RNA sequence
GCWP01011836.1_2     -          oskar_filtered.aligned.LOTUS_domain -            3.4e-18   68.8   0.0   4.2e-18   68.5   0.0   1.1   1   0   0   1   1   1   1 TSA: Dalbulus maidis breed wildtype i11802_g_ig05482_l_418_nC_1, transcribed RNA sequence
GCWP01020644.1_6     -          oskar_filtered.aligned.LOTUS_domain -            1.1e-17   67.1   0.0   1.8e-17   66.5   0.0   1.3   1   0   0   1   1   1   1 TSA: Dalbulus maidis breed wildtype i21097_g_ig14777_l_908_nC_1, transcribed RNA sequence
GCWP01018480.1_4     -          oskar_filtered.aligned.LOTUS_domain -            4.2e-17   65.3   0.0   9.2e-17   64.2   0.0   1.6   1   0   0   1   1   1   1 TSA: Dalbulus maidis breed wildtype i18931_g_ig12611_l_1149_nC_1, transcribed RNA sequence
GCWP01002546.1_2     -          oskar_filtered.aligned.LOTUS_domain -              3e-15   59.3   1.5   2.7e-07   33.8   0.0   3.5   3   0   0   3   3   3   3 TSA: Dalbulus maidis breed wildtype i02495_g_ig00201_l_1629_nC_4, transcribed RNA sequence
GCWP01002543.1_2     -          oskar_filtered.aligned.LOTUS_domain -            3.2e-15   59.2   1.3     3e-07   33.7   0.0   3.5   3   0   0   3   3   3   3 TSA: Dalbulus maidis breed wildtype i02492_g_ig00201_l_1728_nC_5, transcribed RNA sequence
GCWP01002541.1_2     -          oskar_filtered.aligned.LOTUS_domain -            4.4e-15   58.8   0.9   4.5e-07   33.1   0.0   3.6   3   0   0   3   3   3   3 TSA: Dalbulus maidis breed wildtype i02490_g_ig00201_l_2282_nC_5, transcribed RNA sequence
GCWP01002539.1_2     -          oskar_filtered.aligned.LOTUS_domain -            5.1e-15   58.6   0.9   4.8e-07   33.0   0.0   3.6   3   0   0   3   3   3   3 TSA: Dalbulus maidis breed wildtype i02488_g_ig00201_l_2381_nC_6, transcribed RNA sequence
GCWP01002542.1_2     -          oskar_filtered.aligned.LOTUS_domain -            6.9e-15   58.2   0.9   5.2e-07   32.9   0.0   3.5   3   0   0   3   3   3   3 TSA: Dalbulus maidis breed wildtype i02491_g_ig00201_l_2530_nC_5, transcribed RNA sequence
GCWP01002540.1_2     -          oskar_filtered.aligned.LOTUS_domain -            7.8e-15   58.0   0.9     6e-07   32.7   0.0   3.5   3   0   0   3   3   3   3 TSA: Dalbulus maidis breed wildtype i02489_g_ig00201_l_2629_nC_6, transcribed RNA sequence
GCWP01002547.1_1     -          oskar_filtered.aligned.LOTUS_domain -            2.7e-14   56.3   1.7   4.2e-05   26.8   0.0   3.8   4   0   0   4   4   3   3 TSA: Dalbulus maidis breed wildtype i02496_g_ig00201_l_1754_nC_3, transcribed RNA sequence
GCWP01002544.1_1     -          oskar_filtered.aligned.LOTUS_domain -            3.8e-14   55.8   1.0   6.9e-05   26.1   0.0   3.8   3   0   0   3   3   3   3 TSA: Dalbulus maidis breed wildtype i02493_g_ig00201_l_2407_nC_4, transcribed RNA sequence
GCWP01002545.1_1     -          oskar_filtered.aligned.LOTUS_domain -            5.8e-14   55.2   1.0   7.8e-05   25.9   0.0   3.7   3   0   0   3   3   3   3 TSA: Dalbulus maidis breed wildtype i02494_g_ig00201_l_2655_nC_4, transcribed RNA sequence
GCWP01007047.1_5     -          oskar_filtered.aligned.LOTUS_domain -               0.25   14.6   0.1      0.38   14.0   0.1   1.4   1   0   0   1   1   1   0 TSA: Dalbulus maidis breed wildtype i06987_g_ig01864_l_560_nC_2, transcribed RNA sequence
GCWP01007048.1_5     -          oskar_filtered.aligned.LOTUS_domain -               0.59   13.4   0.3      0.59   13.4   0.3   1.7   2   0   0   2   2   1   0 TSA: Dalbulus maidis breed wildtype i06988_g_ig01864_l_761_nC_2, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/V3/LOTUS_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCWP01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GCWP01_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/V3/LOTUS_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCWP01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Mon Nov 25 13:08:41 2019
# [ok]
