#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GCWT01054818.1_3     -          OSK_CONSENSUS        -            9.8e-24   88.0   0.0   1.7e-23   87.2   0.0   1.3   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype s6799_L_11990_0_29_1_BUBBLE, transcribed RNA sequence
GCWT01054821.1_3     -          OSK_CONSENSUS        -            1.1e-23   87.9   0.0   1.9e-23   87.0   0.0   1.4   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype s6800_L_11990_1_27_4_BUBBLE, transcribed RNA sequence
GCWT01042567.1_6     -          OSK_CONSENSUS        -            8.1e-21   78.5   1.4   3.8e-20   76.3   1.4   2.3   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype s16833_L_42878_0_17_9_LINEAR, transcribed RNA sequence
GCWT01045858.1_5     -          OSK_CONSENSUS        -            4.6e-18   69.5   1.0   6.8e-18   69.0   1.0   1.2   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype s19799_L_56688_0_5_0_LINEAR, transcribed RNA sequence
GCWT01031996.1_6     -          OSK_CONSENSUS        -            2.6e-14   57.4   0.1   3.5e-14   57.0   0.1   1.1   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype C523994_3_0, transcribed RNA sequence
GCWT01050784.1_4     -          OSK_CONSENSUS        -            1.7e-10   45.0   0.3   3.6e-10   43.9   0.3   1.5   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype s3165_L_5042_0_9_3_LINEAR, transcribed RNA sequence
GCWT01021371.1_3     -          OSK_CONSENSUS        -              3e-10   44.2   0.4   3.7e-10   43.9   0.4   1.0   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype C471064_2_0, transcribed RNA sequence
GCWT01028883.1_4     -          OSK_CONSENSUS        -            6.4e-10   43.1   0.0   7.8e-10   42.8   0.0   1.1   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype C506444_5_0, transcribed RNA sequence
GCWT01058101.1_4     -          OSK_CONSENSUS        -              3e-09   40.9   1.1   7.7e-09   39.6   1.1   1.6   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype s9756_L_19186_0_17_8_COMPLEX, transcribed RNA sequence
GCWT01048932.1_1     -          OSK_CONSENSUS        -            3.4e-09   40.7   0.0   4.8e-09   40.2   0.0   1.1   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype s22571_L_72439_0_4_0_LINEAR, transcribed RNA sequence
GCWT01046038.1_5     -          OSK_CONSENSUS        -            3.8e-09   40.6   0.1   1.1e-08   39.1   0.1   1.7   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype s19960_L_57666_1_31_0_BUBBLE, transcribed RNA sequence
GCWT01046036.1_6     -          OSK_CONSENSUS        -            5.3e-09   40.1   0.1     1e-08   39.2   0.1   1.3   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype s19959_L_57666_0_29_0_BUBBLE, transcribed RNA sequence
GCWT01057712.1_1     -          OSK_CONSENSUS        -            1.3e-08   38.9   0.2   2.4e-08   38.0   0.2   1.4   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype s9405_L_18296_1_7_0_BUBBLE, transcribed RNA sequence
GCWT01057711.1_1     -          OSK_CONSENSUS        -            1.3e-08   38.8   0.2   2.5e-08   37.9   0.2   1.4   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype s9404_L_18296_0_7_4_BUBBLE, transcribed RNA sequence
GCWT01045936.1_3     -          OSK_CONSENSUS        -              3e-08   37.6   0.0   5.9e-08   36.7   0.0   1.4   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype s19869_L_57100_0_19_2_LINEAR, transcribed RNA sequence
GCWT01036098.1_1     -          OSK_CONSENSUS        -            3.8e-07   34.1   0.1   8.9e-07   32.9   0.1   1.6   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype s109_L_119_2_6_2_COMPLEX, transcribed RNA sequence
GCWT01035876.1_1     -          OSK_CONSENSUS        -            3.8e-07   34.1   0.1   9.2e-07   32.8   0.1   1.6   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype s107_L_119_0_6_8_COMPLEX, transcribed RNA sequence
