id,species,family_name,order_name,hits,source,filtered_hits
GDYR00000000.1,Antongilia madagassa,Bacillidae,Phasmatodea,0,TSA,0.0
GDZN00000000.1,Orestes mouhotii,Heteropterygidae,Phasmatodea,0,TSA,0.0
GFTR00000000.1,Panstrongylus lignarius,Reduviidae,Hemiptera,0,TSA,0.0
GEMB00000000.1,Triatoma infestans,Reduviidae,Hemiptera,0,TSA,0.0
GECL00000000.1,Triatoma dimidiata,Reduviidae,Hemiptera,0,TSA,0.0
GHKJ00000000.1,Rhodnius prolixus,Reduviidae,Hemiptera,0,TSA,0.0
GHKV00000000.1,Gomphocerus sibiricus,Acrididae,Orthoptera,0,TSA,0.0
GHKU00000000.1,Spodoptera frugiperda,Noctuidae,Lepidoptera,0,TSA,0.0
GFQQ00000000.1,Thrips tabaci,Thripidae,Thysanoptera,3,TSA,1.0
GDPI00000000.1,Elaphrus aureus,Carabidae,Coleoptera,1,TSA,1.0
GDMH00000000.1,Cicindela hybrida,Carabidae,Coleoptera,0,TSA,0.0
GDLF00000000.1,Calosoma frigidum,Carabidae,Coleoptera,0,TSA,0.0
HAMG00000000.1,Galerucella pusilla,Chrysomelidae,Coleoptera,0,TSA,0.0
HAMF00000000.1,Galerucella calmariensis,Chrysomelidae,Coleoptera,0,TSA,0.0
GHJE00000000.1,Harmonia axyridis,Coccinellidae,Coleoptera,1,TSA,0.0
GCWI00000000.1,Enchenopa latipes,Membracidae,Hemiptera,0,TSA,0.0
GHGZ00000000.1,Achaea janata,Noctuidae,Lepidoptera,0,TSA,0.0
GDMW00000000.1,Haliplus fluviatilis,Haliplidae,Coleoptera,0,TSA,0.0
GDNH00000000.1,Sinaspidytes wrasei,Aspidytidae,Coleoptera,0,TSA,0.0
GDLH00000000.1,Cybister lateralimarginalis,Dytiscidae,Coleoptera,0,TSA,0.0
GDNB00000000.1,Dineutus sp. AD-2015,Gyrinidae,Coleoptera,0,TSA,0.0
GDNA00000000.1,Noterus clavicornis,Noteridae,Coleoptera,0,TSA,0.0
GFUK00000000.1,Hygrobia hermanni,Hygrobiidae,Coleoptera,0,TSA,0.0
GFUI00000000.1,Liopterus haemorrhoidalis,Dytiscidae,Coleoptera,0,TSA,0.0
GFUO00000000.1,Aspidytes niobe,Aspidytidae,Coleoptera,0,TSA,0.0
GFUH00000000.1,Amphizoa lecontei,Amphizoidae,Coleoptera,0,TSA,0.0
GFUJ00000000.1,Batrachomatus nannup,Dytiscidae,Coleoptera,0,TSA,0.0
GFUN00000000.1,Hygrobia nigra,Hygrobiidae,Coleoptera,0,TSA,0.0
GHFS00000000.1,Bombus terrestris,Apidae,Hymenoptera,0,TSA,0.0
GHFP00000000.1,Osmia cornuta,Megachilidae,Hymenoptera,0,TSA,0.0
GHFU00000000.1,Andrena haemorrhoa,Andrenidae,Hymenoptera,0,TSA,0.0
GHGA00000000.1,Andrena haemorrhoa,Andrenidae,Hymenoptera,0,TSA,0.0
GHFY00000000.1,Bombus pascuorum,Apidae,Hymenoptera,0,TSA,0.0
GHFZ00000000.1,Bombus pascuorum,Apidae,Hymenoptera,0,TSA,0.0
GHFQ00000000.1,Bombus pascuorum,Apidae,Hymenoptera,0,TSA,0.0
GHFW00000000.1,Andrena cineraria,Andrenidae,Hymenoptera,0,TSA,0.0
GHGB00000000.1,Bombus terrestris,Apidae,Hymenoptera,0,TSA,0.0
GHFV00000000.1,Bombus pascuorum,Apidae,Hymenoptera,0,TSA,0.0
GHGD00000000.1,Bombus cryptarum,Apidae,Hymenoptera,0,TSA,0.0
GHGC00000000.1,Osmia bicornis,Megachilidae,Hymenoptera,0,TSA,0.0
GHFT00000000.1,Osmia cornuta,Megachilidae,Hymenoptera,0,TSA,0.0
GHFR00000000.1,Andrena fulva,Andrenidae,Hymenoptera,0,TSA,0.0
GHFO00000000.1,Bombus terrestris,Apidae,Hymenoptera,0,TSA,0.0
GHFX00000000.1,Osmia cornuta,Megachilidae,Hymenoptera,0,TSA,0.0
GCGW00000000.1,Ortholfersia macleayi,Hippoboscidae,Diptera,0,TSA,0.0
GCNB00000000.1,Stomorhina subapicalis,Rhiniidae,Diptera,0,TSA,0.0
GCGA00000000.1,Lispe sydneyensis,Muscidae,Diptera,1,TSA,1.0
GCFN00000000.1,Mesembrina meridiana,Muscidae,Diptera,2,TSA,1.0
GCFF00000000.1,Calliphora vomitoria,Calliphoridae,Diptera,1,TSA,1.0
GCGM00000000.1,Penicillidia dufourii,Nycteribiidae,Diptera,0,TSA,0.0
GCFC00000000.1,Eustalomyia vittipes,Anthomyiidae,Diptera,0,TSA,0.0
GCMA00000000.1,Euthera bicolor,Tachinidae,Diptera,0,TSA,0.0
GCLX00000000.1,Cuterebra austeni,Oestridae,Diptera,0,TSA,0.0
GGNH00000000.1,Nilaparvata lugens,Delphacidae,Hemiptera,0,TSA,0.0
GHEU00000000.1,Coenosia sp. anthr013,Muscidae,Diptera,1,TSA,1.0
GHFF00000000.1,Cordilura sp. cordr014,Scathophagidae,Diptera,1,TSA,1.0
GHFE00000000.1,Schoenomyza sp. heca017,Muscidae,Diptera,1,TSA,1.0
GHEZ00000000.1,Fannia canicularis,Fanniidae,Diptera,0,TSA,0.0
GHFA00000000.1,Scathophaga stercoraria,Scathophagidae,Diptera,0,TSA,0.0
GHEX00000000.1,Pollenia sp. poln016,Calliphoridae,Diptera,0,TSA,0.0
GHEY00000000.1,Gymnoprosopa sp. milt015,Sarcophagidae,Diptera,0,TSA,0.0
GHEH00000000.1,Thermobia domestica,Lepismatidae,Zygentoma,0,TSA,0.0
GDYJ00000000.1,Balta vilis,Ectobiidae,Blattodea,0,TSA,0.0
GDXP00000000.1,Shelfordella lateralis,Blattidae,Blattodea,0,TSA,0.0
GDYD00000000.1,Tivia sp. AD-2015,Corydiidae,Blattodea,0,TSA,0.0
GDYE00000000.1,Ellipsidion sp. AD-2015,Ectobiidae,Blattodea,1,TSA,1.0
GDZF00000000.1,Eucorydia yasumatsui,Corydiidae,Blattodea,0,TSA,0.0
