,id,species,family_name,order_name,hits,filtered_hits,oskar,prefix_s,project_s,bioproject_s,biosample_ss,contigs_total_length_l,contigs_count_l
0,GDYR00000000.1,Antongilia madagassa,Bacillidae,Phasmatodea,0,0.0,not found,GDYR01,TSA,PRJNA286380,SAMN04005165,37371556,99410
1,GDZN00000000.1,Orestes mouhotii,Heteropterygidae,Phasmatodea,0,0.0,not found,GDZN01,TSA,PRJNA286420,SAMN04005205,47896880,74656
2,GFTR00000000.1,Panstrongylus lignarius,Reduviidae,Hemiptera,0,0.0,not found,GFTR01,TSA,PRJNA395235,"SAMN07374128,SAMN07374129",10668861,9013
3,GEMB00000000.1,Triatoma infestans,Reduviidae,Hemiptera,0,0.0,not found,GEMB01,TSA,PRJNA314811,SAMN04543919,5269939,8060
4,GECL00000000.1,Triatoma dimidiata,Reduviidae,Hemiptera,0,0.0,not found,GECL01,TSA,PRJNA300554,SAMN04240765,4850242,3815
5,GHKJ00000000.1,Rhodnius prolixus,Reduviidae,Hemiptera,0,0.0,not found,GHKJ01,TSA,PRJNA191820,"SAMN00618861,SAMN00618862,SAMN00618863,SAMN00618868,SAMN00618869,SAMN00618873,SAMN00618874,SAMN00618883",1529535,1538
6,GHKV00000000.1,Gomphocerus sibiricus,Acrididae,Orthoptera,0,0.0,not found,GHKV01,TSA,PRJNA525981,SAMN11081372,85511076,81860
7,GHKU00000000.1,Spodoptera frugiperda,Noctuidae,Lepidoptera,0,0.0,not found,GHKU01,TSA,PRJNA515785,SAMN10754254,76477767,115600
8,GFQQ00000000.1,Thrips tabaci,Thripidae,Thysanoptera,3,1.0,found,GFQQ01,TSA,PRJNA392363,SAMN07296906,65720735,36145
9,GDPI00000000.1,Elaphrus aureus,Carabidae,Coleoptera,1,1.0,found,GDPI01,TSA,PRJNA286520,SAMN03799564,25725675,20133
10,GDMH00000000.1,Cicindela hybrida,Carabidae,Coleoptera,0,0.0,not found,GDMH01,TSA,PRJNA286505,SAMN03799549,26663674,26286
11,GDLF00000000.1,Calosoma frigidum,Carabidae,Coleoptera,0,0.0,not found,GDLF01,TSA,PRJNA286499,SAMN03799544,15253218,15495
12,HAMG00000000.1,Galerucella pusilla,Chrysomelidae,Coleoptera,0,0.0,not found,HAMG01,TSA,PRJEB28202,SAMEA4853205,57290234,57255
13,HAMF00000000.1,Galerucella calmariensis,Chrysomelidae,Coleoptera,0,0.0,not found,HAMF01,TSA,PRJEB28202,SAMEA4853110,57513181,64000
14,GHJE00000000.1,Harmonia axyridis,Coccinellidae,Coleoptera,1,0.0,not found,GHJE01,TSA,PRJNA437351,SAMN08660877,76070485,101910
15,GCWI00000000.1,Enchenopa latipes,Membracidae,Hemiptera,0,0.0,not found,GCWI01,TSA,PRJNA272226,SAMN03341938,53986922,73796
16,GHGZ00000000.1,Achaea janata,Noctuidae,Lepidoptera,0,0.0,not found,GHGZ01,TSA,PRJNA523326,SAMN09241884,99369278,171969
17,GDMW00000000.1,Haliplus fluviatilis,Haliplidae,Coleoptera,0,0.0,not found,GDMW01,TSA,PRJNA286525,SAMN03799569,38874015,45915
18,GDNH00000000.1,Sinaspidytes wrasei,Aspidytidae,Coleoptera,0,0.0,not found,GDNH01,TSA,PRJNA286492,SAMN03799537,32677878,37371
19,GDLH00000000.1,Cybister lateralimarginalis,Dytiscidae,Coleoptera,0,0.0,not found,GDLH01,TSA,PRJNA286512,SAMN03799556,30812811,31402
20,GDNB00000000.1,Dineutus sp. AD-2015,Gyrinidae,Coleoptera,0,0.0,not found,GDNB01,TSA,PRJNA286516,SAMN03799560,21267805,24661
21,GDNA00000000.1,Noterus clavicornis,Noteridae,Coleoptera,0,0.0,not found,GDNA01,TSA,PRJNA286561,SAMN03799605,22593699,21601
22,GFUK00000000.1,Hygrobia hermanni,Hygrobiidae,Coleoptera,0,0.0,not found,GFUK01,TSA,PRJNA392382,SAMN07297121,57869882,62715
23,GFUI00000000.1,Liopterus haemorrhoidalis,Dytiscidae,Coleoptera,0,0.0,not found,GFUI01,TSA,PRJNA392045,SAMN07280875,39970305,66211
24,GFUO00000000.1,Aspidytes niobe,Aspidytidae,Coleoptera,0,0.0,not found,GFUO01,TSA,PRJNA391973,SAMN07279561,26115081,22272
25,GFUH00000000.1,Amphizoa lecontei,Amphizoidae,Coleoptera,0,0.0,not found,GFUH01,TSA,PRJNA392306,SAMN07289768,46313030,53272
26,GFUJ00000000.1,Batrachomatus nannup,Dytiscidae,Coleoptera,0,0.0,not found,GFUJ01,TSA,PRJNA392058,SAMN07280954,32258191,43521
27,GFUN00000000.1,Hygrobia nigra,Hygrobiidae,Coleoptera,0,0.0,not found,GFUN01,TSA,PRJNA392270,SAMN07287246,26234023,28569
28,GHFS00000000.1,Bombus terrestris,Apidae,Hymenoptera,0,0.0,not found,GHFS01,TSA,PRJNA411946,SAMN07691949,33029822,48241
29,GHFP00000000.1,Osmia cornuta,Megachilidae,Hymenoptera,0,0.0,not found,GHFP01,TSA,PRJNA411946,SAMN07691946,26515499,35319
30,GHFU00000000.1,Andrena haemorrhoa,Andrenidae,Hymenoptera,0,0.0,not found,GHFU01,TSA,PRJNA411946,SAMN07691956,31728767,40909
31,GHGA00000000.1,Andrena haemorrhoa,Andrenidae,Hymenoptera,0,0.0,not found,GHGA01,TSA,PRJNA411946,SAMN07691952,30381576,39238
32,GHFY00000000.1,Bombus pascuorum,Apidae,Hymenoptera,0,0.0,not found,GHFY01,TSA,PRJNA411946,SAMN07691958,28906198,38942
33,GHFZ00000000.1,Bombus pascuorum,Apidae,Hymenoptera,0,0.0,not found,GHFZ01,TSA,PRJNA411946,SAMN07691951,31944391,43113
34,GHFQ00000000.1,Bombus pascuorum,Apidae,Hymenoptera,0,0.0,not found,GHFQ01,TSA,PRJNA411946,SAMN07691947,29030557,38263
35,GHFW00000000.1,Andrena cineraria,Andrenidae,Hymenoptera,0,0.0,not found,GHFW01,TSA,PRJNA411946,SAMN07691960,28007809,36970
36,GHGB00000000.1,Bombus terrestris,Apidae,Hymenoptera,0,0.0,not found,GHGB01,TSA,PRJNA411946,SAMN07691957,26664913,33046
