#                                                                              --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                          accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------                -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GDBW01012332.1_4     -          oskar_filtered.aligned.LOTUS_domain -            4.6e-27   98.1   0.0   7.1e-27   97.5   0.0   1.3   1   0   0   1   1   1   1 TSA: Tropidacris collaris breed breeding C131492_a_3_0_l_522, transcribed RNA sequence
GDBW01018441.1_5     -          oskar_filtered.aligned.LOTUS_domain -            6.1e-14   56.0   0.0   5.2e-13   53.0   0.0   2.1   2   0   0   2   2   2   1 TSA: Tropidacris collaris breed breeding C148006_a_14_0_l_880, transcribed RNA sequence
GDBW01003206.1_6     -          oskar_filtered.aligned.LOTUS_domain -              0.019   19.1   0.2     0.028   18.6   0.2   1.5   1   1   0   1   1   1   0 TSA: Tropidacris collaris breed breeding C108239_a_3_0_l_328, transcribed RNA sequence
GDBW01003015.1_4     -          oskar_filtered.aligned.LOTUS_domain -               0.44   14.8   0.0        31    8.8   0.0   2.0   1   1   1   2   2   2   0 TSA: Tropidacris collaris breed breeding C107743_a_5_0_l_326, transcribed RNA sequence
GDBW01025519.1_5     -          oskar_filtered.aligned.LOTUS_domain -               0.46   14.7   0.2      0.51   14.6   0.2   1.1   1   0   0   1   1   1   0 TSA: Tropidacris collaris breed breeding C62428_a_3_0_l_207, transcribed RNA sequence
GDBW01043423.1_5     -          oskar_filtered.aligned.LOTUS_domain -               0.49   14.6   0.0       1.1   13.5   0.0   1.5   1   0   0   1   1   1   0 TSA: Tropidacris collaris breed breeding s2404_L_4737_0_a_16_3_l_1342, transcribed RNA sequence
GDBW01043424.1_4     -          oskar_filtered.aligned.LOTUS_domain -               0.52   14.5   0.0       1.2   13.4   0.0   1.5   1   0   0   1   1   1   0 TSA: Tropidacris collaris breed breeding s2405_L_4737_1_a_15_5_l_1389, transcribed RNA sequence
GDBW01040238.1_5     -          oskar_filtered.aligned.LOTUS_domain -               0.56   14.4   0.0      0.69   14.1   0.0   1.1   1   0   0   1   1   1   0 TSA: Tropidacris collaris breed breeding C95965_a_3_0_l_273, transcribed RNA sequence
GDBW01023340.1_1     -          oskar_filtered.aligned.LOTUS_domain -               0.94   13.7   0.3       2.2   12.5   0.3   1.5   1   0   0   1   1   1   0 TSA: Tropidacris collaris breed breeding C161644_a_18_0_l_1933, transcribed RNA sequence
GDBW01015090.1_1     -          oskar_filtered.aligned.LOTUS_domain -                1.1   13.5   0.5       1.9   12.7   0.5   1.3   1   0   0   1   1   1   0 TSA: Tropidacris collaris breed breeding C138824_a_50_0_l_635, transcribed RNA sequence
GDBW01005692.1_3     -          oskar_filtered.aligned.LOTUS_domain -                1.2   13.3   0.3        20    9.4   0.1   2.4   2   1   1   3   3   3   0 TSA: Tropidacris collaris breed breeding C114559_a_5_0_l_367, transcribed RNA sequence
GDBW01043425.1_5     -          oskar_filtered.aligned.LOTUS_domain -                1.4   13.2   0.0       3.2   12.0   0.0   1.6   1   0   0   1   1   1   0 TSA: Tropidacris collaris breed breeding s2406_L_4737_2_a_15_6_l_1341, transcribed RNA sequence
GDBW01001159.1_3     -          oskar_filtered.aligned.LOTUS_domain -                2.3   12.5   0.0         4   11.7   0.0   1.4   1   1   0   1   1   1   0 TSA: Tropidacris collaris breed breeding C102958_a_7_0_l_301, transcribed RNA sequence
GDBW01034268.1_2     -          oskar_filtered.aligned.LOTUS_domain -                3.4   11.9   0.0       4.7   11.5   0.0   1.2   1   0   0   1   1   1   0 TSA: Tropidacris collaris breed breeding C82823_a_5_0_l_250, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/V3/LOTUS_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDBW01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GDBW01_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/V3/LOTUS_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDBW01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Mon Nov 25 12:47:42 2019
# [ok]
