#                                                                            --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                        accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------              -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GDFG01032652.1_2     -          oskar_filtered.aligned.OSK_domain -            7.3e-27   97.7   0.1   1.4e-26   96.7   0.1   1.6   1   0   0   1   1   1   1 TSA: Badonnelia titei breed wildtype s6391_L_27962_0_a_42_5_l_2017, transcribed RNA sequence
GDFG01026980.1_5     -          oskar_filtered.aligned.OSK_domain -              5e-25   91.7   0.0   1.5e-24   90.2   0.0   1.9   1   0   0   1   1   1   1 TSA: Badonnelia titei breed wildtype s1243_L_1705_0_a_52_9_l_2991, transcribed RNA sequence
GDFG01031516.1_4     -          oskar_filtered.aligned.OSK_domain -            8.3e-10   42.1   0.6     2e-09   40.8   0.6   1.6   1   0   0   1   1   1   1 TSA: Badonnelia titei breed wildtype s5364_L_20595_0_a_44_9_l_2430, transcribed RNA sequence
GDFG01031853.1_4     -          oskar_filtered.aligned.OSK_domain -             0.0013   21.8   0.7     0.013   18.6   0.0   2.0   1   1   0   2   2   2   1 TSA: Badonnelia titei breed wildtype s5670_L_22642_0_a_27_5_l_937, transcribed RNA sequence
GDFG01028045.1_4     -          oskar_filtered.aligned.OSK_domain -               0.24   14.5   1.6        34    7.4   0.1   2.1   1   1   0   2   2   2   0 TSA: Badonnelia titei breed wildtype s2211_L_4167_0_a_6_3_l_723, transcribed RNA sequence
GDFG01001833.1_6     -          oskar_filtered.aligned.OSK_domain -               0.39   13.8   0.1      0.79   12.8   0.1   1.5   1   0   0   1   1   1   0 TSA: Badonnelia titei breed wildtype C105806_a_22_0_l_2348, transcribed RNA sequence
GDFG01012209.1_2     -          oskar_filtered.aligned.OSK_domain -                0.4   13.7   0.8      0.46   13.6   0.7   1.3   1   1   0   1   1   1   0 TSA: Badonnelia titei breed wildtype C56684_a_5_0_l_338, transcribed RNA sequence
GDFG01023769.1_4     -          oskar_filtered.aligned.OSK_domain -                1.6   11.8   0.3       1.7   11.7   0.3   1.2   1   0   0   1   1   1   0 TSA: Badonnelia titei breed wildtype C90827_a_7_0_l_981, transcribed RNA sequence
GDFG01020051.1_2     -          oskar_filtered.aligned.OSK_domain -                1.6   11.8   0.2       1.8   11.6   0.2   1.2   1   0   0   1   1   1   0 TSA: Badonnelia titei breed wildtype C79332_a_4_0_l_636, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/V3/OSK_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDFG01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GDFG01_osk_search.txt --cpu 8 ../Data/Oskar_hmm/V3/OSK_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDFG01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Mon Nov 25 13:03:43 2019
# [ok]
