#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GDEN01033471.1_6     -          LOTUS_CONSENSUS      -            1.1e-06   32.5   0.1        61    7.7   0.0   5.6   2   1   2   4   4   4   3 TSA: Aphrophora alni breed wildtype s2854_L_5081_1_a_29_0_l_3964, transcribed RNA sequence
GDEN01033470.1_6     -          LOTUS_CONSENSUS      -            1.1e-06   32.4   0.1        61    7.7   0.0   5.6   2   1   2   4   4   4   3 TSA: Aphrophora alni breed wildtype s2853_L_5081_0_a_30_4_l_3970, transcribed RNA sequence
GDEN01033472.1_5     -          LOTUS_CONSENSUS      -              2e-06   31.7   0.0        37    8.4   0.0   5.7   1   1   2   3   3   3   2 TSA: Aphrophora alni breed wildtype s2855_L_5081_2_a_17_5_l_3141, transcribed RNA sequence
GDEN01005624.1_1     -          LOTUS_CONSENSUS      -            5.6e-06   30.2   0.0   7.8e-06   29.8   0.0   1.2   1   0   0   1   1   1   1 TSA: Aphrophora alni breed wildtype C116181_a_3_0_l_383, transcribed RNA sequence
GDEN01025156.1_3     -          LOTUS_CONSENSUS      -                0.3   15.0   0.4      0.39   14.7   0.4   1.1   1   0   0   1   1   1   0 TSA: Aphrophora alni breed wildtype C84149_a_3_0_l_244, transcribed RNA sequence
GDEN01008255.1_3     -          LOTUS_CONSENSUS      -               0.35   14.8   0.0      0.55   14.2   0.0   1.3   1   0   0   1   1   1   0 TSA: Aphrophora alni breed wildtype C123774_a_6_0_l_451, transcribed RNA sequence
GDEN01038393.1_4     -          LOTUS_CONSENSUS      -               0.55   14.2   0.5        61    7.7   0.0   2.4   2   0   0   2   2   2   0 TSA: Aphrophora alni breed wildtype s7317_L_29242_0_a_24_4_l_800, transcribed RNA sequence
GDEN01025837.1_2     -          LOTUS_CONSENSUS      -               0.93   13.5   0.0         1   13.4   0.0   1.1   1   0   0   1   1   1   0 TSA: Aphrophora alni breed wildtype C85805_a_3_0_l_248, transcribed RNA sequence
GDEN01018422.1_1     -          LOTUS_CONSENSUS      -                1.1   13.3   4.2       1.6   12.7   2.1   2.3   2   0   0   2   2   2   0 TSA: Aphrophora alni breed wildtype C153637_a_17_0_l_1518, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDEN01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GDEN01_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDEN01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Sun Oct  6 01:06:19 2019
# [ok]
