#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
HAEQ01047775.1_2     -          LOTUS_CONSENSUS      -            3.7e-12   51.6   3.0     2e-09   42.8   0.5   2.9   2   0   0   2   2   2   2 TSA: Proasellus arthrodilus, contig comp62782_c0_seq3, transcribed RNA sequence
HAEQ01020403.1_3     -          LOTUS_CONSENSUS      -            5.5e-12   51.1   5.2   6.3e-12   50.9   0.1   3.0   3   0   0   3   3   3   1 TSA: Proasellus arthrodilus, contig comp43853_c0_seq1, transcribed RNA sequence
HAEQ01047774.1_2     -          LOTUS_CONSENSUS      -            6.8e-12   50.8   3.0   2.6e-09   42.5   0.5   2.8   2   0   0   2   2   2   2 TSA: Proasellus arthrodilus, contig comp62782_c0_seq2, transcribed RNA sequence
HAEQ01047776.1_2     -          LOTUS_CONSENSUS      -             0.0038   22.7   0.1        14   11.3   0.0   3.0   2   0   0   2   2   2   2 TSA: Proasellus arthrodilus, contig comp62782_c0_seq4, transcribed RNA sequence
HAEQ01047773.1_2     -          LOTUS_CONSENSUS      -             0.0072   21.8   0.1        19   10.9   0.0   2.9   2   0   0   2   2   2   2 TSA: Proasellus arthrodilus, contig comp62782_c0_seq1, transcribed RNA sequence
HAEQ01038678.1_5     -          LOTUS_CONSENSUS      -               0.25   16.9   0.7      0.53   15.9   0.7   1.6   1   0   0   1   1   1   0 TSA: Proasellus arthrodilus, contig comp59265_c0_seq1, transcribed RNA sequence
HAEQ01113970.1_3     -          LOTUS_CONSENSUS      -                0.9   15.1   0.9       1.2   14.8   0.9   1.3   1   0   0   1   1   1   0 TSA: Proasellus arthrodilus, contig comp1234608_c0_seq1, transcribed RNA sequence
HAEQ01031991.1_6     -          LOTUS_CONSENSUS      -                3.2   13.4   0.5   3.4e+02    6.9   0.1   2.6   2   0   0   2   2   2   0 TSA: Proasellus arthrodilus, contig comp55307_c0_seq1, transcribed RNA sequence
HAEQ01041385.1_1     -          LOTUS_CONSENSUS      -                3.7   13.1   0.3       5.7   12.5   0.3   1.4   1   1   0   1   1   1   0 TSA: Proasellus arthrodilus, contig comp60503_c0_seq3, transcribed RNA sequence
HAEQ01118597.1_5     -          LOTUS_CONSENSUS      -                4.4   12.9   0.3       7.1   12.2   0.2   1.4   1   1   1   2   2   2   0 TSA: Proasellus arthrodilus, contig comp1388112_c0_seq1, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm
# Target file:     /media/lblondel/5D1FA0DA2BE76E76/savy/SOURCES/TSA_PROTEIN/translated_HAEQ.1.fasta
# Option settings: /home/lblondel/Software/hmmer-3.1b2-linux-intel-x86_64/binaries/hmmsearch --tblout /media/lblondel/5D1FA0DA2BE76E76/savy/SOURCES/TSA_RESULT/HAEQ.1_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm /media/lblondel/5D1FA0DA2BE76E76/savy/SOURCES/TSA_PROTEIN/translated_HAEQ.1.fasta 
# Current dir:     /home/savy/Oskar_Orthologs/01_Oskar_identification
# Date:            Sat Nov  2 12:59:46 2019
# [ok]
