#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GHFS01034138.1_6     -          OSK_CONSENSUS        -                0.5   13.9   0.0      0.71   13.4   0.0   1.2   1   0   0   1   1   1   0 TSA: Bombus terrestris isolate bter2 contig34259, transcribed RNA sequence
GHFS01003630.1_2     -          OSK_CONSENSUS        -               0.55   13.8   2.2       1.4   12.5   2.2   1.7   1   0   0   1   1   1   0 TSA: Bombus terrestris isolate bter2 contig3636, transcribed RNA sequence
GHFS01024476.1_6     -          OSK_CONSENSUS        -               0.76   13.3   0.9         8   10.0   0.9   2.1   1   1   0   1   1   1   0 TSA: Bombus terrestris isolate bter2 contig24545, transcribed RNA sequence
GHFS01038722.1_3     -          OSK_CONSENSUS        -               0.81   13.2   0.4      0.87   13.1   0.4   1.2   1   0   0   1   1   1   0 TSA: Bombus terrestris isolate bter2 contig38862, transcribed RNA sequence
GHFS01015468.1_1     -          OSK_CONSENSUS        -               0.89   13.1   0.2       1.3   12.5   0.2   1.2   1   0   0   1   1   1   0 TSA: Bombus terrestris isolate bter2 contig15499, transcribed RNA sequence
GHFS01022443.1_5     -          OSK_CONSENSUS        -                1.1   12.8   0.0       1.4   12.4   0.0   1.1   1   0   0   1   1   1   0 TSA: Bombus terrestris isolate bter2 contig22501, transcribed RNA sequence
GHFS01027040.1_5     -          OSK_CONSENSUS        -                1.4   12.5   0.0       2.3   11.8   0.0   1.3   1   0   0   1   1   1   0 TSA: Bombus terrestris isolate bter2 contig27121, transcribed RNA sequence
GHFS01000027.1_5     -          OSK_CONSENSUS        -                2.1   11.9   2.0        58    7.2   0.1   3.8   4   0   0   4   4   4   0 TSA: Bombus terrestris isolate bter2 contig27, transcribed RNA sequence
GHFS01012680.1_5     -          OSK_CONSENSUS        -                2.8   11.5   2.9        27    8.3   0.1   2.7   1   1   2   3   3   3   0 TSA: Bombus terrestris isolate bter2 contig12706, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/OSK_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GHFS01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GHFS01_osk_search.txt --cpu 8 ../Data/Oskar_hmm/OSK_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GHFS01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Sun Oct  6 00:54:08 2019
# [ok]
