#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GHKV01052393.1_3     -          OSK_CONSENSUS        -              0.021   19.1   1.5     0.021   19.1   1.5   2.8   2   2   1   3   3   3   0 TSA: Gomphocerus sibiricus breed Swiss alpine population Transcript_52653, transcribed RNA sequence
GHKV01039540.1_6     -          OSK_CONSENSUS        -              0.048   18.0   0.2     0.098   17.0   0.2   1.5   1   0   0   1   1   1   0 TSA: Gomphocerus sibiricus breed Swiss alpine population Transcript_39722, transcribed RNA sequence
GHKV01039539.1_4     -          OSK_CONSENSUS        -              0.056   17.7   0.2      0.11   16.8   0.2   1.4   1   0   0   1   1   1   0 TSA: Gomphocerus sibiricus breed Swiss alpine population Transcript_39721, transcribed RNA sequence
GHKV01048311.1_4     -          OSK_CONSENSUS        -               0.15   16.3   2.5      0.31   15.3   2.5   1.5   1   1   0   1   1   1   0 TSA: Gomphocerus sibiricus breed Swiss alpine population Transcript_48555, transcribed RNA sequence
GHKV01065739.1_3     -          OSK_CONSENSUS        -               0.24   15.7   0.8      0.57   14.5   0.6   1.7   2   0   0   2   2   2   0 TSA: Gomphocerus sibiricus breed Swiss alpine population Transcript_66058, transcribed RNA sequence
GHKV01045982.1_6     -          OSK_CONSENSUS        -               0.83   13.9   0.3       2.6   12.3   0.0   1.8   2   0   0   2   2   2   0 TSA: Gomphocerus sibiricus breed Swiss alpine population Transcript_46211, transcribed RNA sequence
GHKV01074852.1_1     -          OSK_CONSENSUS        -                1.1   13.5   0.0       1.4   13.2   0.0   1.1   1   0   0   1   1   1   0 TSA: Gomphocerus sibiricus breed Swiss alpine population Transcript_75203, transcribed RNA sequence
GHKV01013057.1_1     -          OSK_CONSENSUS        -                3.5   11.9   0.0       4.1   11.7   0.0   1.2   1   0   0   1   1   1   0 TSA: Gomphocerus sibiricus breed Swiss alpine population Transcript_13166, transcribed RNA sequence
GHKV01046466.1_5     -          OSK_CONSENSUS        -                4.9   11.4   2.1       4.9   11.4   0.8   1.7   1   1   1   2   2   2   0 TSA: Gomphocerus sibiricus breed Swiss alpine population Transcript_46698, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/OSK_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GHKV01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GHKV01_osk_search.txt --cpu 8 ../Data/Oskar_hmm/OSK_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GHKV01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Sun Oct  6 00:49:51 2019
# [ok]
