#                                                                              --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                          accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------                -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GCXX01057643.1_6     -          oskar_filtered.aligned.LOTUS_domain -            5.4e-21   79.1   0.1     6e-20   75.8   0.1   2.8   2   0   0   2   2   2   1 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus s23899_L_81109_0_10_8_LINEAR, transcribed RNA sequence
GCXX01029878.1_4     -          oskar_filtered.aligned.LOTUS_domain -            6.2e-13   53.2   0.0   7.4e-13   53.0   0.0   1.1   1   0   0   1   1   1   1 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus C290849_4_0, transcribed RNA sequence
GCXX01042184.1_1     -          oskar_filtered.aligned.LOTUS_domain -            7.3e-13   53.0   0.0   0.00092   23.8   0.0   6.1   2   1   4   6   6   6   3 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus C357377_10_0, transcribed RNA sequence
GCXX01015366.1_4     -          oskar_filtered.aligned.LOTUS_domain -            0.00021   25.8   0.0   0.00021   25.8   0.0   1.0   1   0   0   1   1   1   1 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus C236924_3_0, transcribed RNA sequence
GCXX01019752.1_5     -          oskar_filtered.aligned.LOTUS_domain -              0.003   22.2   0.1    0.0034   22.0   0.1   1.2   1   0   0   1   1   1   1 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus C252244_4_0, transcribed RNA sequence
GCXX01046849.1_4     -          oskar_filtered.aligned.LOTUS_domain -              0.034   18.8   0.0     0.052   18.2   0.0   1.4   1   0   0   1   1   1   0 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus s14163_L_35099_0_3_8_LINEAR, transcribed RNA sequence
GCXX01053578.1_1     -          oskar_filtered.aligned.LOTUS_domain -              0.097   17.3   2.1       4.7   11.9   2.1   2.4   1   1   0   1   1   1   0 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus s20231_L_61199_0_2_0_LINEAR, transcribed RNA sequence
GCXX01042878.1_6     -          oskar_filtered.aligned.LOTUS_domain -               0.68   14.6   0.1        94    7.7   0.0   2.3   2   0   0   2   2   2   0 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus s10586_L_23348_0_15_3_LINEAR, transcribed RNA sequence
GCXX01052282.1_6     -          oskar_filtered.aligned.LOTUS_domain -               0.69   14.6   0.1       1.2   13.8   0.1   1.3   1   0   0   1   1   1   0 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus s19064_L_55465_0_2_3_LINEAR, transcribed RNA sequence
GCXX01039577.1_4     -          oskar_filtered.aligned.LOTUS_domain -               0.89   14.2   0.0       2.1   13.0   0.0   1.6   1   0   0   1   1   1   0 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus C340741_10_0, transcribed RNA sequence
GCXX01022483.1_4     -          oskar_filtered.aligned.LOTUS_domain -               0.91   14.2   0.0       1.3   13.7   0.0   1.2   1   0   0   1   1   1   0 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus C262246_2_0, transcribed RNA sequence
GCXX01064296.1_4     -          oskar_filtered.aligned.LOTUS_domain -               0.92   14.2   0.4   4.5e+02    5.6   0.0   3.7   4   0   0   4   4   4   0 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus s6532_L_12958_0_58_5_COMPLEX, transcribed RNA sequence
GCXX01014562.1_4     -          oskar_filtered.aligned.LOTUS_domain -               0.95   14.1   0.1       1.4   13.6   0.1   1.4   1   1   0   1   1   1   0 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus C234174_2_0, transcribed RNA sequence
GCXX01064297.1_6     -          oskar_filtered.aligned.LOTUS_domain -               0.99   14.1   0.4   4.3e+02    5.6   0.0   3.5   4   0   0   4   4   4   0 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus s6533_L_12958_1_53_6_COMPLEX, transcribed RNA sequence
GCXX01064298.1_4     -          oskar_filtered.aligned.LOTUS_domain -                1.9   13.2   0.2   6.3e+02    5.1   0.0   3.5   4   0   0   4   4   4   0 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus s6534_L_12958_2_43_1_COMPLEX, transcribed RNA sequence
GCXX01036759.1_2     -          oskar_filtered.aligned.LOTUS_domain -                2.2   13.0   0.0       3.6   12.3   0.0   1.2   1   0   0   1   1   1   0 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus C323540_2_0, transcribed RNA sequence
GCXX01024341.1_3     -          oskar_filtered.aligned.LOTUS_domain -                2.6   12.8   0.8       6.5   11.5   0.8   1.7   1   1   0   1   1   1   0 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus C269076_2_0, transcribed RNA sequence
GCXX01037654.1_3     -          oskar_filtered.aligned.LOTUS_domain -                5.5   11.7   4.8        27    9.5   4.6   2.2   1   1   0   1   1   1   0 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus C328539_4_0, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/V3/LOTUS_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCXX01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GCXX01_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/V3/LOTUS_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCXX01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Mon Nov 25 12:58:11 2019
# [ok]
