tsa_id,tax_id,species,family_id,family_name,order_id,order_name,bioproject,biosample,sequence_read_archive,download_status
GHUW00000000.1,1100831,Bactericera trigonica,38124.0,Triozidae,7524,Hemiptera,PRJNA561752,SAMN12627590,SRR10019128,False
GDXR00000000.1,1390046,Ramulus artemis,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286448,SAMN04005234,SRR2230619,False
GDYI00000000.1,1661478,Paranisacantha sp. AD-2015,523865.0,Anisacanthidae,7020,Phasmatodea,PRJNA286427,SAMN04005212,SRR2230597,False
GDZR00000000.1,614211,Medauroidea extradentata,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286403,SAMN04005188,SRR2230573,False
GDWN00000000.1,614109,Megacrania phelaus,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286404,SAMN04005189,SRR2230574,False
GDWM00000000.1,173814,Oreophoetes peruana,409189.0,Diapheromeridae,7020,Phasmatodea,PRJNA286419,SAMN04005204,SRR2230589,False
GDXF00000000.1,629903,Libethra strigiventris,409189.0,Diapheromeridae,7020,Phasmatodea,PRJNA286397,SAMN04005182,SRR2230567,False
GDXM00000000.1,1661835,Metriophasma diocles,58556.0,Pseudophasmatidae,7020,Phasmatodea,PRJNA286406,SAMN04005191,SRR2230576,False
GDXL00000000.1,262147,Epidares nolimetangere,262140.0,Heteropterygidae,7020,Phasmatodea,PRJNA286367,SAMN04005152,SRR2230537,False
GDUS00000000.1,173795,Heteropteryx dilatata,262140.0,Heteropterygidae,7020,Phasmatodea,PRJNA286390,SAMN04005175,SRR2230560,False
GDYH00000000.1,1661914,Spathomorpha lancettifer,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286455,SAMN04005241,SRR2230626,False
GDZP00000000.1,1661858,Xenophasmina simile,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286473,SAMN04005259,SRR2230644,False
