#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GFQQ01003654.1_1     -          LOTUS_CONSENSUS      -            3.7e-16   62.7   0.0   2.7e-08   37.5   0.0   3.4   3   0   0   3   3   3   2 TSA: Thrips tabaci isolate Punjab-Faridkot transcript_3662, transcribed RNA sequence
GFQQ01014067.1_1     -          LOTUS_CONSENSUS      -            1.2e-10   45.1   0.0     2e-10   44.4   0.0   1.3   1   0   0   1   1   1   1 TSA: Thrips tabaci isolate Punjab-Faridkot transcript_14106, transcribed RNA sequence
GFQQ01016005.1_6     -          LOTUS_CONSENSUS      -            2.8e-10   43.9   0.0   9.3e-10   42.2   0.0   1.9   1   0   0   1   1   1   1 TSA: Thrips tabaci isolate Punjab-Faridkot transcript_16047, transcribed RNA sequence
GFQQ01016007.1_6     -          LOTUS_CONSENSUS      -            2.9e-10   43.8   0.0   9.7e-10   42.1   0.0   1.9   1   0   0   1   1   1   1 TSA: Thrips tabaci isolate Punjab-Faridkot transcript_16049, transcribed RNA sequence
GFQQ01016009.1_6     -          LOTUS_CONSENSUS      -            2.9e-10   43.8   0.0   9.7e-10   42.1   0.0   1.9   1   0   0   1   1   1   1 TSA: Thrips tabaci isolate Punjab-Faridkot transcript_16051, transcribed RNA sequence
GFQQ01014071.1_1     -          LOTUS_CONSENSUS      -            4.6e-10   43.2   0.0   1.6e-09   41.4   0.0   1.9   2   0   0   2   2   2   1 TSA: Thrips tabaci isolate Punjab-Faridkot transcript_14110, transcribed RNA sequence
GFQQ01014068.1_1     -          LOTUS_CONSENSUS      -            4.6e-10   43.2   0.0   1.6e-09   41.4   0.0   2.0   2   0   0   2   2   2   1 TSA: Thrips tabaci isolate Punjab-Faridkot transcript_14107, transcribed RNA sequence
GFQQ01014073.1_1     -          LOTUS_CONSENSUS      -            4.8e-10   43.1   0.0   1.7e-09   41.4   0.0   1.9   2   0   0   2   2   2   1 TSA: Thrips tabaci isolate Punjab-Faridkot transcript_14112, transcribed RNA sequence
GFQQ01014072.1_1     -          LOTUS_CONSENSUS      -            6.1e-10   42.8   0.0     2e-09   41.2   0.0   1.9   2   0   0   2   2   2   1 TSA: Thrips tabaci isolate Punjab-Faridkot transcript_14111, transcribed RNA sequence
GFQQ01014070.1_1     -          LOTUS_CONSENSUS      -            6.6e-10   42.7   0.0   1.8e-09   41.2   0.0   1.8   1   0   0   1   1   1   1 TSA: Thrips tabaci isolate Punjab-Faridkot transcript_14109, transcribed RNA sequence
GFQQ01016645.1_4     -          LOTUS_CONSENSUS      -            1.1e-05   29.2   0.0         4   11.3   0.0   5.8   4   1   3   7   7   6   1 TSA: Thrips tabaci isolate Punjab-Faridkot transcript_16689, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GFQQ01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GFQQ01_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GFQQ01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Sun Oct  6 01:09:55 2019
# [ok]
