#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
HAEP01030645.1_6     -          OSK_CONSENSUS        -            7.3e-05   27.3   0.1       0.3   15.5   0.0   2.1   1   1   0   2   2   2   2 TSA: Proasellus assaforensis, contig comp38618_c0_seq2, transcribed RNA sequence
HAEP01044379.1_5     -          OSK_CONSENSUS        -            0.00049   24.6   0.1   0.00099   23.6   0.1   1.4   1   0   0   1   1   1   1 TSA: Proasellus assaforensis, contig comp41464_c0_seq8, transcribed RNA sequence
HAEP01044377.1_6     -          OSK_CONSENSUS        -            0.00052   24.5   0.1    0.0011   23.5   0.1   1.5   1   0   0   1   1   1   1 TSA: Proasellus assaforensis, contig comp41464_c0_seq6, transcribed RNA sequence
HAEP01044374.1_6     -          OSK_CONSENSUS        -             0.0006   24.3   0.1    0.0013   23.3   0.1   1.5   1   0   0   1   1   1   1 TSA: Proasellus assaforensis, contig comp41464_c0_seq3, transcribed RNA sequence
HAEP01044376.1_4     -          OSK_CONSENSUS        -               0.17   16.3   0.0       0.3   15.5   0.0   1.4   1   0   0   1   1   1   0 TSA: Proasellus assaforensis, contig comp41464_c0_seq5, transcribed RNA sequence
HAEP01006513.1_3     -          OSK_CONSENSUS        -                0.2   16.2   1.1      0.23   15.9   1.1   1.3   1   1   0   1   1   1   0 TSA: Proasellus assaforensis, contig comp12514_c0_seq1, transcribed RNA sequence
HAEP01043104.1_6     -          OSK_CONSENSUS        -               0.24   15.8   1.2      0.48   14.9   1.2   1.6   1   0   0   1   1   1   0 TSA: Proasellus assaforensis, contig comp41359_c0_seq21, transcribed RNA sequence
HAEP01043086.1_6     -          OSK_CONSENSUS        -               0.26   15.7   1.2      0.51   14.8   1.2   1.6   1   0   0   1   1   1   0 TSA: Proasellus assaforensis, contig comp41359_c0_seq3, transcribed RNA sequence
HAEP01073921.1_6     -          OSK_CONSENSUS        -               0.52   14.8   0.0      0.62   14.5   0.0   1.1   1   0   0   1   1   1   0 TSA: Proasellus assaforensis, contig comp583124_c0_seq1, transcribed RNA sequence
HAEP01043105.1_6     -          OSK_CONSENSUS        -               0.74   14.3   0.9       1.6   13.2   0.9   1.6   1   0   0   1   1   1   0 TSA: Proasellus assaforensis, contig comp41359_c0_seq22, transcribed RNA sequence
HAEP01043099.1_6     -          OSK_CONSENSUS        -               0.76   14.2   0.9       1.6   13.2   0.9   1.6   1   0   0   1   1   1   0 TSA: Proasellus assaforensis, contig comp41359_c0_seq16, transcribed RNA sequence
HAEP01043087.1_6     -          OSK_CONSENSUS        -               0.98   13.9   1.3         2   12.9   1.3   1.6   1   0   0   1   1   1   0 TSA: Proasellus assaforensis, contig comp41359_c0_seq4, transcribed RNA sequence
HAEP01006476.1_2     -          OSK_CONSENSUS        -                1.6   13.2   0.1       2.5   12.5   0.1   1.3   1   0   0   1   1   1   0 TSA: Proasellus assaforensis, contig comp12434_c0_seq1, transcribed RNA sequence
HAEP01081319.1_3     -          OSK_CONSENSUS        -                1.7   13.1   0.1       1.9   12.9   0.1   1.3   1   0   0   1   1   1   0 TSA: Proasellus assaforensis, contig comp748840_c0_seq1, transcribed RNA sequence
HAEP01003490.1_1     -          OSK_CONSENSUS        -                1.8   13.0   0.0         2   12.9   0.0   1.0   1   0   0   1   1   1   0 TSA: Proasellus assaforensis, contig comp6701_c0_seq1, transcribed RNA sequence
HAEP01074779.1_4     -          OSK_CONSENSUS        -                2.2   12.7   0.1       2.6   12.5   0.1   1.1   1   0   0   1   1   1   0 TSA: Proasellus assaforensis, contig comp596364_c0_seq1, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/OSK_CONSENSUS.hmm
# Target file:     /media/lblondel/5D1FA0DA2BE76E76/savy/SOURCES/TSA_PROTEIN/translated_HAEP.1.fasta
# Option settings: /home/lblondel/Software/hmmer-3.1b2-linux-intel-x86_64/binaries/hmmsearch --tblout /media/lblondel/5D1FA0DA2BE76E76/savy/SOURCES/TSA_RESULT/HAEP.1_osk_search.txt --cpu 8 ../Data/Oskar_hmm/OSK_CONSENSUS.hmm /media/lblondel/5D1FA0DA2BE76E76/savy/SOURCES/TSA_PROTEIN/translated_HAEP.1.fasta 
# Current dir:     /home/savy/Oskar_Orthologs/01_Oskar_identification
# Date:            Sat Nov  2 12:59:43 2019
# [ok]
