#                                                                            --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                        accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------              -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GDXP01050030.1_2     -          oskar_filtered.aligned.OSK_domain -              2e-47  165.9   0.0   2.7e-47  165.5   0.0   1.1   1   0   0   1   1   1   1 TSA: Shelfordella lateralis breed wildtype C282139_a_4_0_l_779, transcribed RNA sequence
GDXP01067097.1_1     -          oskar_filtered.aligned.OSK_domain -              0.053   17.8   7.0     0.077   17.3   6.6   1.5   1   1   0   1   1   1   0 TSA: Shelfordella lateralis breed wildtype s14969_L_60351_0_a_7_9_l_977, transcribed RNA sequence
GDXP01075560.1_1     -          oskar_filtered.aligned.OSK_domain -               0.12   16.6   0.1      0.15   16.3   0.1   1.3   1   0   0   1   1   1   0 TSA: Shelfordella lateralis breed wildtype s786_L_928_0_a_3_4_l_602, transcribed RNA sequence
GDXP01068525.1_2     -          oskar_filtered.aligned.OSK_domain -               0.74   14.1   0.9       1.5   13.1   0.9   1.5   1   0   0   1   1   1   0 TSA: Shelfordella lateralis breed wildtype s16256_L_80192_0_a_37_4_l_2897, transcribed RNA sequence
GDXP01025143.1_5     -          oskar_filtered.aligned.OSK_domain -               0.74   14.1   0.1       1.1   13.5   0.1   1.2   1   0   0   1   1   1   0 TSA: Shelfordella lateralis breed wildtype C212215_a_4_0_l_322, transcribed RNA sequence
GDXP01028452.1_1     -          oskar_filtered.aligned.OSK_domain -               0.74   14.1   0.2      0.78   14.0   0.2   1.1   1   0   0   1   1   1   0 TSA: Shelfordella lateralis breed wildtype C221481_a_5_0_l_352, transcribed RNA sequence
GDXP01077723.1_4     -          oskar_filtered.aligned.OSK_domain -                1.3   13.3   1.1       2.2   12.5   1.1   1.4   1   0   0   1   1   1   0 TSA: Shelfordella lateralis breed wildtype s9825_L_20785_1_a_11_0_l_1757, transcribed RNA sequence
GDXP01077722.1_6     -          oskar_filtered.aligned.OSK_domain -                1.3   13.3   1.3       2.1   12.6   1.3   1.4   1   0   0   1   1   1   0 TSA: Shelfordella lateralis breed wildtype s9824_L_20785_0_a_11_0_l_1630, transcribed RNA sequence
GDXP01059340.1_5     -          oskar_filtered.aligned.OSK_domain -                2.3   12.5   0.0        27    9.0   0.0   2.2   1   1   1   2   2   2   0 TSA: Shelfordella lateralis breed wildtype C309704_a_7_0_l_1866, transcribed RNA sequence
GDXP01016914.1_2     -          oskar_filtered.aligned.OSK_domain -                3.3   11.9   0.0       3.7   11.8   0.0   1.1   1   0   0   1   1   1   0 TSA: Shelfordella lateralis breed wildtype C189217_a_5_0_l_261, transcribed RNA sequence
GDXP01077118.1_6     -          oskar_filtered.aligned.OSK_domain -                4.4   11.5   2.5       8.8   10.6   2.5   1.4   1   0   0   1   1   1   0 TSA: Shelfordella lateralis breed wildtype s9278_L_18898_0_a_19_5_l_2358, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/V3/OSK_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDXP01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GDXP01_osk_search.txt --cpu 8 ../Data/Oskar_hmm/V3/OSK_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDXP01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Mon Nov 25 12:52:03 2019
# [ok]
