#                                                                              --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                          accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------                -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GDWU01071326.1_4     -          oskar_filtered.aligned.LOTUS_domain -            8.3e-17   65.8   0.9   2.8e-16   64.1   0.0   2.3   3   0   0   3   3   3   1 TSA: Supella longipalpa breed wildtype s9673_L_19095_2_a_3_9_l_667, transcribed RNA sequence
GDWU01071325.1_6     -          oskar_filtered.aligned.LOTUS_domain -            8.7e-17   65.7   0.2   4.4e-16   63.4   0.0   2.3   3   0   0   3   3   3   1 TSA: Supella longipalpa breed wildtype s9672_L_19095_1_a_6_4_l_855, transcribed RNA sequence
GDWU01061939.1_4     -          oskar_filtered.aligned.LOTUS_domain -            1.5e-06   32.9   0.0        16   10.2   0.0   4.9   2   1   2   4   4   4   2 TSA: Supella longipalpa breed wildtype s17742_L_69312_0_a_14_6_l_4501, transcribed RNA sequence
GDWU01057048.1_5     -          oskar_filtered.aligned.LOTUS_domain -              0.029   19.1   0.1      0.23   16.2   0.1   2.3   1   1   1   2   2   2   0 TSA: Supella longipalpa breed wildtype s13334_L_31964_1_a_10_1_l_3194, transcribed RNA sequence
GDWU01034921.1_4     -          oskar_filtered.aligned.LOTUS_domain -               0.41   15.4   0.0      0.62   14.8   0.0   1.3   1   0   0   1   1   1   0 TSA: Supella longipalpa breed wildtype C243265_a_8_0_l_510, transcribed RNA sequence
GDWU01017881.1_3     -          oskar_filtered.aligned.LOTUS_domain -               0.79   14.5   0.0      0.99   14.1   0.0   1.1   1   0   0   1   1   1   0 TSA: Supella longipalpa breed wildtype C192039_a_6_0_l_299, transcribed RNA sequence
GDWU01012824.1_5     -          oskar_filtered.aligned.LOTUS_domain -                1.3   13.7   0.1       2.1   13.1   0.1   1.3   1   1   0   1   1   1   0 TSA: Supella longipalpa breed wildtype C178161_a_3_0_l_270, transcribed RNA sequence
GDWU01004654.1_6     -          oskar_filtered.aligned.LOTUS_domain -                2.6   12.8   0.1       3.4   12.4   0.1   1.1   1   0   0   1   1   1   0 TSA: Supella longipalpa breed wildtype C155148_a_3_0_l_228, transcribed RNA sequence
GDWU01062609.1_4     -          oskar_filtered.aligned.LOTUS_domain -                3.3   12.5   2.2        38    9.1   0.4   2.8   2   0   0   2   2   2   0 TSA: Supella longipalpa breed wildtype s18345_L_78529_0_a_36_8_l_3549, transcribed RNA sequence
GDWU01064349.1_6     -          oskar_filtered.aligned.LOTUS_domain -                3.4   12.4   1.6       8.7   11.1   0.1   2.1   1   1   1   2   2   2   0 TSA: Supella longipalpa breed wildtype s3377_L_4192_0_a_42_7_l_989_a, transcribed RNA sequence
GDWU01064350.1_5     -          oskar_filtered.aligned.LOTUS_domain -                3.5   12.4   1.5         9   11.1   0.1   2.1   1   1   1   2   2   2   0 TSA: Supella longipalpa breed wildtype s3378_L_4192_1_a_45_1_l_1009_a, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/V3/LOTUS_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDWU01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GDWU01_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/V3/LOTUS_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDWU01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Mon Nov 25 13:02:01 2019
# [ok]
