#                                                                            --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                        accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------              -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GCWV01018711.1_1     -          oskar_filtered.aligned.OSK_domain -            1.5e-27  100.3   0.0     2e-27   99.9   0.0   1.3   1   0   0   1   1   1   1 TSA: Dactylopius confusus breed wildtype C179096_45_0, transcribed RNA sequence
GCWV01038482.1_4     -          oskar_filtered.aligned.OSK_domain -             0.0025   21.3   0.1    0.0056   20.2   0.1   1.6   1   0   0   1   1   1   1 TSA: Dactylopius confusus breed wildtype s4498_L_12050_1_46_2_COMPLEX, transcribed RNA sequence
GCWV01038487.1_6     -          oskar_filtered.aligned.OSK_domain -              0.003   21.1   0.1    0.0073   19.8   0.1   1.6   1   0   0   1   1   1   1 TSA: Dactylopius confusus breed wildtype s4501_L_12050_4_44_4_COMPLEX, transcribed RNA sequence
GCWV01038481.1_6     -          oskar_filtered.aligned.OSK_domain -             0.0045   20.5   0.2     0.012   19.2   0.2   1.7   1   0   0   1   1   1   1 TSA: Dactylopius confusus breed wildtype s4497_L_12050_0_47_9_COMPLEX, transcribed RNA sequence
GCWV01038486.1_6     -          oskar_filtered.aligned.OSK_domain -             0.0053   20.3   0.2     0.014   18.9   0.2   1.7   1   0   0   1   1   1   1 TSA: Dactylopius confusus breed wildtype s4500_L_12050_3_45_0_COMPLEX, transcribed RNA sequence
GCWV01038483.1_5     -          oskar_filtered.aligned.OSK_domain -              0.013   19.0   0.2     0.013   19.0   0.2   2.3   2   0   0   2   2   2   0 TSA: Dactylopius confusus breed wildtype s4499_L_12050_2_46_2_COMPLEX, transcribed RNA sequence
GCWV01015377.1_1     -          oskar_filtered.aligned.OSK_domain -               0.28   14.6   0.1      0.28   14.6   0.1   1.2   1   0   0   1   1   1   0 TSA: Dactylopius confusus breed wildtype C161218_31_0, transcribed RNA sequence
GCWV01041830.1_4     -          oskar_filtered.aligned.OSK_domain -               0.46   13.9   0.5       1.6   12.2   0.0   2.2   3   0   0   3   3   3   0 TSA: Dactylopius confusus breed wildtype s7514_L_21230_1_38_1_COMPLEX, transcribed RNA sequence
GCWV01036852.1_6     -          oskar_filtered.aligned.OSK_domain -               0.61   13.5   0.4       0.9   13.0   0.4   1.3   1   0   0   1   1   1   0 TSA: Dactylopius confusus breed wildtype s302_L_611_1_7_3_COMPLEX, transcribed RNA sequence
GCWV01036841.1_6     -          oskar_filtered.aligned.OSK_domain -               0.63   13.5   0.5       0.9   13.0   0.5   1.3   1   0   0   1   1   1   0 TSA: Dactylopius confusus breed wildtype s301_L_611_0_7_6_COMPLEX, transcribed RNA sequence
GCWV01010859.1_4     -          oskar_filtered.aligned.OSK_domain -                0.7   13.3   0.1      0.97   12.9   0.1   1.3   1   0   0   1   1   1   0 TSA: Dactylopius confusus breed wildtype C138984_8_0, transcribed RNA sequence
GCWV01032650.1_1     -          oskar_filtered.aligned.OSK_domain -                1.1   12.7   0.0         2   11.9   0.0   1.4   1   0   0   1   1   1   0 TSA: Dactylopius confusus breed wildtype s13433_L_44568_0_5_2_LINEAR, transcribed RNA sequence
GCWV01007726.1_4     -          oskar_filtered.aligned.OSK_domain -                1.2   12.6   0.0       1.5   12.3   0.0   1.1   1   0   0   1   1   1   0 TSA: Dactylopius confusus breed wildtype C126532_12_0, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/V3/OSK_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCWV01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GCWV01_osk_search.txt --cpu 8 ../Data/Oskar_hmm/V3/OSK_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCWV01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Mon Nov 25 12:46:25 2019
# [ok]
