#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GCYT01004237.1_1     -          OSK_CONSENSUS        -            1.6e-22   83.0   0.0     3e-22   82.1   0.0   1.4   1   0   0   1   1   1   1 TSA: Trionymus caricis breed wildtype C122249_52_0, transcribed RNA sequence
GCYT01003076.1_6     -          OSK_CONSENSUS        -            1.7e-21   79.7   0.3   2.8e-21   79.0   0.3   1.3   1   0   0   1   1   1   1 TSA: Trionymus caricis breed wildtype C116495_29_0, transcribed RNA sequence
GCYT01004417.1_4     -          OSK_CONSENSUS        -            3.5e-07   33.2   1.5   6.3e-07   32.3   0.0   2.1   2   0   0   2   2   2   1 TSA: Trionymus caricis breed wildtype C123077_18_0, transcribed RNA sequence
GCYT01017439.1_6     -          OSK_CONSENSUS        -            0.00014   24.7   0.1   0.00018   24.4   0.1   1.1   1   0   0   1   1   1   1 TSA: Trionymus caricis breed wildtype C98625_2_0, transcribed RNA sequence
GCYT01011341.1_3     -          OSK_CONSENSUS        -             0.0003   23.6   0.1   0.00033   23.5   0.1   1.0   1   0   0   1   1   1   1 TSA: Trionymus caricis breed wildtype C74427_5_0, transcribed RNA sequence
GCYT01025581.1_2     -          OSK_CONSENSUS        -            0.00046   23.0   0.1    0.0014   21.4   0.0   1.6   1   1   1   2   2   2   1 TSA: Trionymus caricis breed wildtype s7604_L_20774_0_5_4_LINEAR, transcribed RNA sequence
GCYT01024962.1_1     -          OSK_CONSENSUS        -             0.0064   19.3   0.0     0.012   18.4   0.0   1.4   1   0   0   1   1   1   1 TSA: Trionymus caricis breed wildtype s7047_L_18817_0_7_5_LINEAR, transcribed RNA sequence
GCYT01006440.1_4     -          OSK_CONSENSUS        -              0.011   18.6   0.1     0.011   18.5   0.1   1.0   1   0   0   1   1   1   0 TSA: Trionymus caricis breed wildtype C58369_3_0, transcribed RNA sequence
GCYT01023241.1_4     -          OSK_CONSENSUS        -               0.02   17.7   0.0     0.041   16.7   0.0   1.4   1   0   0   1   1   1   0 TSA: Trionymus caricis breed wildtype s5498_L_13671_0_4_0_LINEAR, transcribed RNA sequence
GCYT01018332.1_5     -          OSK_CONSENSUS        -              0.098   15.5   0.0      0.28   14.0   0.0   1.7   2   0   0   2   2   2   0 TSA: Trionymus caricis breed wildtype s1072_L_2091_0_5_2_LINEAR, transcribed RNA sequence
GCYT01026657.1_1     -          OSK_CONSENSUS        -               0.16   14.8   0.2      0.37   13.6   0.2   1.6   1   0   0   1   1   1   0 TSA: Trionymus caricis breed wildtype s8573_L_24290_0_57_5_LINEAR, transcribed RNA sequence
GCYT01011054.1_3     -          OSK_CONSENSUS        -               0.51   13.1   0.2      0.53   13.1   0.2   1.1   1   0   0   1   1   1   0 TSA: Trionymus caricis breed wildtype C73401_3_0, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/OSK_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCYT01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GCYT01_osk_search.txt --cpu 8 ../Data/Oskar_hmm/OSK_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCYT01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Sun Oct  6 01:03:32 2019
# [ok]
