#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GDFI01044012.1_2     -          LOTUS_CONSENSUS      -            1.5e-19   74.2   3.6     4e-18   69.6   0.3   3.7   4   0   0   4   4   4   1 TSA: Pyrrhocoris apterus breed wildtype s11397_L_40334_0_a_12_9_l_3743, transcribed RNA sequence
GDFI01047741.1_2     -          LOTUS_CONSENSUS      -            9.9e-14   55.5   0.0     0.081   17.3   0.0   5.0   2   1   3   5   5   5   4 TSA: Pyrrhocoris apterus breed wildtype s3574_L_4631_0_a_14_3_l_3529, transcribed RNA sequence
GDFI01047742.1_2     -          LOTUS_CONSENSUS      -            1.1e-13   55.3   0.0     0.084   17.3   0.0   5.0   2   1   3   5   5   5   4 TSA: Pyrrhocoris apterus breed wildtype s3575_L_4631_1_a_14_2_l_3622, transcribed RNA sequence
GDFI01003919.1_4     -          LOTUS_CONSENSUS      -            2.6e-10   44.5   0.0   3.2e-10   44.3   0.0   1.1   1   0   0   1   1   1   1 TSA: Pyrrhocoris apterus breed wildtype C112678_a_6_0_l_321, transcribed RNA sequence
GDFI01030015.1_2     -          LOTUS_CONSENSUS      -            5.7e-05   27.4   0.1    0.0057   21.0   0.0   2.7   2   0   0   2   2   2   1 TSA: Pyrrhocoris apterus breed wildtype C191616_a_4_0_l_1583, transcribed RNA sequence
GDFI01028029.1_1     -          LOTUS_CONSENSUS      -               0.72   14.3   0.2   3.1e+02    5.8   0.0   3.2   2   1   0   2   2   2   0 TSA: Pyrrhocoris apterus breed wildtype C185950_a_4_0_l_1308, transcribed RNA sequence
GDFI01038844.1_3     -          LOTUS_CONSENSUS      -               0.77   14.2   0.0      0.94   13.9   0.0   1.2   1   0   0   1   1   1   0 TSA: Pyrrhocoris apterus breed wildtype C90006_a_4_0_l_246, transcribed RNA sequence
GDFI01004775.1_6     -          LOTUS_CONSENSUS      -                2.6   12.5   0.0       3.2   12.2   0.0   1.2   1   0   0   1   1   1   0 TSA: Pyrrhocoris apterus breed wildtype C115391_a_3_0_l_335, transcribed RNA sequence
GDFI01005706.1_4     -          LOTUS_CONSENSUS      -                2.7   12.4   0.0       3.1   12.2   0.0   1.2   1   0   0   1   1   1   0 TSA: Pyrrhocoris apterus breed wildtype C118429_a_3_0_l_349, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDFI01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GDFI01_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDFI01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Sun Oct  6 00:49:37 2019
# [ok]
