#                                                                            --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                        accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------              -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GDYK01051721.1_1     -          oskar_filtered.aligned.OSK_domain -            1.9e-41  146.3   0.0   6.1e-41  144.7   0.0   1.9   2   0   0   2   2   2   1 TSA: Loboptera decipiens breed wildtype C315435_a_9_0_l_1890, transcribed RNA sequence
GDYK01060781.1_6     -          oskar_filtered.aligned.OSK_domain -            2.4e-27  100.4   0.1   3.5e-27   99.8   0.1   1.3   1   0   0   1   1   1   1 TSA: Loboptera decipiens breed wildtype s17111_L_58398_1_a_13_8_l_1472, transcribed RNA sequence
GDYK01036989.1_6     -          oskar_filtered.aligned.OSK_domain -               0.25   15.5   0.3      0.48   14.6   0.2   1.5   1   1   0   2   2   2   0 TSA: Loboptera decipiens breed wildtype C263561_a_3_0_l_530, transcribed RNA sequence
GDYK01015453.1_6     -          oskar_filtered.aligned.OSK_domain -                0.6   14.2   0.2      0.75   13.9   0.2   1.1   1   0   0   1   1   1   0 TSA: Loboptera decipiens breed wildtype C194611_a_3_0_l_269, transcribed RNA sequence
GDYK01070613.1_5     -          oskar_filtered.aligned.OSK_domain -               0.65   14.1   0.2      0.65   14.1   0.2   2.4   3   1   0   3   3   3   0 TSA: Loboptera decipiens breed wildtype s843_L_915_0_a_25_0_l_1477, transcribed RNA sequence
GDYK01047582.1_1     -          oskar_filtered.aligned.OSK_domain -               0.86   13.7   0.0       1.4   13.1   0.0   1.3   1   0   0   1   1   1   0 TSA: Loboptera decipiens breed wildtype C301076_a_6_0_l_1053, transcribed RNA sequence
GDYK01062536.1_5     -          oskar_filtered.aligned.OSK_domain -                1.1   13.3   0.4       2.4   12.3   0.4   1.5   1   0   0   1   1   1   0 TSA: Loboptera decipiens breed wildtype s18713_L_71770_0_a_8_4_l_1420, transcribed RNA sequence
GDYK01066727.1_3     -          oskar_filtered.aligned.OSK_domain -                1.3   13.2   0.1       3.6   11.7   0.1   1.8   1   1   1   2   2   2   0 TSA: Loboptera decipiens breed wildtype s4851_L_6555_0_a_4_6_l_583, transcribed RNA sequence
GDYK01041717.1_3     -          oskar_filtered.aligned.OSK_domain -                3.9   11.6   1.3       6.3   10.9   1.3   1.3   1   0   0   1   1   1   0 TSA: Loboptera decipiens breed wildtype C280053_a_8_0_l_676, transcribed RNA sequence
GDYK01056427.1_3     -          oskar_filtered.aligned.OSK_domain -                8.8   10.4   3.5        14    9.8   2.1   1.9   1   1   0   2   2   2   0 TSA: Loboptera decipiens breed wildtype s13139_L_30403_0_a_10_6_l_1965, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/V3/OSK_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDYK01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GDYK01_osk_search.txt --cpu 8 ../Data/Oskar_hmm/V3/OSK_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDYK01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Mon Nov 25 12:49:37 2019
# [ok]
