,index,id,tax_id,species,family_name,order_name,source
0,0,GHUW00000000.1,1100831,Bactericera trigonica,Triozidae,Hemiptera,TSA
1,1,GDXR00000000.1,1390046,Ramulus artemis,Phasmatidae,Phasmatodea,TSA
2,2,GDYI00000000.1,1661478,Paranisacantha sp. AD-2015,Anisacanthidae,Phasmatodea,TSA
3,3,GDZR00000000.1,614211,Medauroidea extradentata,Phasmatidae,Phasmatodea,TSA
4,4,GDWN00000000.1,614109,Megacrania phelaus,Phasmatidae,Phasmatodea,TSA
5,5,GDWM00000000.1,173814,Oreophoetes peruana,Diapheromeridae,Phasmatodea,TSA
6,6,GDXF00000000.1,629903,Libethra strigiventris,Diapheromeridae,Phasmatodea,TSA
7,7,GDXM00000000.1,1661835,Metriophasma diocles,Pseudophasmatidae,Phasmatodea,TSA
8,8,GDXL00000000.1,262147,Epidares nolimetangere,Heteropterygidae,Phasmatodea,TSA
9,9,GDUS00000000.1,173795,Heteropteryx dilatata,Heteropterygidae,Phasmatodea,TSA
10,10,GDYH00000000.1,1661914,Spathomorpha lancettifer,Phasmatidae,Phasmatodea,TSA
11,11,GDZP00000000.1,1661858,Xenophasmina simile,Phasmatidae,Phasmatodea,TSA
12,12,GDZO00000000.1,1661467,Dimorphodes sp. AD-2015,Phasmatidae,Phasmatodea,TSA
13,13,GDZM00000000.1,7024,Extatosoma tiaratum,Phasmatidae,Phasmatodea,TSA
14,14,GDXC00000000.1,614140,Pseudophasma velutinum,Pseudophasmatidae,Phasmatodea,TSA
15,15,GDXB00000000.1,7022,Carausius morosus,Lonchodidae,Phasmatodea,TSA
16,16,GDWZ00000000.1,1661800,Abrosoma johorense,Aschiphasmatidae,Phasmatodea,TSA
17,17,GDWL00000000.1,1661841,Orxines xiphias,Lonchodidae,Phasmatodea,TSA
18,18,GDTQ00000000.1,75184,Bacillus rossius,Bacillidae,Phasmatodea,TSA
19,19,GDVL00000000.1,741259,Spinotectarchus acornutus,Diapheromeridae,Phasmatodea,TSA
20,20,GDVJ00000000.1,1661838,Neohirasea fruhstorferi,Lonchodidae,Phasmatodea,TSA
21,21,GDVF00000000.1,1603952,Achrioptera fallax,Phasmatidae,Phasmatodea,TSA
22,22,GDVD00000000.1,93610,Eurycantha calcarata,Phasmatidae,Phasmatodea,TSA
23,23,GEAD00000000.1,614142,Pseudosermyle phalangiphora,Diapheromeridae,Phasmatodea,TSA
24,24,GDYY00000000.1,58611,Agathemera crassa,Agathemeridae,Phasmatodea,TSA
25,25,GDYR00000000.1,1661803,Antongilia madagassa,Bacillidae,Phasmatodea,TSA
26,26,GDZN00000000.1,590986,Orestes mouhotii,Heteropterygidae,Phasmatodea,TSA
27,27,GHRN00000000.1,33419,Heliconius numata,Nymphalidae,Lepidoptera,TSA
28,28,GHRM00000000.1,104688,Bactrocera oleae,Tephritidae,Diptera,TSA
29,29,GHRK00000000.1,50390,Diabrotica virgifera virgifera,Chrysomelidae,Coleoptera,TSA
30,30,GGRL00000000.1,53598,Trichogramma chilonis,Trichogrammatidae,Hymenoptera,TSA
31,31,GHNK00000000.1,499550,Grapholitha molesta,Tortricidae,Lepidoptera,TSA
32,32,IADH00000000.1,85585,Adoxophyes honmai,Tortricidae,Lepidoptera,TSA
33,33,IADS00000000.1,161014,Thrips tabaci,Thripidae,Thysanoptera,TSA
34,34,GHOS00000000.1,614134,Peruphasma schultei,Pseudophasmatidae,Phasmatodea,TSA
35,35,GHNP00000000.1,141914,Reticulitermes labralis,Rhinotermitidae,Blattodea,TSA
36,36,IAEB00000000.1,62960,Nasutitermes takasagoensis,Termitidae,Blattodea,TSA
37,37,GGAG00000000.1,1836603,Amrasca biguttula biguttula,Cicadellidae,Hemiptera,TSA
38,38,GHNJ00000000.1,50390,Diabrotica virgifera virgifera,Chrysomelidae,Coleoptera,TSA
39,39,GHMS00000000.1,141915,Reticulitermes aculabialis,Rhinotermitidae,Blattodea,TSA
40,40,GHLY00000000.1,115357,Harmonia axyridis,Coccinellidae,Coleoptera,TSA
41,41,IAEA00000000.1,196483,Nipponaphis monzeni,Hormaphididae,Hemiptera,TSA
42,42,GFTR00000000.1,156445,Panstrongylus lignarius,Reduviidae,Hemiptera,TSA
43,43,GEMB00000000.1,30076,Triatoma infestans,Reduviidae,Hemiptera,TSA
44,44,GECL00000000.1,72491,Triatoma dimidiata,Reduviidae,Hemiptera,TSA
45,45,GHKJ00000000.1,13249,Rhodnius prolixus,Reduviidae,Hemiptera,TSA
46,46,GHKV00000000.1,1007316,Gomphocerus sibiricus,Acrididae,Orthoptera,TSA
47,47,GHKU00000000.1,7108,Spodoptera frugiperda,Noctuidae,Lepidoptera,TSA
48,48,GFQQ00000000.1,161014,Thrips tabaci,Thripidae,Thysanoptera,TSA
49,49,GDPI00000000.1,795051,Elaphrus aureus,Carabidae,Coleoptera,TSA
50,50,GDMH00000000.1,247075,Cicindela hybrida,Carabidae,Coleoptera,TSA
51,51,GDLF00000000.1,287700,Calosoma frigidum,Carabidae,Coleoptera,TSA
52,52,HAMG00000000.1,161253,Galerucella pusilla,Chrysomelidae,Coleoptera,TSA
53,53,HAMF00000000.1,161252,Galerucella calmariensis,Chrysomelidae,Coleoptera,TSA
54,54,GHJE00000000.1,115357,Harmonia axyridis,Coccinellidae,Coleoptera,TSA
55,55,GCWI00000000.1,2569394,Enchenopa latipes,Membracidae,Hemiptera,TSA
56,56,GHGZ00000000.1,378752,Achaea janata,Noctuidae,Lepidoptera,TSA
57,57,GDMW00000000.1,878025,Haliplus fluviatilis,Haliplidae,Coleoptera,TSA
58,58,GDNH00000000.1,1661815,Sinaspidytes wrasei,Aspidytidae,Coleoptera,TSA
59,59,GDLH00000000.1,107796,Cybister lateralimarginalis,Dytiscidae,Coleoptera,TSA
60,60,GDNB00000000.1,1661492,Dineutus sp. AD-2015,Gyrinidae,Coleoptera,TSA
61,61,GDNA00000000.1,110027,Noterus clavicornis,Noteridae,Coleoptera,TSA
62,62,GFUK00000000.1,107881,Hygrobia hermanni,Hygrobiidae,Coleoptera,TSA
63,63,GFUI00000000.1,107794,Liopterus haemorrhoidalis,Dytiscidae,Coleoptera,TSA
64,64,GFUO00000000.1,183865,Aspidytes niobe,Aspidytidae,Coleoptera,TSA
65,65,GFUH00000000.1,159779,Amphizoa lecontei,Amphizoidae,Coleoptera,TSA
66,66,GFUJ00000000.1,207415,Batrachomatus nannup,Dytiscidae,Coleoptera,TSA
67,67,GFUN00000000.1,1048682,Hygrobia nigra,Hygrobiidae,Coleoptera,TSA
68,68,GHFS00000000.1,30195,Bombus terrestris,Apidae,Hymenoptera,TSA
69,69,GHFP00000000.1,185587,Osmia cornuta,Megachilidae,Hymenoptera,TSA
70,70,GHFU00000000.1,444401,Andrena haemorrhoa,Andrenidae,Hymenoptera,TSA
71,71,GHGA00000000.1,444401,Andrena haemorrhoa,Andrenidae,Hymenoptera,TSA
72,72,GHFY00000000.1,65598,Bombus pascuorum,Apidae,Hymenoptera,TSA
73,73,GHFZ00000000.1,65598,Bombus pascuorum,Apidae,Hymenoptera,TSA
74,74,GHFQ00000000.1,65598,Bombus pascuorum,Apidae,Hymenoptera,TSA
75,75,GHFW00000000.1,465493,Andrena cineraria,Andrenidae,Hymenoptera,TSA
76,76,GHGB00000000.1,30195,Bombus terrestris,Apidae,Hymenoptera,TSA
77,77,GHFV00000000.1,65598,Bombus pascuorum,Apidae,Hymenoptera,TSA
78,78,GHGD00000000.1,130687,Bombus cryptarum,Apidae,Hymenoptera,TSA
79,79,GHGC00000000.1,1437190,Osmia bicornis,Megachilidae,Hymenoptera,TSA
80,80,GHFT00000000.1,185587,Osmia cornuta,Megachilidae,Hymenoptera,TSA
81,81,GHFR00000000.1,1411667,Andrena fulva,Andrenidae,Hymenoptera,TSA
