#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GCYY01038546.1_6     -          LOTUS_CONSENSUS      -            1.9e-16   63.8   0.1   9.7e-16   61.5   0.1   2.3   1   0   0   1   1   1   1 TSA: Tuberolachnus salignus breed wildtype s8921_L_20692_1_52_8_BUBBLE, transcribed RNA sequence
GCYY01038545.1_4     -          LOTUS_CONSENSUS      -            9.2e-16   61.6   0.1   9.2e-16   61.6   0.1   3.4   4   0   0   4   4   4   1 TSA: Tuberolachnus salignus breed wildtype s8920_L_20692_0_52_4_BUBBLE, transcribed RNA sequence
GCYY01008768.1_5     -          LOTUS_CONSENSUS      -              2e-12   50.9   0.8     6e-12   49.3   0.2   2.0   2   0   0   2   2   2   1 TSA: Tuberolachnus salignus breed wildtype C135725_4_0, transcribed RNA sequence
GCYY01029218.1_3     -          LOTUS_CONSENSUS      -            1.2e-11   48.4   0.2   1.2e-11   48.4   0.2   6.4   7   0   0   7   7   7   2 TSA: Tuberolachnus salignus breed wildtype s14476_L_41673_0_26_5_LINEAR, transcribed RNA sequence
GCYY01027316.1_3     -          LOTUS_CONSENSUS      -            8.7e-11   45.6   0.3   8.7e-11   45.6   0.3   4.5   5   0   0   5   5   4   1 TSA: Tuberolachnus salignus breed wildtype s12762_L_34167_0_31_9_COMPLEX, transcribed RNA sequence
GCYY01027318.1_3     -          LOTUS_CONSENSUS      -              1e-10   45.4   0.3     1e-10   45.4   0.3   4.3   4   0   0   4   4   3   1 TSA: Tuberolachnus salignus breed wildtype s12764_L_34167_2_27_7_COMPLEX, transcribed RNA sequence
GCYY01037233.1_3     -          LOTUS_CONSENSUS      -              3e-09   40.7   1.1   1.9e-08   38.1   0.4   2.8   1   1   1   2   2   2   1 TSA: Tuberolachnus salignus breed wildtype s773_L_1253_0_57_3_COMPLEX, transcribed RNA sequence
GCYY01037266.1_3     -          LOTUS_CONSENSUS      -            3.2e-06   31.0   0.1   9.6e-06   29.5   0.1   1.8   1   0   0   1   1   1   1 TSA: Tuberolachnus salignus breed wildtype s776_L_1253_3_54_1_COMPLEX, transcribed RNA sequence
GCYY01032781.1_6     -          LOTUS_CONSENSUS      -            0.00033   24.5   0.0   4.7e+02    4.8   0.0   5.9   3   2   3   6   6   6   0 TSA: Tuberolachnus salignus breed wildtype s3727_L_7063_0_13_4_LINEAR, transcribed RNA sequence
GCYY01037266.1_2     -          LOTUS_CONSENSUS      -             0.0028   21.5   1.1     0.018   19.0   0.4   2.8   1   1   1   2   2   2   1 TSA: Tuberolachnus salignus breed wildtype s776_L_1253_3_54_1_COMPLEX, transcribed RNA sequence
GCYY01031006.1_1     -          LOTUS_CONSENSUS      -               0.57   14.2   1.6        41    8.2   0.9   2.9   1   1   1   2   2   2   0 TSA: Tuberolachnus salignus breed wildtype s2126_L_3897_2_23_3_COMPLEX, transcribed RNA sequence
GCYY01010400.1_4     -          LOTUS_CONSENSUS      -                  1   13.4   0.2       1.9   12.5   0.2   1.5   1   0   0   1   1   1   0 TSA: Tuberolachnus salignus breed wildtype C143969_7_0, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCYY01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GCYY01_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCYY01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Sun Oct  6 01:00:16 2019
# [ok]
