#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GCVZ01035443.1_6     -          LOTUS_CONSENSUS      -            1.1e-10   45.5   0.0      0.33   15.1   0.0   7.0   4   2   4   8   8   8   2 TSA: Alydus pilosus breed wildtype s16374_L_47787_0_16_4_LINEAR, transcribed RNA sequence
GCVZ01036246.1_4     -          LOTUS_CONSENSUS      -              1e-08   39.2   0.0   2.3e-08   38.0   0.0   1.6   1   0   0   1   1   1   1 TSA: Alydus pilosus breed wildtype s17096_L_53035_0_6_0_LINEAR, transcribed RNA sequence
GCVZ01028664.1_2     -          LOTUS_CONSENSUS      -                0.3   15.3   1.1      0.51   14.5   0.2   1.8   2   0   0   2   2   2   0 TSA: Alydus pilosus breed wildtype s10254_L_18957_1_80_5_COMPLEX, transcribed RNA sequence
GCVZ01028663.1_1     -          LOTUS_CONSENSUS      -               0.33   15.1   1.2      0.61   14.3   0.2   1.8   2   0   0   2   2   2   0 TSA: Alydus pilosus breed wildtype s10253_L_18957_0_90_7_COMPLEX, transcribed RNA sequence
GCVZ01019006.1_2     -          LOTUS_CONSENSUS      -               0.55   14.4   0.5       1.4   13.1   0.5   1.8   1   1   0   1   1   1   0 TSA: Alydus pilosus breed wildtype C180581_3_0, transcribed RNA sequence
GCVZ01008805.1_4     -          LOTUS_CONSENSUS      -               0.61   14.3   0.0       0.8   13.9   0.0   1.1   1   0   0   1   1   1   0 TSA: Alydus pilosus breed wildtype C142998_3_0, transcribed RNA sequence
GCVZ01015014.1_4     -          LOTUS_CONSENSUS      -                1.7   12.9   0.0         2   12.6   0.0   1.1   1   0   0   1   1   1   0 TSA: Alydus pilosus breed wildtype C165450_3_0, transcribed RNA sequence
GCVZ01034100.1_1     -          LOTUS_CONSENSUS      -                2.5   12.3   0.3   1.4e+02    6.7   0.0   2.3   2   0   0   2   2   2   0 TSA: Alydus pilosus breed wildtype s15162_L_40065_0_19_2_LINEAR, transcribed RNA sequence
GCVZ01036481.1_1     -          LOTUS_CONSENSUS      -                9.9   10.4   5.1     2e+02    6.2   0.2   3.1   3   0   0   3   3   3   0 TSA: Alydus pilosus breed wildtype s17307_L_54654_0_16_8_LINEAR, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCVZ01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GCVZ01_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCVZ01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Sun Oct  6 00:46:25 2019
# [ok]
