#                                                                              --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                          accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------                -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GGPJ01269500.1_2     -          oskar_filtered.aligned.LOTUS_domain -            3.5e-19   75.4   0.5   1.7e-18   73.1   0.3   2.3   2   0   0   2   2   1   1 TSA: Nezara viridula N_viridula_DNassembly_346028_c5_g5_i3, transcribed RNA sequence
GGPJ01269501.1_2     -          oskar_filtered.aligned.LOTUS_domain -            4.5e-19   75.0   0.3   1.6e-18   73.3   0.3   2.0   1   0   0   1   1   1   1 TSA: Nezara viridula N_viridula_DNassembly_346028_c5_g5_i4, transcribed RNA sequence
GGPJ01269504.1_2     -          oskar_filtered.aligned.LOTUS_domain -            6.7e-19   74.5   0.3   1.6e-18   73.3   0.3   1.6   1   0   0   1   1   1   1 TSA: Nezara viridula N_viridula_DNassembly_346028_c5_g5_i7, transcribed RNA sequence
GGPJ01269498.1_2     -          oskar_filtered.aligned.LOTUS_domain -            7.6e-19   74.3   0.3   1.7e-18   73.1   0.3   1.6   1   0   0   1   1   1   1 TSA: Nezara viridula N_viridula_DNassembly_346028_c5_g5_i1, transcribed RNA sequence
GGPJ01274003.1_6     -          oskar_filtered.aligned.LOTUS_domain -            8.6e-18   70.9   8.7   4.4e-10   46.2   0.1   4.5   4   1   1   5   5   4   3 TSA: Nezara viridula N_viridula_DNassembly_346399_c3_g1_i2, transcribed RNA sequence
GGPJ01269499.1_2     -          oskar_filtered.aligned.LOTUS_domain -              2e-10   47.2   0.4   5.8e-10   45.8   0.1   2.0   2   0   0   2   2   1   1 TSA: Nezara viridula N_viridula_DNassembly_346028_c5_g5_i2, transcribed RNA sequence
GGPJ01191095.1_4     -          oskar_filtered.aligned.LOTUS_domain -            2.2e-10   47.1   0.0     0.028   21.1   0.0   5.6   2   1   4   6   6   6   2 TSA: Nezara viridula N_viridula_DNassembly_339539_c1_g3_i11, transcribed RNA sequence
GGPJ01191106.1_4     -          oskar_filtered.aligned.LOTUS_domain -            2.4e-10   47.0   0.0     0.028   21.1   0.0   5.5   2   1   3   6   6   6   2 TSA: Nezara viridula N_viridula_DNassembly_339539_c1_g3_i6, transcribed RNA sequence
GGPJ01191109.1_4     -          oskar_filtered.aligned.LOTUS_domain -            3.1e-10   46.7   0.0      0.03   21.0   0.0   5.5   2   1   4   6   6   6   2 TSA: Nezara viridula N_viridula_DNassembly_339539_c1_g3_i9, transcribed RNA sequence
GGPJ01191101.1_4     -          oskar_filtered.aligned.LOTUS_domain -            3.3e-10   46.6   0.0     0.031   21.0   0.0   5.5   2   1   4   6   6   6   2 TSA: Nezara viridula N_viridula_DNassembly_339539_c1_g3_i17, transcribed RNA sequence
GGPJ01191107.1_5     -          oskar_filtered.aligned.LOTUS_domain -            3.5e-08   40.0   0.0        33   11.3   0.0   5.2   2   1   3   5   5   5   2 TSA: Nezara viridula N_viridula_DNassembly_339539_c1_g3_i7, transcribed RNA sequence
GGPJ01191105.1_4     -          oskar_filtered.aligned.LOTUS_domain -             0.0032   24.1   0.0     0.017   21.8   0.0   2.2   1   1   1   2   2   2   1 TSA: Nezara viridula N_viridula_DNassembly_339539_c1_g3_i5, transcribed RNA sequence
