#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GDCH01029490.1_1     -          OSK_CONSENSUS        -            3.6e-27   98.9   0.0   5.9e-27   98.2   0.0   1.3   1   0   0   1   1   1   1 TSA: Phyllocrania paradoxa breed breeding C184933_a_7_0_l_1361, transcribed RNA sequence
GDCH01018001.1_1     -          OSK_CONSENSUS        -              0.016   18.8   0.0     0.024   18.2   0.0   1.4   1   0   0   1   1   1   0 TSA: Phyllocrania paradoxa breed breeding C149670_a_3_0_l_476, transcribed RNA sequence
GDCH01037040.1_6     -          OSK_CONSENSUS        -              0.028   18.0   0.0     0.031   17.9   0.0   1.0   1   0   0   1   1   1   0 TSA: Phyllocrania paradoxa breed breeding C96789_a_3_0_l_229, transcribed RNA sequence
GDCH01026811.1_6     -          OSK_CONSENSUS        -              0.062   16.9   0.2     0.087   16.4   0.2   1.2   1   0   0   1   1   1   0 TSA: Phyllocrania paradoxa breed breeding C176501_a_4_0_l_962, transcribed RNA sequence
GDCH01002966.1_5     -          OSK_CONSENSUS        -              0.074   16.6   0.2     0.083   16.5   0.2   1.1   1   0   0   1   1   1   0 TSA: Phyllocrania paradoxa breed breeding C107278_a_3_0_l_251, transcribed RNA sequence
GDCH01042297.1_3     -          OSK_CONSENSUS        -               0.11   16.1   0.9      0.32   14.6   0.0   2.1   2   0   0   2   2   2   0 TSA: Phyllocrania paradoxa breed breeding s356_L_349_2_a_17_3_l_845, transcribed RNA sequence
GDCH01020727.1_3     -          OSK_CONSENSUS        -               0.13   15.8   0.0      0.18   15.4   0.0   1.2   1   0   0   1   1   1   0 TSA: Phyllocrania paradoxa breed breeding C157852_a_6_0_l_569, transcribed RNA sequence
GDCH01043115.1_4     -          OSK_CONSENSUS        -               0.19   15.3   0.3      0.49   14.0   0.3   1.6   1   0   0   1   1   1   0 TSA: Phyllocrania paradoxa breed breeding s430_L_408_1_a_7_9_l_2020, transcribed RNA sequence
GDCH01040487.1_6     -          OSK_CONSENSUS        -               0.44   14.1   0.0      0.53   13.9   0.0   1.1   1   0   0   1   1   1   0 TSA: Phyllocrania paradoxa breed breeding s1927_L_2274_1_a_4_3_l_432, transcribed RNA sequence
GDCH01015713.1_1     -          OSK_CONSENSUS        -               0.47   14.0   0.4      0.62   13.6   0.4   1.3   1   1   0   1   1   1   0 TSA: Phyllocrania paradoxa breed breeding C142956_a_6_0_l_418, transcribed RNA sequence
GDCH01029804.1_4     -          OSK_CONSENSUS        -               0.49   14.0   0.1     2e+02    5.5   0.0   3.2   3   0   0   3   3   3   0 TSA: Phyllocrania paradoxa breed breeding C185920_a_60_0_l_1427, transcribed RNA sequence
GDCH01023886.1_4     -          OSK_CONSENSUS        -               0.83   13.2   0.7        50    7.4   0.1   2.5   1   1   1   2   2   2   0 TSA: Phyllocrania paradoxa breed breeding C167407_a_4_0_l_723, transcribed RNA sequence
GDCH01022868.1_2     -          OSK_CONSENSUS        -                4.6   10.8   6.0        43    7.7   0.5   2.5   2   1   0   2   2   2   0 TSA: Phyllocrania paradoxa breed breeding C164233_a_10_0_l_663, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/OSK_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDCH01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GDCH01_osk_search.txt --cpu 8 ../Data/Oskar_hmm/OSK_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDCH01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Sun Oct  6 00:50:14 2019
# [ok]
