#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GDFJ01051812.1_1     -          OSK_CONSENSUS        -            4.8e-06   30.4   0.2   6.7e-06   30.0   0.2   1.2   1   0   0   1   1   1   1 TSA: Lygaeus equestris breed wildtype s5907_L_15193_0_a_8_1_l_684, transcribed RNA sequence
GDFJ01048402.1_1     -          OSK_CONSENSUS        -              0.006   20.4   0.8     0.012   19.4   0.8   1.4   1   0   0   1   1   1   1 TSA: Lygaeus equestris breed wildtype s2834_L_5079_0_a_24_0_l_1148, transcribed RNA sequence
GDFJ01048403.1_1     -          OSK_CONSENSUS        -             0.0061   20.3   0.8     0.012   19.4   0.8   1.4   1   0   0   1   1   1   1 TSA: Lygaeus equestris breed wildtype s2835_L_5079_1_a_23_8_l_1147, transcribed RNA sequence
GDFJ01038159.1_3     -          OSK_CONSENSUS        -               0.02   18.7   0.4     0.037   17.8   0.1   1.6   2   0   0   2   2   2   0 TSA: Lygaeus equestris breed wildtype C198340_a_10_0_l_838, transcribed RNA sequence
GDFJ01016821.1_1     -          OSK_CONSENSUS        -               0.33   14.7   0.2      0.33   14.7   0.2   1.2   1   0   0   1   1   1   0 TSA: Lygaeus equestris breed wildtype C140308_a_10_0_l_290, transcribed RNA sequence
GDFJ01027722.1_2     -          OSK_CONSENSUS        -               0.45   14.3   0.2      0.55   14.0   0.2   1.2   1   0   0   1   1   1   0 TSA: Lygaeus equestris breed wildtype C169289_a_4_0_l_432, transcribed RNA sequence
GDFJ01024773.1_3     -          OSK_CONSENSUS        -                0.5   14.1   0.2      0.67   13.7   0.2   1.2   1   0   0   1   1   1   0 TSA: Lygaeus equestris breed wildtype C161409_a_3_0_l_383, transcribed RNA sequence
GDFJ01051732.1_1     -          OSK_CONSENSUS        -               0.58   13.9   0.0       1.3   12.8   0.0   1.5   1   0   0   1   1   1   0 TSA: Lygaeus equestris breed wildtype s5835_L_14958_0_a_8_9_l_1017, transcribed RNA sequence
GDFJ01020941.1_2     -          OSK_CONSENSUS        -                0.9   13.3   1.3       1.1   13.0   1.3   1.2   1   0   0   1   1   1   0 TSA: Lygaeus equestris breed wildtype C151306_a_7_0_l_334, transcribed RNA sequence
GDFJ01044269.1_5     -          OSK_CONSENSUS        -                1.7   12.4   0.0       1.8   12.3   0.0   1.0   1   0   0   1   1   1   0 TSA: Lygaeus equestris breed wildtype C95280_a_4_0_l_206, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/OSK_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDFJ01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GDFJ01_osk_search.txt --cpu 8 ../Data/Oskar_hmm/OSK_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDFJ01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Sun Oct  6 00:55:29 2019
# [ok]
