#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GCXJ01046716.1_6     -          LOTUS_CONSENSUS      -            4.7e-27   98.1   3.1   1.5e-05   29.1   0.0   4.7   4   0   0   4   4   4   4 TSA: Acutaspis umbonifera breed wildtype s6339_L_16593_0_33_9_LINEAR, transcribed RNA sequence
GCXJ01041181.1_3     -          LOTUS_CONSENSUS      -            4.5e-22   82.1   0.0   2.2e-05   28.6   0.0   4.2   3   1   1   4   4   4   3 TSA: Acutaspis umbonifera breed wildtype s17026_L_61341_0_28_8_LINEAR, transcribed RNA sequence
GCXJ01042603.1_1     -          LOTUS_CONSENSUS      -            1.1e-18   71.2   0.3     7e-15   59.1   0.0   2.8   2   0   0   2   2   2   2 TSA: Acutaspis umbonifera breed wildtype s261_L_485_0_59_1_COMPLEX, transcribed RNA sequence
GCXJ01036778.1_2     -          LOTUS_CONSENSUS      -            2.5e-16   63.7   8.3   3.1e-11   47.4   0.0   4.1   4   0   0   4   4   4   2 TSA: Acutaspis umbonifera breed wildtype s13053_L_42385_1_49_7_FORK, transcribed RNA sequence
GCXJ01042614.1_1     -          LOTUS_CONSENSUS      -            5.3e-16   62.7   0.0   2.3e-15   60.6   0.0   2.1   1   0   0   1   1   1   1 TSA: Acutaspis umbonifera breed wildtype s262_L_485_1_59_9_COMPLEX, transcribed RNA sequence
GCXJ01042625.1_1     -          LOTUS_CONSENSUS      -            1.3e-15   61.4   0.0   3.3e-15   60.2   0.0   1.7   1   0   0   1   1   1   1 TSA: Acutaspis umbonifera breed wildtype s263_L_485_2_54_4_COMPLEX, transcribed RNA sequence
GCXJ01032082.1_1     -          LOTUS_CONSENSUS      -              5e-14   56.4   0.3   1.3e-05   29.4   0.1   2.9   1   1   1   2   2   2   2 TSA: Acutaspis umbonifera breed wildtype C225593_17_0, transcribed RNA sequence
GCXJ01007733.1_5     -          LOTUS_CONSENSUS      -            1.1e-09   42.4   0.1   1.3e-09   42.2   0.1   1.0   1   0   0   1   1   1   1 TSA: Acutaspis umbonifera breed wildtype C124874_5_0, transcribed RNA sequence
GCXJ01039457.1_1     -          LOTUS_CONSENSUS      -            0.00013   26.2   1.1       0.2   16.0   0.0   3.3   4   0   0   4   4   3   2 TSA: Acutaspis umbonifera breed wildtype s15474_L_53781_0_38_3_LINEAR, transcribed RNA sequence
GCXJ01037631.1_3     -          LOTUS_CONSENSUS      -             0.0011   23.2   0.0    0.0041   21.4   0.0   2.0   1   0   0   1   1   1   1 TSA: Acutaspis umbonifera breed wildtype s13826_L_45940_0_23_7_LINEAR, transcribed RNA sequence
GCXJ01035166.1_3     -          LOTUS_CONSENSUS      -                0.1   16.9   0.0   7.9e+02    4.4   0.0   4.5   3   1   1   4   4   4   0 TSA: Acutaspis umbonifera breed wildtype s11597_L_35992_0_27_4_LINEAR, transcribed RNA sequence
GCXJ01044684.1_5     -          LOTUS_CONSENSUS      -                5.7   11.3   2.1        11   10.4   1.3   1.9   2   0   0   2   2   2   0 TSA: Acutaspis umbonifera breed wildtype s4502_L_11263_2_29_6_COMPLEX, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCXJ01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GCXJ01_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCXJ01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Sun Oct  6 00:44:55 2019
# [ok]
