#                                                                            --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                        accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------              -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GDEO01036757.1_4     -          oskar_filtered.aligned.OSK_domain -            3.3e-26   96.0   1.7   7.4e-26   94.9   1.7   1.6   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype C204079_a_61_0_l_4993, transcribed RNA sequence
GDEO01046398.1_3     -          oskar_filtered.aligned.OSK_domain -            6.4e-25   91.8   2.5   8.3e-25   91.4   2.5   1.2   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s9182_L_32229_0_a_4_7_l_1098, transcribed RNA sequence
GDEO01039036.1_3     -          oskar_filtered.aligned.OSK_domain -              5e-12   49.8   0.8   1.1e-11   48.7   0.8   1.6   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s2533_L_3582_0_a_39_3_l_2829, transcribed RNA sequence
GDEO01039037.1_3     -          oskar_filtered.aligned.OSK_domain -            1.6e-11   48.1   0.7   4.7e-11   46.6   0.7   1.7   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s2534_L_3582_1_a_53_9_l_7821, transcribed RNA sequence
GDEO01039734.1_3     -          oskar_filtered.aligned.OSK_domain -              3e-11   47.2   0.1   3.6e-11   47.0   0.1   1.3   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s3164_L_4802_0_a_25_5_l_895, transcribed RNA sequence
GDEO01039500.1_5     -          oskar_filtered.aligned.OSK_domain -            3.9e-09   40.3   0.0   7.8e-09   39.4   0.0   1.4   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s2954_L_4421_1_a_45_7_l_2369, transcribed RNA sequence
GDEO01032430.1_3     -          oskar_filtered.aligned.OSK_domain -            1.7e-08   38.3   1.0   4.3e-08   36.9   0.7   1.7   1   1   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype C192218_a_9_0_l_832, transcribed RNA sequence
GDEO01039534.1_6     -          oskar_filtered.aligned.OSK_domain -              2e-08   38.0   0.2   3.2e-08   37.4   0.2   1.3   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s2985_L_4481_1_a_27_1_l_1665, transcribed RNA sequence
GDEO01039533.1_6     -          oskar_filtered.aligned.OSK_domain -            2.5e-08   37.7   0.2   4.2e-08   37.0   0.2   1.3   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s2984_L_4481_0_a_24_1_l_1926, transcribed RNA sequence
GDEO01039039.1_3     -          oskar_filtered.aligned.OSK_domain -            3.1e-08   37.4   0.0   4.8e-08   36.8   0.0   1.3   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s2536_L_3582_3_a_30_0_l_977, transcribed RNA sequence
GDEO01045387.1_6     -          oskar_filtered.aligned.OSK_domain -            1.9e-07   34.9   0.1   3.1e-07   34.2   0.1   1.3   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s8269_L_21988_0_a_7_0_l_673, transcribed RNA sequence
GDEO01036533.1_3     -          oskar_filtered.aligned.OSK_domain -              2e-07   34.8   0.1   3.2e-07   34.1   0.1   1.3   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype C203391_a_47_0_l_1963, transcribed RNA sequence
GDEO01037790.1_4     -          oskar_filtered.aligned.OSK_domain -            4.3e-07   33.7   0.0   8.8e-07   32.7   0.0   1.5   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s140_L_185_0_a_10_5_l_1394, transcribed RNA sequence
