#                                                                            --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                        accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------              -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GCZF01079581.1_2     -          oskar_filtered.aligned.OSK_domain -            1.6e-21   81.5   0.0   2.4e-21   80.9   0.0   1.2   1   0   0   1   1   1   1 TSA: Ponana quadralaba breed wildtype s8953_L_30217_1_13_7_COMPLEX, transcribed RNA sequence
GCZF01079582.1_2     -          oskar_filtered.aligned.OSK_domain -            2.2e-20   77.8   0.0   2.2e-20   77.8   0.0   2.8   3   0   0   3   3   2   1 TSA: Ponana quadralaba breed wildtype s8954_L_30217_2_34_7_COMPLEX, transcribed RNA sequence
GCZF01061074.1_6     -          oskar_filtered.aligned.OSK_domain -            4.5e-12   50.7   2.5   9.5e-12   49.6   0.5   2.2   2   1   0   2   2   2   1 TSA: Ponana quadralaba breed wildtype s10247_L_36583_0_5_0_COMPLEX, transcribed RNA sequence
GCZF01061076.1_6     -          oskar_filtered.aligned.OSK_domain -            1.6e-10   45.6   0.6   1.6e-10   45.6   0.6   2.0   2   0   0   2   2   2   1 TSA: Ponana quadralaba breed wildtype s10249_L_36583_2_5_1_COMPLEX, transcribed RNA sequence
GCZF01061075.1_6     -          oskar_filtered.aligned.OSK_domain -            6.8e-10   43.6   0.6   6.8e-10   43.6   0.6   2.4   3   0   0   3   3   3   1 TSA: Ponana quadralaba breed wildtype s10248_L_36583_1_4_9_COMPLEX, transcribed RNA sequence
GCZF01019323.1_2     -          oskar_filtered.aligned.OSK_domain -            3.6e-09   41.2   2.5   3.8e-09   41.2   2.5   1.0   1   0   0   1   1   1   1 TSA: Ponana quadralaba breed wildtype C334292_3_0, transcribed RNA sequence
GCZF01058744.1_6     -          oskar_filtered.aligned.OSK_domain -            3.2e-08   38.1  10.1   5.3e-08   37.4   8.9   2.1   1   1   1   2   2   2   1 TSA: Ponana quadralaba breed wildtype C465745_3_0, transcribed RNA sequence
GCZF01054263.1_5     -          oskar_filtered.aligned.OSK_domain -            0.00017   26.0   0.9   0.00017   26.0   0.9   1.6   2   0   0   2   2   2   1 TSA: Ponana quadralaba breed wildtype C446229_6_0, transcribed RNA sequence
GCZF01039919.1_2     -          oskar_filtered.aligned.OSK_domain -             0.0019   22.6   0.5     0.002   22.5   0.5   1.1   1   0   0   1   1   1   1 TSA: Ponana quadralaba breed wildtype C395084_3_0, transcribed RNA sequence
GCZF01076384.1_2     -          oskar_filtered.aligned.OSK_domain -              0.005   21.2   0.1    0.0062   20.9   0.1   1.1   1   0   0   1   1   1   1 TSA: Ponana quadralaba breed wildtype s6066_L_17751_0_5_6_LINEAR, transcribed RNA sequence
GCZF01048502.1_1     -          oskar_filtered.aligned.OSK_domain -              0.013   19.8   0.6     0.015   19.6   0.6   1.2   1   0   0   1   1   1   0 TSA: Ponana quadralaba breed wildtype C423847_3_0, transcribed RNA sequence
