#                                                                            --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                        accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------              -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GGPJ01188348.1_6     -          oskar_filtered.aligned.OSK_domain -               0.69   16.1   0.3   2.7e+02    7.6   0.0   2.1   1   1   1   2   2   2   0 TSA: Nezara viridula N_viridula_DNassembly_339308_c0_g2_i2, transcribed RNA sequence
GGPJ01159915.1_2     -          oskar_filtered.aligned.OSK_domain -                2.9   14.0   0.0       6.5   12.9   0.0   1.5   1   0   0   1   1   1   0 TSA: Nezara viridula N_viridula_DNassembly_336718_c1_g2_i1, transcribed RNA sequence
GGPJ01052758.1_5     -          oskar_filtered.aligned.OSK_domain -                3.4   13.8   0.5       3.6   13.7   0.5   1.0   1   0   0   1   1   1   0 TSA: Nezara viridula N_viridula_DNassembly_295740_c0_g1_i1, transcribed RNA sequence
GGPJ01071281.1_1     -          oskar_filtered.aligned.OSK_domain -                4.6   13.4   1.1       4.9   13.3   1.1   1.1   1   0   0   1   1   1   0 TSA: Nezara viridula N_viridula_DNassembly_312506_c0_g2_i1, transcribed RNA sequence
GGPJ01127943.1_3     -          oskar_filtered.aligned.OSK_domain -                4.8   13.3   0.2       6.2   12.9   0.2   1.3   1   0   0   1   1   1   0 TSA: Nezara viridula N_viridula_DNassembly_333379_c10_g1_i1, transcribed RNA sequence
GGPJ01007161.1_2     -          oskar_filtered.aligned.OSK_domain -                4.9   13.3   1.7         5   13.3   1.7   1.1   1   0   0   1   1   1   0 TSA: Nezara viridula N_viridula_DNassembly_164742_c0_g1_i1, transcribed RNA sequence
GGPJ01293100.1_3     -          oskar_filtered.aligned.OSK_domain -                6.4   12.9   2.7       6.9   12.8   2.7   1.0   1   0   0   1   1   1   0 TSA: Nezara viridula N_viridula_DNassembly_52387_c0_g2_i1, transcribed RNA sequence
GGPJ01216855.1_5     -          oskar_filtered.aligned.OSK_domain -                6.6   12.9   0.0       6.6   12.9   0.0   1.1   1   0   0   1   1   1   0 TSA: Nezara viridula N_viridula_DNassembly_341758_c8_g1_i1, transcribed RNA sequence
GGPJ01036862.1_4     -          oskar_filtered.aligned.OSK_domain -                7.3   12.7   0.3       8.2   12.6   0.3   1.1   1   0   0   1   1   1   0 TSA: Nezara viridula N_viridula_DNassembly_274119_c0_g2_i1, transcribed RNA sequence
GGPJ01145550.1_6     -          oskar_filtered.aligned.OSK_domain -                  9   12.4   0.6        11   12.1   0.6   1.1   1   0   0   1   1   1   0 TSA: Nezara viridula N_viridula_DNassembly_335337_c2_g8_i1, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/V3/OSK_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GGPJ01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GGPJ01_osk_search.txt --cpu 8 ../Data/Oskar_hmm/V3/OSK_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GGPJ01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Mon Nov 25 13:01:16 2019
# [ok]
