prefix_s,project_s,targeted_locus_name_s,div_s,organism_an,bioproject_s,biosample_ss,infra_name_ss,other_src_ss,contigs_total_length_l,contigs_count_l,contigs_proteins_count_l,contigs_annotated_s,update_date_dt,create_date_dt
GBEQ01,TSA,,PLN,Brassica juncea,PRJNA245462,SAMN02741811,cultivar: Varuna,"dev_stage: young flower buds,tissue_type: young inflorescence; leaf; pods; seedling",34081017,76454,0,No,2016-02-17T00:00:00Z,2014-06-16T00:00:00Z
GBER01,TSA,,INV,Euschistus heros,PRJNA246125,SAMN02743531,,"dev_stage: adults,host: soybean,tissue_type: antennae",11835760,19520,0,No,2015-07-29T00:00:00Z,2014-06-19T00:00:00Z
GBES01,TSA,,INV,Dichelops melacanthus,PRJNA246259,SAMN02746137,,"dev_stage: adults,host: soybean,tissue_type: antennae",4256207,8684,0,No,2015-07-29T00:00:00Z,2014-06-19T00:00:00Z
GBET01,TSA,,VRT,Pelophylax nigromaculatus,PRJNA242590,SAMN02699083,breed: Pelophylax,tissue_type: brain and gonad,16791,21,0,Yes,2014-06-16T00:00:00Z,2014-06-16T00:00:00Z
GBEU01,TSA,,INV,Telenomus podisi,PRJNA246261,SAMN02746150,,"dev_stage: adults,host: stink bug,tissue_type: whole body",55027228,51106,0,No,2015-07-29T00:00:00Z,2014-06-19T00:00:00Z
GBEV01,TSA,,INV,Procambarus clarkii,PRJNA205889,SAMN02743424,,"tissue_type: Eyestalk\, brain\, hemocytes\, gills\, testis\, ovary\, hepatopancreas\, heart\, green gland\, ventralganglia\, Y-organ\, hypodermis\, muscle",159968211,254561,0,No,2014-11-05T00:00:00Z,2014-11-05T00:00:00Z
GBEW01,TSA,,VRT,Micrurus fulvius,PRJNA88989,SAMN01830718,,,1803265,1377,1377,Yes,2015-05-07T00:00:00Z,2015-05-07T00:00:00Z
GBEX01,TSA,,VRT,Crotalus adamanteus,PRJNA88989,SAMN00809015,,,9371420,4195,4195,Yes,2015-05-07T00:00:00Z,2015-05-07T00:00:00Z
GBEY01,TSA,,INV,Bactrocera minax,PRJNA246133,SAMN02743534,,,30272977,33324,0,No,2015-05-11T00:00:00Z,2015-05-11T00:00:00Z
GBEZ01,TSA,,PLN,Tetraselmis sp. GSL018,PRJNA245816,SAMN02729510,isolate: GSL018,isolation_source: evaporation pond,40853887,28049,25506,Yes,2014-06-12T00:00:00Z,2014-06-12T00:00:00Z
GBFA01,TSA,,INV,Chinavia ubica,PRJNA246250,SAMN02744791,,"dev_stage: adults,host: soybean,tissue_type: antennae",24165131,41529,0,No,2015-07-29T00:00:00Z,2014-06-19T00:00:00Z
GBFB01,TSA,,INV,Calanus finmarchicus,PRJNA231164,SAMN02441826,,dev_stage: C5 copepodite,160760719,241140,0,No,2015-01-30T00:00:00Z,2014-06-05T00:00:00Z
GBFC01,TSA,,INV,Cupiennius salei,PRJNA205071,SAMN02189690,,"dev_stage: Adult,tissue_type: Leg; Hypodermis",250721,102,102,Yes,2014-06-05T00:00:00Z,2014-06-05T00:00:00Z
GBFD01,TSA,,INV,Hydra oligactis,PRJNA242705,SAMN02700548,,,20296221,28226,0,No,2014-06-24T00:00:00Z,2014-06-24T00:00:00Z
GBFE01,TSA,,INV,Locusta migratoria,PRJNA245374,SAMN02737055,breed: Locusta,tissue_type: the fat body and the ovary,4604809,5233,0,No,2016-05-03T00:00:00Z,2016-05-03T00:00:00Z
GBFF01,TSA,,INV,Conus sanguinolentus,PRJNA246256,SAMN02746136,strain: TA071129AO,tissue_type: foot,1038,5,5,Yes,2014-06-05T00:00:00Z,2014-06-05T00:00:00Z
GBFG01,TSA,,INV,Conus sanguinolentus,PRJNA246256,SAMN02746135,strain: TA071129AN,tissue_type: foot,1682,7,7,Yes,2014-06-05T00:00:00Z,2014-06-05T00:00:00Z
GBFH01,TSA,,INV,Conus lividus,PRJNA246256,SAMN02746134,strain: TA210811BE,tissue_type: foot,7448,34,34,Yes,2014-06-05T00:00:00Z,2014-06-05T00:00:00Z
GBFI01,TSA,,INV,Conus lividus,PRJNA246256,SAMN02746133,strain: TA210811BC,tissue_type: foot,3591,17,17,Yes,2014-06-05T00:00:00Z,2014-06-05T00:00:00Z
GBFJ01,TSA,,INV,Conus sp. n. 1 NP-2014,PRJNA246256,SAMN02746132,strain: MA071112BW,tissue_type: foot,4629,21,21,Yes,2014-06-05T00:00:00Z,2014-06-05T00:00:00Z
