#                                                                            --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                        accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------              -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GDVA01082763.1_3     -          oskar_filtered.aligned.OSK_domain -               0.16   16.5   0.3      0.21   16.1   0.3   1.4   1   0   0   1   1   1   0 TSA: Reticulitermes santonensis breed wildtype s11949_L_86618_0_a_26_8_l_1124, transcribed RNA sequence
GDVA01055060.1_2     -          oskar_filtered.aligned.OSK_domain -               0.29   15.6   0.0      0.31   15.5   0.0   1.1   1   0   0   1   1   1   0 TSA: Reticulitermes santonensis breed wildtype C237166_a_8_0_l_327, transcribed RNA sequence
GDVA01010101.1_3     -          oskar_filtered.aligned.OSK_domain -                0.5   14.9   0.0      0.51   14.9   0.0   1.0   1   0   0   1   1   1   0 TSA: Reticulitermes santonensis breed wildtype C138599_a_3_0_l_241, transcribed RNA sequence
GDVA01063022.1_1     -          oskar_filtered.aligned.OSK_domain -               0.71   14.4   0.0      0.88   14.1   0.0   1.1   1   0   0   1   1   1   0 TSA: Reticulitermes santonensis breed wildtype C258006_a_13_0_l_410, transcribed RNA sequence
GDVA01029052.1_6     -          oskar_filtered.aligned.OSK_domain -               0.85   14.1   0.0      0.96   13.9   0.0   1.1   1   0   0   1   1   1   0 TSA: Reticulitermes santonensis breed wildtype C178297_a_5_0_l_253, transcribed RNA sequence
GDVA01028300.1_5     -          oskar_filtered.aligned.OSK_domain -               0.86   14.1   0.0         1   13.9   0.0   1.1   1   0   0   1   1   1   0 TSA: Reticulitermes santonensis breed wildtype C176715_a_3_0_l_253, transcribed RNA sequence
GDVA01071611.1_2     -          oskar_filtered.aligned.OSK_domain -                1.5   13.3   0.2       1.9   13.0   0.2   1.2   1   0   0   1   1   1   0 TSA: Reticulitermes santonensis breed wildtype C280941_a_18_0_l_580, transcribed RNA sequence
GDVA01017771.1_4     -          oskar_filtered.aligned.OSK_domain -                  3   12.4   1.6       3.3   12.2   1.6   1.0   1   0   0   1   1   1   0 TSA: Reticulitermes santonensis breed wildtype C154772_a_5_0_l_247, transcribed RNA sequence
GDVA01045215.1_2     -          oskar_filtered.aligned.OSK_domain -                3.9   12.0   0.1       3.9   12.0   0.1   1.1   1   0   0   1   1   1   0 TSA: Reticulitermes santonensis breed wildtype C212265_a_5_0_l_265, transcribed RNA sequence
GDVA01089940.1_5     -          oskar_filtered.aligned.OSK_domain -                3.9   12.0   0.0       6.1   11.3   0.0   1.3   1   1   0   1   1   1   0 TSA: Reticulitermes santonensis breed wildtype s6887_L_14078_0_a_10_0_l_471, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/V3/OSK_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDVA01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GDVA01_osk_search.txt --cpu 8 ../Data/Oskar_hmm/V3/OSK_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDVA01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Mon Nov 25 12:59:01 2019
# [ok]
