#                                                                              --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                          accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------                -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GDCJ01039934.1_4     -          oskar_filtered.aligned.LOTUS_domain -            6.4e-28  101.2   0.0   1.7e-27   99.8   0.0   1.7   1   0   0   1   1   1   1 TSA: Sundablatta sexpunctata breed wildtype C209777_a_10_0_l_1592, transcribed RNA sequence
GDCJ01042057.1_3     -          oskar_filtered.aligned.LOTUS_domain -            2.2e-21   80.2   0.0   3.2e-20   76.5   0.0   2.5   2   0   0   2   2   2   1 TSA: Sundablatta sexpunctata breed wildtype C216079_a_8_0_l_3221, transcribed RNA sequence
GDCJ01040318.1_3     -          oskar_filtered.aligned.LOTUS_domain -            4.7e-17   66.4   0.0   1.1e-10   45.9   0.0   3.5   3   0   0   3   3   3   3 TSA: Sundablatta sexpunctata breed wildtype C210919_a_7_0_l_1712, transcribed RNA sequence
GDCJ01042244.1_6     -          oskar_filtered.aligned.LOTUS_domain -            0.00041   24.8   0.0        81    7.8   0.0   5.4   2   1   3   5   5   5   1 TSA: Sundablatta sexpunctata breed wildtype C216627_a_25_0_l_4388, transcribed RNA sequence
GDCJ01057302.1_2     -          oskar_filtered.aligned.LOTUS_domain -               0.96   14.0   1.4       2.6   12.6   1.4   1.8   1   1   0   1   1   1   0 TSA: Sundablatta sexpunctata breed wildtype s5976_L_8580_1_a_31_3_l_918, transcribed RNA sequence
GDCJ01051269.1_2     -          oskar_filtered.aligned.LOTUS_domain -                1.1   13.8   0.3       2.5   12.7   0.0   1.7   2   0   0   2   2   2   0 TSA: Sundablatta sexpunctata breed wildtype s12079_L_51730_0_a_22_3_l_1263, transcribed RNA sequence
GDCJ01060282.1_6     -          oskar_filtered.aligned.LOTUS_domain -                  2   12.9   0.1         3   12.4   0.1   1.2   1   0   0   1   1   1   0 TSA: Sundablatta sexpunctata breed wildtype s8666_L_16898_0_a_14_4_l_583, transcribed RNA sequence
GDCJ01009516.1_6     -          oskar_filtered.aligned.LOTUS_domain -                2.8   12.5   1.6       3.6   12.2   1.6   1.1   1   0   0   1   1   1   0 TSA: Sundablatta sexpunctata breed wildtype C122332_a_3_0_l_275, transcribed RNA sequence
GDCJ01046811.1_4     -          oskar_filtered.aligned.LOTUS_domain -                3.1   12.4   0.0       3.3   12.3   0.0   1.1   1   0   0   1   1   1   0 TSA: Sundablatta sexpunctata breed wildtype C94774_a_3_0_l_234, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/V3/LOTUS_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDCJ01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GDCJ01_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/V3/LOTUS_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDCJ01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Mon Nov 25 12:50:34 2019
# [ok]
