#                                                                              --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                          accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------                -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GCVU01043694.1_3     -          oskar_filtered.aligned.LOTUS_domain -            3.4e-27   98.6   0.5   1.1e-07   36.0   0.0   3.8   3   0   0   3   3   3   3 TSA: Chrysomphalus aonidum breed wildtype s4232_L_9012_0_16_7_BUBBLE, transcribed RNA sequence
GCVU01043695.1_2     -          oskar_filtered.aligned.LOTUS_domain -            3.9e-27   98.4   0.5   1.1e-07   36.0   0.0   3.7   3   0   0   3   3   3   3 TSA: Chrysomphalus aonidum breed wildtype s4233_L_9012_1_16_2_BUBBLE, transcribed RNA sequence
GCVU01030439.1_6     -          oskar_filtered.aligned.LOTUS_domain -            2.1e-21   80.0   2.4   6.1e-16   62.5   0.0   3.8   3   0   0   3   3   3   2 TSA: Chrysomphalus aonidum breed wildtype C225214_40_0, transcribed RNA sequence
GCVU01040291.1_1     -          oskar_filtered.aligned.LOTUS_domain -            2.3e-17   67.1   0.0   2.3e-17   67.1   0.0   2.5   3   0   0   3   3   2   1 TSA: Chrysomphalus aonidum breed wildtype s17366_L_57421_1_53_5_FORK, transcribed RNA sequence
GCVU01040290.1_1     -          oskar_filtered.aligned.LOTUS_domain -            6.2e-17   65.7   0.0   6.2e-17   65.7   0.0   2.1   2   0   0   2   2   1   1 TSA: Chrysomphalus aonidum breed wildtype s17365_L_57421_0_46_4_FORK, transcribed RNA sequence
GCVU01038900.1_1     -          oskar_filtered.aligned.LOTUS_domain -            1.6e-16   64.4   0.5   9.5e-14   55.4   0.1   2.5   2   0   0   2   2   2   2 TSA: Chrysomphalus aonidum breed wildtype s16111_L_51542_0_8_5_LINEAR, transcribed RNA sequence
GCVU01030489.1_2     -          oskar_filtered.aligned.LOTUS_domain -            5.2e-06   30.6   0.1     0.022   18.9   0.1   2.7   2   0   0   2   2   2   2 TSA: Chrysomphalus aonidum breed wildtype C225452_36_0, transcribed RNA sequence
GCVU01043655.1_6     -          oskar_filtered.aligned.LOTUS_domain -            9.2e-06   29.8   0.0   1.3e+02    6.8   0.0   6.2   3   1   3   7   7   7   1 TSA: Chrysomphalus aonidum breed wildtype s4198_L_8931_1_12_7_FORK, transcribed RNA sequence
GCVU01024473.1_4     -          oskar_filtered.aligned.LOTUS_domain -            1.6e-05   29.0   0.2   4.6e-05   27.6   0.0   1.8   2   0   0   2   2   2   1 TSA: Chrysomphalus aonidum breed wildtype C193836_7_0, transcribed RNA sequence
GCVU01043654.1_6     -          oskar_filtered.aligned.LOTUS_domain -            4.2e-05   27.7   0.0   1.7e+02    6.5   0.0   6.0   4   1   3   7   7   7   1 TSA: Chrysomphalus aonidum breed wildtype s4197_L_8931_0_11_4_FORK, transcribed RNA sequence
GCVU01040290.1_3     -          oskar_filtered.aligned.LOTUS_domain -               0.19   16.0   0.2      0.52   14.5   0.2   1.7   1   0   0   1   1   1   0 TSA: Chrysomphalus aonidum breed wildtype s17365_L_57421_0_46_4_FORK, transcribed RNA sequence
GCVU01015364.1_1     -          oskar_filtered.aligned.LOTUS_domain -               0.21   15.8   0.2      0.26   15.5   0.2   1.2   1   0   0   1   1   1   0 TSA: Chrysomphalus aonidum breed wildtype C152622_4_0, transcribed RNA sequence
GCVU01013338.1_5     -          oskar_filtered.aligned.LOTUS_domain -                1.1   13.5   0.1       1.9   12.7   0.1   1.4   1   0   0   1   1   1   0 TSA: Chrysomphalus aonidum breed wildtype C145030_2_0, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/V3/LOTUS_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCVU01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GCVU01_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/V3/LOTUS_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCVU01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Mon Nov 25 13:09:50 2019
# [ok]
