#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
HACB02042677.1_3     -          LOTUS_CONSENSUS      -            1.9e-11   49.1   0.5   1.3e-10   46.4   0.0   2.4   2   0   0   2   2   2   1 TSA: Cherax quadricarinatus, contig c44703_g1_i3, transcribed RNA sequence
HACB02042676.1_3     -          LOTUS_CONSENSUS      -            1.9e-11   49.1   0.5   1.4e-10   46.3   0.0   2.4   2   0   0   2   2   2   1 TSA: Cherax quadricarinatus, contig c44703_g1_i2, transcribed RNA sequence
HACB02042675.1_3     -          LOTUS_CONSENSUS      -            5.1e-11   47.7   0.0   1.3e-10   46.4   0.0   1.7   1   0   0   1   1   1   1 TSA: Cherax quadricarinatus, contig c44703_g1_i1, transcribed RNA sequence
HACB02000971.1_1     -          LOTUS_CONSENSUS      -                1.2   14.4   0.0   3.4e+02    6.6   0.0   2.4   1   1   1   2   2   2   0 TSA: Cherax quadricarinatus, contig c1147_g2_i1, transcribed RNA sequence
HACB02013529.1_3     -          LOTUS_CONSENSUS      -                1.7   14.0   0.4         5   12.5   0.1   1.9   2   0   0   2   2   2   0 TSA: Cherax quadricarinatus, contig c20107_g1_i1, transcribed RNA sequence
HACB02055168.1_6     -          LOTUS_CONSENSUS      -                2.3   13.6   0.0       7.8   11.9   0.0   1.8   2   0   0   2   2   2   0 TSA: Cherax quadricarinatus, contig c49930_g2_i1, transcribed RNA sequence
HACB02069256.1_2     -          LOTUS_CONSENSUS      -                2.6   13.4   0.5       4.6   12.6   0.5   1.4   1   0   0   1   1   1   0 TSA: Cherax quadricarinatus, contig c51891_g36_i1, transcribed RNA sequence
HACB02067723.1_2     -          LOTUS_CONSENSUS      -                3.1   13.1   0.1       4.7   12.6   0.1   1.3   1   0   0   1   1   1   0 TSA: Cherax quadricarinatus, contig c51769_g2_i3, transcribed RNA sequence
HACB02040319.1_3     -          LOTUS_CONSENSUS      -                3.5   13.0   0.0       7.7   11.9   0.0   1.4   1   0   0   1   1   1   0 TSA: Cherax quadricarinatus, contig c43311_g1_i1, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm
# Target file:     /media/lblondel/5D1FA0DA2BE76E76/savy/SOURCES/TSA_PROTEIN/translated_HACB.1.fasta
# Option settings: /home/lblondel/Software/hmmer-3.1b2-linux-intel-x86_64/binaries/hmmsearch --tblout /media/lblondel/5D1FA0DA2BE76E76/savy/SOURCES/TSA_RESULT/HACB.1_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm /media/lblondel/5D1FA0DA2BE76E76/savy/SOURCES/TSA_PROTEIN/translated_HACB.1.fasta 
# Current dir:     /home/savy/Oskar_Orthologs/01_Oskar_identification
# Date:            Sat Nov  2 12:59:28 2019
# [ok]
