#                                                                              --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                          accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------                -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GCPS01028849.1_4     -          oskar_filtered.aligned.LOTUS_domain -              1e-25   94.2   0.0   1.5e-25   93.6   0.0   1.3   1   0   0   1   1   1   1 TSA: Lamproblatta albipalpus breed breeding C188385_a_3_0_l_465, transcribed RNA sequence
GCPS01048010.1_3     -          oskar_filtered.aligned.LOTUS_domain -              0.011   20.2   0.0   2.3e+02    6.3   0.0   4.2   2   1   1   3   3   3   0 TSA: Lamproblatta albipalpus breed breeding C244286_a_11_0_l_4977, transcribed RNA sequence
GCPS01057402.1_5     -          oskar_filtered.aligned.LOTUS_domain -              0.021   19.3   0.0      0.12   16.9   0.0   2.1   2   0   0   2   2   2   0 TSA: Lamproblatta albipalpus breed breeding s6132_L_9057_1_a_10_3_l_1638, transcribed RNA sequence
GCPS01057401.1_5     -          oskar_filtered.aligned.LOTUS_domain -              0.026   19.0   0.0     0.059   17.9   0.0   1.5   1   0   0   1   1   1   0 TSA: Lamproblatta albipalpus breed breeding s6131_L_9057_0_a_10_7_l_1002, transcribed RNA sequence
GCPS01039783.1_2     -          oskar_filtered.aligned.LOTUS_domain -               0.08   17.4   0.8        14   10.2   0.0   2.6   1   1   1   2   2   2   0 TSA: Lamproblatta albipalpus breed breeding C220131_a_8_0_l_869, transcribed RNA sequence
GCPS01024176.1_3     -          oskar_filtered.aligned.LOTUS_domain -               0.73   14.4   0.1       1.2   13.7   0.1   1.3   1   0   0   1   1   1   0 TSA: Lamproblatta albipalpus breed breeding C175191_a_8_0_l_388, transcribed RNA sequence
GCPS01046423.1_3     -          oskar_filtered.aligned.LOTUS_domain -                0.8   14.2   0.1       2.3   12.7   0.1   1.8   1   0   0   1   1   1   0 TSA: Lamproblatta albipalpus breed breeding C239630_a_7_0_l_2055, transcribed RNA sequence
GCPS01056869.1_2     -          oskar_filtered.aligned.LOTUS_domain -               0.81   14.2   0.1       1.6   13.3   0.1   1.4   1   0   0   1   1   1   0 TSA: Lamproblatta albipalpus breed breeding s5653_L_7989_0_a_3_0_l_569, transcribed RNA sequence
GCPS01058770.1_6     -          oskar_filtered.aligned.LOTUS_domain -                2.1   12.9   0.4       2.1   12.9   0.4   2.8   2   1   1   3   3   3   0 TSA: Lamproblatta albipalpus breed breeding s7376_L_11856_0_a_48_5_l_831, transcribed RNA sequence
GCPS01013485.1_6     -          oskar_filtered.aligned.LOTUS_domain -                2.5   12.7   0.0       3.3   12.2   0.0   1.2   1   0   0   1   1   1   0 TSA: Lamproblatta albipalpus breed breeding C144591_a_12_0_l_269, transcribed RNA sequence
GCPS01022316.1_3     -          oskar_filtered.aligned.LOTUS_domain -                2.7   12.5   0.3       5.2   11.6   0.3   1.5   1   0   0   1   1   1   0 TSA: Lamproblatta albipalpus breed breeding C169819_a_35_0_l_362, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/V3/LOTUS_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCPS01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GCPS01_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/V3/LOTUS_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCPS01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Mon Nov 25 13:00:32 2019
# [ok]
