#                                                                              --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                          accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------                -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GCXJ01046716.1_6     -          oskar_filtered.aligned.LOTUS_domain -            1.3e-36  128.8   9.2   6.1e-09   40.0   0.1   4.9   3   1   2   5   5   5   4 TSA: Acutaspis umbonifera breed wildtype s6339_L_16593_0_33_9_LINEAR, transcribed RNA sequence
GCXJ01041181.1_3     -          oskar_filtered.aligned.LOTUS_domain -            5.8e-29  104.3   0.5   1.7e-08   38.6   0.0   4.6   3   2   1   5   5   5   3 TSA: Acutaspis umbonifera breed wildtype s17026_L_61341_0_28_8_LINEAR, transcribed RNA sequence
GCXJ01042603.1_1     -          oskar_filtered.aligned.LOTUS_domain -            8.4e-22   81.3   0.2   3.5e-17   66.5   0.0   2.7   2   0   0   2   2   2   2 TSA: Acutaspis umbonifera breed wildtype s261_L_485_0_59_1_COMPLEX, transcribed RNA sequence
GCXJ01032082.1_1     -          oskar_filtered.aligned.LOTUS_domain -            7.6e-19   71.8   3.8   5.3e-09   40.2   0.2   3.2   3   1   1   4   4   3   2 TSA: Acutaspis umbonifera breed wildtype C225593_17_0, transcribed RNA sequence
GCXJ01042614.1_1     -          oskar_filtered.aligned.LOTUS_domain -            3.3e-18   69.8   0.0   1.2e-17   68.0   0.0   2.0   1   0   0   1   1   1   1 TSA: Acutaspis umbonifera breed wildtype s262_L_485_1_59_9_COMPLEX, transcribed RNA sequence
GCXJ01042625.1_1     -          oskar_filtered.aligned.LOTUS_domain -            6.8e-18   68.8   0.0   1.6e-17   67.6   0.0   1.6   1   0   0   1   1   1   1 TSA: Acutaspis umbonifera breed wildtype s263_L_485_2_54_4_COMPLEX, transcribed RNA sequence
GCXJ01036778.1_2     -          oskar_filtered.aligned.LOTUS_domain -            1.5e-17   67.7  13.0   3.1e-13   53.8   0.1   4.4   4   0   0   4   4   4   2 TSA: Acutaspis umbonifera breed wildtype s13053_L_42385_1_49_7_FORK, transcribed RNA sequence
GCXJ01007733.1_5     -          oskar_filtered.aligned.LOTUS_domain -            8.4e-11   46.0   0.1   9.4e-11   45.9   0.1   1.0   1   0   0   1   1   1   1 TSA: Acutaspis umbonifera breed wildtype C124874_5_0, transcribed RNA sequence
GCXJ01035166.1_3     -          oskar_filtered.aligned.LOTUS_domain -            2.7e-05   28.3   0.0   1.2e+02    7.0   0.0   5.8   3   1   3   6   6   6   1 TSA: Acutaspis umbonifera breed wildtype s11597_L_35992_0_27_4_LINEAR, transcribed RNA sequence
GCXJ01039457.1_1     -          oskar_filtered.aligned.LOTUS_domain -            0.00012   26.3   0.3      0.24   15.6   0.0   3.0   2   0   0   2   2   2   2 TSA: Acutaspis umbonifera breed wildtype s15474_L_53781_0_38_3_LINEAR, transcribed RNA sequence
GCXJ01037631.1_3     -          oskar_filtered.aligned.LOTUS_domain -            0.00027   25.1   0.1    0.0011   23.1   0.1   2.0   1   0   0   1   1   1   1 TSA: Acutaspis umbonifera breed wildtype s13826_L_45940_0_23_7_LINEAR, transcribed RNA sequence
GCXJ01028029.1_2     -          oskar_filtered.aligned.LOTUS_domain -                2.1   12.6   0.0       3.3   12.0   0.0   1.3   1   0   0   1   1   1   0 TSA: Acutaspis umbonifera breed wildtype C204222_3_0, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/V3/LOTUS_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCXJ01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GCXJ01_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/V3/LOTUS_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCXJ01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Mon Nov 25 12:46:10 2019
# [ok]
