#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GDMW01044286.1_4     -          LOTUS_CONSENSUS      -            9.3e-20   74.6   1.0   2.8e-16   63.4   0.0   3.5   4   0   0   4   4   4   2 TSA: Haliplus fluviatilis breed wildtype s8534_L_9498_0_a_33_3_l_3624, transcribed RNA sequence
GDMW01044287.1_4     -          LOTUS_CONSENSUS      -            1.3e-16   64.5   0.9   2.8e-16   63.4   0.0   1.9   2   0   0   2   2   2   1 TSA: Haliplus fluviatilis breed wildtype s8535_L_9498_1_a_33_3_l_3636, transcribed RNA sequence
GDMW01038147.1_1     -          LOTUS_CONSENSUS      -            1.3e-13   54.9   0.3   5.8e-09   40.0   0.0   3.7   3   0   0   3   3   3   2 TSA: Haliplus fluviatilis breed wildtype s299_L_231_1_a_31_5_l_2631, transcribed RNA sequence
GDMW01038159.1_1     -          LOTUS_CONSENSUS      -            3.5e-13   53.5   0.9   9.7e-09   39.3   0.0   4.1   4   0   0   4   4   4   2 TSA: Haliplus fluviatilis breed wildtype s300_L_231_2_a_37_4_l_3986, transcribed RNA sequence
GDMW01038136.1_1     -          LOTUS_CONSENSUS      -            3.8e-13   53.4   0.9     1e-08   39.2   0.0   4.1   4   0   0   4   4   4   2 TSA: Haliplus fluviatilis breed wildtype s298_L_231_0_a_37_3_l_4108, transcribed RNA sequence
GDMW01023939.1_4     -          LOTUS_CONSENSUS      -               0.12   16.5   0.9      0.24   15.6   0.9   1.4   1   0   0   1   1   1   0 TSA: Haliplus fluviatilis breed wildtype C217161_a_8_0_l_651, transcribed RNA sequence
GDMW01028139.1_4     -          LOTUS_CONSENSUS      -               0.23   15.6   1.9        56    8.0   0.0   3.8   3   1   1   4   4   4   0 TSA: Haliplus fluviatilis breed wildtype C239235_a_4_0_l_1894, transcribed RNA sequence
GDMW01036413.1_6     -          LOTUS_CONSENSUS      -               0.33   15.1   0.7      0.74   14.0   0.5   1.6   1   1   0   1   1   1   0 TSA: Haliplus fluviatilis breed wildtype s1674_L_1348_0_a_11_0_l_1091, transcribed RNA sequence
GDMW01021679.1_3     -          LOTUS_CONSENSUS      -               0.34   15.1   0.3        10   10.3   0.0   2.5   2   1   0   2   2   2   0 TSA: Haliplus fluviatilis breed wildtype C206795_a_8_0_l_496, transcribed RNA sequence
GDMW01036424.1_6     -          LOTUS_CONSENSUS      -               0.35   15.0   1.3      0.74   14.0   0.6   1.8   1   1   1   2   2   2   0 TSA: Haliplus fluviatilis breed wildtype s1675_L_1348_1_a_11_1_l_1091, transcribed RNA sequence
GDMW01028789.1_6     -          LOTUS_CONSENSUS      -               0.36   15.0   0.0   1.1e+03    3.8   0.0   4.4   3   1   0   4   4   4   0 TSA: Haliplus fluviatilis breed wildtype C242621_a_80_0_l_3478, transcribed RNA sequence
GDMW01021065.1_3     -          LOTUS_CONSENSUS      -               0.56   14.4   2.6      0.87   13.8   2.4   1.6   1   1   0   1   1   1   0 TSA: Haliplus fluviatilis breed wildtype C204269_a_10_0_l_467, transcribed RNA sequence
GDMW01017145.1_4     -          LOTUS_CONSENSUS      -               0.61   14.3   0.2         1   13.5   0.1   1.5   1   1   0   1   1   1   0 TSA: Haliplus fluviatilis breed wildtype C188580_a_3_0_l_347, transcribed RNA sequence
GDMW01025036.1_3     -          LOTUS_CONSENSUS      -               0.64   14.2   0.7      0.64   14.2   0.7   2.8   2   2   0   2   2   2   0 TSA: Haliplus fluviatilis breed wildtype C222395_a_4_0_l_772, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDMW01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GDMW01_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDMW01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Sun Oct  6 00:50:06 2019
# [ok]
