,TaxId,Species,FamilyId,FamilyName,OrderId,OrderName,TSA,BioProject_id,Publication(PMID/DOI)
0,764486,Melita plumulosa,190426,Melitidae,6821,Amphipoda,GAKD,PRJNA200979,24434169;24434169
1,6728,Procambarus clarkii,6725,Cambaridae,6683,Decapoda,GARH,PRJNA205889,25278476;25479010
2,1435206,Echinogammarus veneris,36939,Gammaridae,6821,Amphipoda,GARO,PRJNA231037,
3,84317,Eucyclops serrulatus,84315,Cyclopidae,84308,Cyclopoida,GARW,PRJNA231234,
4,6837,Calanus finmarchicus,6835,Calanidae,6833,Calanoida,GAXK,PRJNA236528,10.1371/journal.pone.0088589;24586345
5,217165,Caligus rogercresseyi,72034,Caligidae,72033,Siphonostomatoida,GAZX,PRJNA234316,24561831
6,6717,Astacus leptodactylus,6713,Astacidae,6683,Decapoda,GBEI,PRJNA183420,23840318;24055302
7,6728,Procambarus clarkii,6725,Cambaridae,6683,Decapoda,GBEV,PRJNA205889,25278476;25479010
8,6837,Calanus finmarchicus,6835,Calanidae,6833,Calanoida,GBFB,PRJNA231164,25568661
9,88015,Eurytemora affinis,88013,Temoridae,6833,Calanoida,GBGO,PRJNA242763,
10,27406,Cherax quadricarinatus,37850,Parastacidae,6683,Decapoda,GADE,PRJNA179334,23393281
11,6717,Astacus leptodactylus,6713,Astacidae,6683,Decapoda,GAFS,PRJNA183420,23840318;24055302
12,6717,Astacus leptodactylus,6713,Astacidae,6683,Decapoda,GAFY,PRJNA183420,23840318;24055302
13,1519145,Xibalbanus tulumensis,84344,Speleonectidae,116564,Nectiopoda,GAJM,PRJNA203251,24132120
14,294128,Hyalella azteca,199477,Hyalellidae,6821,Amphipoda,GAJP,PRJNA188322,19435504;24065824
15,294128,Hyalella azteca,199477,Hyalellidae,6821,Amphipoda,GAJQ,PRJNA188322,19435504;24065824
16,65457,Dorogostaiskia parasitica,315608,Acanthogammaridae,6821,Amphipoda,GERM,PRJNA321360,
17,1842067,Eulimnogammarus ussolzewii,315662,Eulimnogammaridae,6821,Amphipoda,GESQ,PRJNA321360,
18,698372,Eulimnogammarus violaceus,315662,Eulimnogammaridae,6821,Amphipoda,GESR,PRJNA321360,
19,6689,Litopenaeus vannamei,6685,Penaeidae,6683,Decapoda,GETD,PRJNA323362,26330487
20,48144,Meganyctiphanes norvegica,6817,Euphausiidae,6816,Euphausiacea,GETT,PRJNA324094,
21,6689,Litopenaeus vannamei,6685,Penaeidae,6683,Decapoda,GETZ,PRJNA326516,
22,6690,Farfantepenaeus aztecus,6685,Penaeidae,6683,Decapoda,GEUA,PRJNA326516,
23,85552,Scylla paramamosain,6757,Portunidae,6683,Decapoda,GEUT,PRJNA328554,
24,95602,Eriocheir sinensis,72876,Varunidae,6683,Decapoda,GFBK,PRJNA350735,
25,95602,Eriocheir sinensis,72876,Varunidae,6683,Decapoda,GFBL,PRJNA319468,
26,6687,Penaeus monodon,6685,Penaeidae,6683,Decapoda,GFCA,PRJNA321953,
27,732109,Gammarus chevreuxi,36939,Gammaridae,6821,Amphipoda,GFCV,PRJNA357029,
28,6706,Homarus americanus,6704,Nephropidae,6683,Decapoda,GFDA,PRJNA338672,27823957
29,337810,Oratosquilla oratoria,84348,Squillidae,6683,Decapoda,GFFH,PRJNA360549,
30,210409,Portunus trituberculatus,6757,Portunidae,6683,Decapoda,GFFJ,PRJNA361004,
31,108111,Eurypanopeus depressus,108099,Panopeidae,6683,Decapoda,GFJG,PRJNA376168,
32,361634,Hyas araneus,6805,Majidae,6683,Decapoda,HAAI,PRJEB1422,24212285
33,6689,Litopenaeus vannamei,6685,Penaeidae,6683,Decapoda,HAAW,PRJEB4317,
34,95602,Eriocheir sinensis,72876,Varunidae,6683,Decapoda,HAAX,PRJEB4541,
35,174397,Pagurus bernhardus,6745,Paguridae,6683,Decapoda,HABX,PRJEB1673,
36,474045,Coenobita clypeatus,177219,Coenobitidae,6683,Decapoda,HABY,PRJEB1673,
37,72036,Lepeophtheirus salmonis,72034,Caligidae,72033,Siphonostomatoida,HACA,PRJEB1804,
38,27406,Cherax quadricarinatus,37850,Parastacidae,6683,Decapoda,HACB,PRJEB5112,
39,361634,Hyas araneus,6805,Majidae,6683,Decapoda,HACH,PRJEB1298,
40,113644,Calanus glacialis,6835,Calanidae,6833,Calanoida,HACJ,PRJNA274584,25863290
41,27406,Cherax quadricarinatus,37850,Parastacidae,6683,Decapoda,HACK,PRJEB5112,
42,732109,Gammarus chevreuxi,36939,Gammaridae,6821,Amphipoda,HADC,PRJEB11518,
43,1281925,Bragasellus molinai,63227,Asellidae,29979,Isopoda,HAEM,PRJEB14193,
44,1282048,Bragasellus peltatus,63227,Asellidae,29979,Isopoda,HAEN,PRJEB14193,
45,1281939,Proasellus aragonensis,63227,Asellidae,29979,Isopoda,HAEO,PRJEB14193,
46,1282049,Proasellus assaforensis,63227,Asellidae,29979,Isopoda,HAEP,PRJEB14193,
47,1281940,Proasellus arthrodilus,63227,Asellidae,29979,Isopoda,HAEQ,PRJEB14193,
48,1281948,Proasellus cantabricus,63227,Asellidae,29979,Isopoda,HAER,PRJEB14193,
49,1281949,Proasellus cavaticus,63227,Asellidae,29979,Isopoda,HAES,PRJEB14193,
50,63229,Proasellus coxalis,63227,Asellidae,29979,Isopoda,HAET,PRJEB14193,
51,1281953,Proasellus coiffaiti,63227,Asellidae,29979,Isopoda,HAEU,PRJEB14193,
52,1281963,Proasellus escolai,63227,Asellidae,29979,Isopoda,HAEV,PRJEB14193,
53,1281961,Proasellus ebrensis,63227,Asellidae,29979,Isopoda,HAEW,PRJEB14193,
