#                                                                            --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                        accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------              -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GCXC01085630.1_2     -          oskar_filtered.aligned.OSK_domain -            3.1e-25   94.0   0.1   5.2e-25   93.3   0.1   1.4   1   0   0   1   1   1   1 TSA: Acanalonia conica breed wildtype C507317_57_0, transcribed RNA sequence
GCXC01088688.1_4     -          oskar_filtered.aligned.OSK_domain -            1.2e-15   62.8   4.2   1.2e-15   62.8   4.2   3.3   3   2   0   3   3   3   1 TSA: Acanalonia conica breed wildtype C519739_4_0, transcribed RNA sequence
GCXC01093986.1_2     -          oskar_filtered.aligned.OSK_domain -               0.13   17.0   1.5      0.24   16.2   1.4   1.6   1   1   0   1   1   1   0 TSA: Acanalonia conica breed wildtype s14612_L_76288_0_12_2_LINEAR, transcribed RNA sequence
GCXC01076102.1_6     -          oskar_filtered.aligned.OSK_domain -               0.39   15.5   0.1      0.42   15.4   0.1   1.2   1   0   0   1   1   1   0 TSA: Acanalonia conica breed wildtype C471773_4_0, transcribed RNA sequence
GCXC01001265.1_5     -          oskar_filtered.aligned.OSK_domain -               0.65   14.7   0.5      0.68   14.7   0.5   1.1   1   0   0   1   1   1   0 TSA: Acanalonia conica breed wildtype C265296_2_0, transcribed RNA sequence
GCXC01045522.1_4     -          oskar_filtered.aligned.OSK_domain -                1.2   13.9   0.3       1.4   13.7   0.3   1.1   1   0   0   1   1   1   0 TSA: Acanalonia conica breed wildtype C380291_3_0, transcribed RNA sequence
GCXC01076968.1_4     -          oskar_filtered.aligned.OSK_domain -                1.2   13.9   0.7       1.5   13.6   0.7   1.3   1   0   0   1   1   1   0 TSA: Acanalonia conica breed wildtype C474677_2_0, transcribed RNA sequence
GCXC01105498.1_5     -          oskar_filtered.aligned.OSK_domain -                2.2   13.0   2.3       2.7   12.7   0.1   2.1   2   0   0   2   2   2   0 TSA: Acanalonia conica breed wildtype s5328_L_17477_0_5_1_FORK, transcribed RNA sequence
GCXC01075238.1_4     -          oskar_filtered.aligned.OSK_domain -                2.3   13.0   1.2         3   12.6   1.2   1.2   1   0   0   1   1   1   0 TSA: Acanalonia conica breed wildtype C468823_4_0, transcribed RNA sequence
GCXC01051203.1_1     -          oskar_filtered.aligned.OSK_domain -                  3   12.6   0.1       3.8   12.2   0.1   1.2   1   0   0   1   1   1   0 TSA: Acanalonia conica breed wildtype C396113_2_0, transcribed RNA sequence
GCXC01090846.1_2     -          oskar_filtered.aligned.OSK_domain -                  3   12.6   0.2       3.8   12.2   0.2   1.3   1   0   0   1   1   1   0 TSA: Acanalonia conica breed wildtype s11780_L_54048_0_3_0_LINEAR, transcribed RNA sequence
GCXC01068504.1_6     -          oskar_filtered.aligned.OSK_domain -                3.6   12.3   0.1       4.1   12.1   0.1   1.2   1   0   0   1   1   1   0 TSA: Acanalonia conica breed wildtype C446914_3_0, transcribed RNA sequence
GCXC01106099.1_2     -          oskar_filtered.aligned.OSK_domain -                4.4   12.0   0.1        12   10.6   0.1   1.7   1   0   0   1   1   1   0 TSA: Acanalonia conica breed wildtype s586_L_1467_1_21_4_FORK, transcribed RNA sequence
GCXC01044804.1_2     -          oskar_filtered.aligned.OSK_domain -                4.9   11.9   0.5       5.5   11.7   0.5   1.1   1   0   0   1   1   1   0 TSA: Acanalonia conica breed wildtype C378363_2_0, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/V3/OSK_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCXC01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GCXC01_osk_search.txt --cpu 8 ../Data/Oskar_hmm/V3/OSK_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCXC01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Mon Nov 25 13:06:54 2019
# [ok]
