#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GCXO01065084.1_4     -          LOTUS_CONSENSUS      -            1.6e-19   74.9   0.0   5.3e-19   73.2   0.0   1.9   1   0   0   1   1   1   1 TSA: Ladella sp. AD-2014 breed wildtype C700244_4_0, transcribed RNA sequence
GCXO01008150.1_2     -          LOTUS_CONSENSUS      -               0.04   19.1   0.0     0.045   18.9   0.0   1.1   1   0   0   1   1   1   0 TSA: Ladella sp. AD-2014 breed wildtype C497486_14_0, transcribed RNA sequence
GCXO01053943.1_5     -          LOTUS_CONSENSUS      -               0.15   17.3   1.2       3.4   12.9   0.0   2.4   3   0   0   3   3   3   0 TSA: Ladella sp. AD-2014 breed wildtype C652856_3_0, transcribed RNA sequence
GCXO01006484.1_2     -          LOTUS_CONSENSUS      -               0.17   17.1   0.0      0.23   16.6   0.0   1.2   1   1   0   1   1   1   0 TSA: Ladella sp. AD-2014 breed wildtype C492352_2_0, transcribed RNA sequence
GCXO01050856.1_2     -          LOTUS_CONSENSUS      -               0.68   15.1   0.1         1   14.6   0.1   1.2   1   0   0   1   1   1   0 TSA: Ladella sp. AD-2014 breed wildtype C641154_64_0, transcribed RNA sequence
GCXO01073437.1_2     -          LOTUS_CONSENSUS      -                1.2   14.3   0.0       3.8   12.7   0.0   1.8   1   0   0   1   1   1   0 TSA: Ladella sp. AD-2014 breed wildtype s1718_L_2448_1_40_5_COMPLEX, transcribed RNA sequence
GCXO01042614.1_5     -          LOTUS_CONSENSUS      -                1.4   14.1   0.2       2.3   13.4   0.2   1.4   1   0   0   1   1   1   0 TSA: Ladella sp. AD-2014 breed wildtype C611454_2_0, transcribed RNA sequence
GCXO01000346.1_6     -          LOTUS_CONSENSUS      -                2.1   13.6   0.0       2.4   13.4   0.0   1.1   1   0   0   1   1   1   0 TSA: Ladella sp. AD-2014 breed wildtype C473183_2_0, transcribed RNA sequence
GCXO01073471.1_1     -          LOTUS_CONSENSUS      -                2.7   13.2   0.0       5.6   12.2   0.0   1.5   1   0   0   1   1   1   0 TSA: Ladella sp. AD-2014 breed wildtype s1721_L_2448_4_29_4_COMPLEX, transcribed RNA sequence
GCXO01095616.1_2     -          LOTUS_CONSENSUS      -                2.9   13.1   0.1       7.9   11.7   0.1   1.8   1   0   0   1   1   1   0 TSA: Ladella sp. AD-2014 breed wildtype s9874_L_18875_3_37_1_COMPLEX, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCXO01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GCXO01_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCXO01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Sun Oct  6 01:11:08 2019
# [ok]
