#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GFUK01034753.1_3     -          OSK_CONSENSUS        -            1.1e-11   48.9   0.7   1.9e-11   48.2   0.7   1.3   1   0   0   1   1   1   1 TSA: Hygrobia hermanni breed wildtype C193323_a_25_0_l_949, transcribed RNA sequence
GFUK01014750.1_4     -          OSK_CONSENSUS        -             0.0024   21.8   0.7     0.003   21.5   0.7   1.2   1   1   0   1   1   1   1 TSA: Hygrobia hermanni breed wildtype C138846_a_3_0_l_386, transcribed RNA sequence
GFUK01055833.1_5     -          OSK_CONSENSUS        -              0.034   18.1   1.9     0.071   17.0   1.9   1.5   1   0   0   1   1   1   0 TSA: Hygrobia hermanni breed wildtype s3801_L_17809_0_a_4_7_l_951, transcribed RNA sequence
GFUK01020381.1_4     -          OSK_CONSENSUS        -               0.24   15.3   2.0       4.6   11.2   1.4   2.1   1   1   1   2   2   2   0 TSA: Hygrobia hermanni breed wildtype C153975_a_5_0_l_477, transcribed RNA sequence
GFUK01025575.1_2     -          OSK_CONSENSUS        -               0.73   13.8   0.6       1.4   12.8   0.2   1.6   1   1   1   2   2   2   0 TSA: Hygrobia hermanni breed wildtype C167915_a_9_0_l_592, transcribed RNA sequence
GFUK01061010.1_6     -          OSK_CONSENSUS        -               0.79   13.6   0.8       1.2   13.1   0.8   1.2   1   0   0   1   1   1   0 TSA: Hygrobia hermanni breed wildtype s8470_L_45897_0_a_3_8_l_943, transcribed RNA sequence
GFUK01016098.1_1     -          OSK_CONSENSUS        -                1.1   13.1   0.1       1.4   12.8   0.1   1.3   1   1   0   1   1   1   0 TSA: Hygrobia hermanni breed wildtype C142418_a_4_0_l_405, transcribed RNA sequence
GFUK01055170.1_3     -          OSK_CONSENSUS        -                1.1   13.1   3.5         2   12.4   3.4   1.5   1   1   0   1   1   1   0 TSA: Hygrobia hermanni breed wildtype s3205_L_14353_0_a_3_0_l_643, transcribed RNA sequence
GFUK01044157.1_3     -          OSK_CONSENSUS        -                3.3   11.6   3.2       4.4   11.2   1.1   2.3   2   0   0   2   2   2   0 TSA: Hygrobia hermanni breed wildtype C220933_a_61_0_l_2413, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/OSK_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GFUK01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GFUK01_osk_search.txt --cpu 8 ../Data/Oskar_hmm/OSK_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GFUK01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Sun Oct  6 00:55:40 2019
# [ok]
