#                                                                              --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                          accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------                -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GDBT01055936.1_1     -          oskar_filtered.aligned.LOTUS_domain -              0.046   18.3   0.0       0.1   17.2   0.0   1.5   1   0   0   1   1   1   0 TSA: Stagmatoptera biocellata breed breeding s2510_L_3603_0_a_65_9_l_1067, transcribed RNA sequence
GDBT01055939.1_1     -          oskar_filtered.aligned.LOTUS_domain -                0.1   17.2   0.0      0.16   16.5   0.0   1.4   1   0   0   1   1   1   0 TSA: Stagmatoptera biocellata breed breeding s2513_L_3603_3_a_5_0_l_644, transcribed RNA sequence
GDBT01055937.1_3     -          oskar_filtered.aligned.LOTUS_domain -               0.15   16.7   0.0       0.3   15.7   0.0   1.5   1   0   0   1   1   1   0 TSA: Stagmatoptera biocellata breed breeding s2511_L_3603_1_a_51_4_l_1402, transcribed RNA sequence
GDBT01061401.1_1     -          oskar_filtered.aligned.LOTUS_domain -               0.42   15.2   0.0      0.89   14.1   0.0   1.6   1   0   0   1   1   1   0 TSA: Stagmatoptera biocellata breed breeding s744_L_914_0_a_7_7_l_680, transcribed RNA sequence
GDBT01019551.1_5     -          oskar_filtered.aligned.LOTUS_domain -               0.57   14.8   0.9      0.78   14.3   0.9   1.4   1   1   0   1   1   1   0 TSA: Stagmatoptera biocellata breed breeding C147968_a_3_0_l_310, transcribed RNA sequence
GDBT01025181.1_1     -          oskar_filtered.aligned.LOTUS_domain -               0.71   14.5   0.0       1.2   13.8   0.0   1.3   1   0   0   1   1   1   0 TSA: Stagmatoptera biocellata breed breeding C162372_a_3_0_l_368, transcribed RNA sequence
GDBT01013112.1_4     -          oskar_filtered.aligned.LOTUS_domain -               0.87   14.2   1.5         2   13.0   0.8   1.8   2   0   0   2   2   2   0 TSA: Stagmatoptera biocellata breed breeding C131205_a_4_0_l_261, transcribed RNA sequence
GDBT01055938.1_1     -          oskar_filtered.aligned.LOTUS_domain -               0.98   14.0   0.0         2   13.0   0.0   1.5   1   0   0   1   1   1   0 TSA: Stagmatoptera biocellata breed breeding s2512_L_3603_2_a_59_6_l_1142, transcribed RNA sequence
GDBT01037878.1_3     -          oskar_filtered.aligned.LOTUS_domain -               0.98   14.0   0.3       1.5   13.4   0.3   1.4   1   0   0   1   1   1   0 TSA: Stagmatoptera biocellata breed breeding C195581_a_6_0_l_612, transcribed RNA sequence
GDBT01055940.1_2     -          oskar_filtered.aligned.LOTUS_domain -                1.5   13.4   0.0       3.9   12.1   0.0   1.6   1   0   0   1   1   1   0 TSA: Stagmatoptera biocellata breed breeding s2514_L_3603_4_a_40_9_l_1686, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/V3/LOTUS_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDBT01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GDBT01_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/V3/LOTUS_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDBT01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Mon Nov 25 12:58:23 2019
# [ok]
